abajar	lower	1
abalanzar	hurl
abalar	move	1
abalizar	mark	1
aballar	drive	1
abanar	fan	1
abanderar	champion
abandonar	abandon
abanicar	fan
abaratar	cheapen
abarcar	encompass
abarquillar	curl
abarrotar	cram
abastecer	supply
abatir	knock down
abdicar	abdicate
abetunar	polish	1
abigarrar	variegate	1
abismar	plunge
abjurar	abjure
ablandar	soften
abnegar	renounce
abobar	stupefy
abocar	pour	1
abocetar	sketch
abochornar	embarrass
abocinar	flare	1
abofetear	slap
abogar	advocate
abollar	dent
abombar	bulge
abominar	abhor
abonar	fertilize
abordar	tackle
aborrecer	loathe
aborregar	curdle	1
abortar	abort
abotargar	bloat	1
abotonar	button
abovedar	vault	1
abrasar	burn
abrevar	water	1
abreviar	abbreviate
abrigar	shelter
abrochar	fasten
abrogar	repeal
abrumar	overwhelm
absolver	absolve
abstener	abstain
abstraer	abstract
abuchear	boo
abultar	bulk
abundar	abound
aburguesar	make bourgeois
aburrir	bore
abusar	abuse
acabar	finish
acaecer	happen
acallar	silence
acalorar	heat
acampar	camp
acanalar	groove
acantonar	quarter
acaparar	hoard
acaramelar	caramelize
acariciar	caress
acarrear	haul
acartonar	stiffen
acatar	obey
acatarrar	catch cold
acaudalar	amass
acaudillar	lead
acceder	access
accidentar	have accident
accionar	activate
acechar	stalk
aceitar	oil
acelerar	accelerate
acendrar	purify	1
acentuar	accentuate
aceptar	accept
acerar	steel	1
acercar	bring near
acertar	guess right
achabacanar	vulgarize	1
achacar	attribute
achantar	intimidate	1
achaparrar	stunt	1
acharolar	varnish	1
achatar	flatten
achicar	shrink
achicharrar	scorch
achinar	slant	1
achispar	tipsy	1
achuchar	squeeze	1
acicalar	groom
acidificar	acidify
acidular	acidulate	1
aclamar	acclaim
aclarar	clarify
aclimatar	acclimatize
acobardar	intimidate
acodar	bend	1
acoger	welcome
acogotar	throttle	1
acolchar	pad
acometer	attack
acomodar	accommodate
acompañar	accompany
acompasar	pace	1
acomplejar	give complex
acondicionar	condition
aconsejar	advise
acontecer	happen
acoplar	couple
acoquinar	intimidate	1
acorazar	armor
acorchar	cork	1
acordonar	cordon off
acorralar	corner
acortar	shorten
acosar	harass
acostar	put to bed
acostumbrar	accustom
acotar	demarcate
acrecentar	increase
acreditar	accredit
acribillar	riddle
acrisolar	refine	1
acristalar	glaze
activar	activate
actualizar	update
acuartelar	quarter	1
acuchillar	knife
acuciar	urge
acuclillar	squat
acumular	accumulate
acunar	cradle
acuñar	coin
acurrucar	curl up
acusar	accuse
adaptar	adapt
adecentar	tidy
adecuar	adapt
adelantar	advance
adelgazar	slim
adentrar	go into
aderezar	season
adeudar	owe
adherir	adhere
adicionar	add
adiestrar	train
adinerar	enrich	1
adivinar	guess
adjetivar	adjectivize	1
adjudicar	award
adjuntar	attach
administrar	administer
admirar	admire
adobar	marinate
adocenar	make common	1
adoctrinar	indoctrinate
adolecer	suffer
adoptar	adopt
adoquinar	pave
adorar	adore
adormecer	lull
adormilar	doze
adornar	adorn
adosar	attach
adscribir	ascribe
adueñar	take over
adular	flatter
adulterar	adulterate
adverbializar	adverbialize	1
advertir	warn
aerotransportar	airlift
afanar	toil
afear	uglify
afectar	affect
afeitar	shave
afelpar	plush	1
afeminar	effeminate	1
aferrar	grasp
afianzar	secure
aficionar	make fond
afilar	sharpen
afiliar	affiliate
afinar	tune
afincar	settle	1
afirmar	affirm
aflautar	pipe	1
afligir	afflict
aflojar	loosen
afluir	flow
afofar	soften	1
afrancesar	frenchify	1
afrentar	affront
africanizar	africanize
afrontar	confront
agachar	crouch
agarrar	grab
agarrotar	tighten
agasajar	fete
agavillar	bundle	1
agazapar	crouch
agenciar	procure
agigantar	enlarge
agilizar	expedite
agitanar	gypsify	1
agitar	shake
aglomerar	agglomerate
aglutinar	agglutinate
agobiar	overwhelm
agolpar	crowd
agonizar	agonize
agostar	parch	1
agotar	exhaust
agraciar	grace
agradar	please
agradecer	thank
agrandar	enlarge
agravar	aggravate
agraviar	wrong
agredir	assault
agregar	add
agremiar	unionize	1
agriar	sour
agrietar	crack
agrisar	gray	1
agrupar	group
aguantar	endure
aguar	water down
aguardar	await
agudizar	sharpen
aguijonear	goad
agujerear	pierce
agusanar	get wormy	1
aguzar	sharpen
aherrojar	shackle	1
ahogar	drown
ahondar	deepen
ahorcar	hang
ahornar	bake	1
ahorrar	save
ahuecar	hollow
ahuevar	egg-shape	1
ahumar	smoke
ahuyentar	scare away
aindiar	go native	1
airear	air
ajamonar	get plump
ajar	wither
ajardinar	landscape
ajetrear	bustle
ajuntar	join
ajustar	adjust
ajusticiar	execute
alabar	praise
alabear	warp
alambicar	distill	1
alambrar	wire
alardear	boast
alargar	lengthen
alarmar	alarm
albardar	bard	1
albergar	house
alborear	dawn
alborotar	stir up
alborozar	delight
alcahuetear	pander	1
alcalinizar	alkalize
alcantarillar	sewer	1
alcanzar	reach
alcoholizar	alcoholize	1
aleccionar	instruct
alegar	allege
alegrar	gladden
alejar	move away
alentar	encourage
alertar	alert
aletargar	make drowsy
aletear	flutter
alfabetizar	alphabetize
alfombrar	carpet
algodonar	pad	1
alhajar	bejewel	1
aliar	ally
alicatar	tile	1
alicortar	clip wings	1
alienar	alienate
aligerar	lighten
alimentar	feed
alinear	align
aliñar	season
alisar	smooth
alistar	enlist
aliviar	relieve
allanar	level
allegar	gather	1
