almacenar	store
almendrar	almond-flavor	1
almibarar	syrup
almidonar	starch
almohadillar	pad
almohazar	curry	1
almorzar	lunch
alocar	madden	1
alojar	lodge
alquilar	rent
alterar	alter
alternar	alternate
alucinar	hallucinate
aludir	allude
alumbrar	light
alunizar	land on moon
alzar	raise
amadrinar	sponsor
amaestrar	train
amagar	feint
amainar	abate
amalgamar	amalgamate
amamantar	breastfeed
amancebar	cohabit
amanerar	mannerism	1
amansar	tame
amañar	rig
amarar	splash down
amargar	embitter
amarillear	yellow
amarrar	moor
amartelar	woo	1
amartillar	cock
amasar	knead
amazacotar	clump
ambicionar	covet
ambientar	set
amedrentar	frighten
amenazar	threaten
amenizar	enliven
americanizar	americanize
amerizar	splash down
ametrallar	machine-gun
amigar	befriend
amilanar	daunt
aminorar	lessen
amnistiar	amnesty
amodorrar	drowse
amojamar	cure	1
amoldar	mold
amonar	get drunk
amonestar	admonish
amontonar	pile
amoratar	bruise
amordazar	gag
amorriñar	mope	1
amortajar	shroud
amortiguar	cushion
amortizar	amortize
amostazar	annoy
amotinar	mutiny
amparar	protect
ampliar	expand
amplificar	amplify
amputar	amputate
amueblar	furnish
amuermar	bore
amurallar	wall
analizar	analyze
anarquizar	anarchize	1
anatematizar	anathematize
anatomizar	anatomize	1
anclar	anchor
anegar	flood
anestesiar	anesthetize
anexionar	annex
angostar	narrow
angustiar	distress
anhelar	yearn
anidar	nest
anillar	ring
animalizar	animalize	1
animar	encourage
aniñar	act childish
aniquilar	annihilate
anisar	flavor with anise	1
anonadar	overwhelm
anotar	note
anquilosar	stiffen
ansiar	crave
anteceder	precede
anteponer	put before
anticipar	anticipate
antojar	fancy
anudar	knot
anular	annul
anunciar	announce
añadir	add
añorar	miss
apabullar	overwhelm
apacentar	graze
apaciguar	appease
apagar	turn off
apalabrar	agree
apalancar	lever
apalear	beat
apañar	fix
aparcar	park
aparear	mate
aparecer	appear
aparejar	rig
aparentar	feign
apartar	separate
apasionar	excite
apear	dismount
apechar	put up with
apechugar	put up with
apedrear	stone
apegar	grow attached
apelar	appeal
apellidar	surname	1
apelmazar	compact
apelotonar	bunch
apenar	sadden
apercibir	warn
apergaminar	wither
apesadumbrar	grieve
apestar	stink
apetecer	crave
apiadar	pity
apilar	stack
apiñar	cram
apisonar	tamp
aplacar	placate
aplanar	flatten
aplastar	crush
aplatanar	enervate	1
aplaudir	applaud
aplazar	postpone
aplicar	apply
apocar	belittle
apocopar	apocopate	1
apodar	nickname
apoderar	empower
apolillar	moth-eat
apologizar	apologize
apoltronar	loaf
apoquinar	cough up
aporrear	pound
aportar	contribute
aposentar	lodge
apostatar	apostatize
apostillar	annotate
apostrofar	apostrophize	1
apoyar	support
apreciar	appreciate
aprehender	apprehend
apremiar	urge
apresar	capture
aprestar	ready
apresurar	hurry
apretar	tighten
apretujar	squeeze
aprisionar	imprison
aprobar	approve
apropiar	appropriate
aprovechar	use
aprovisionar	supply
aproximar	approximate
apuntalar	prop up
apuntar	point
apuntillar	finish off
apuñalar	stab
apurar	rush
aquejar	afflict
aquietar	calm
aquilatar	assess
arañar	scratch
arar	plow
arbitrar	arbitrate
arbolar	hoist	1
archivar	file
arder	burn
argumentar	argue
armar	arm
armonizar	harmonize
aromatizar	flavor
arponear	harpoon
arquear	arch
arracimar	cluster	1
arraigar	take root
arramblar	sweep away
arramplar	sweep away	1
arrancar	pull out
arrasar	raze
arrastrar	drag
arrear	drive
arrebatar	snatch
arrebolar	redden	1
arrebujar	bundle up
arreciar	intensify
arredrar	intimidate
arreglar	fix
arrellanar	lounge
arremangar	roll up sleeves
arremeter	charge
arremolinar	swirl
arrendar	rent
arrepentir	repent
arrestar	arrest
arriar	lower
arribar	arrive
arriesgar	risk
arrimar	bring close
arrinconar	corner
arrobar	enrapture
arrodillar	kneel
arrogar	arrogate
arrojar	throw
arrollar	run over
arropar	wrap up
arrostrar	face
arrugar	wrinkle
arruinar	ruin
arrullar	lull
arrumbar	discard	1
articular	articulate
asaetear	shoot arrows	1
asalariar	salary	1
asaltar	assault
asar	roast
ascender	ascend
asear	tidy
asediar	besiege
asegurar	assure
asemejar	resemble
asentar	settle
asentir	agree
aserrar	saw
asesinar	murder
asesorar	advise
asestar	deal
aseverar	assert
asfaltar	asphalt
asfixiar	asphyxiate
asignar	assign
asilar	shelter
asimilar	assimilate
asociar	associate
asomar	show
asombrar	amaze
aspar	reel	1
asperjar	sprinkle	1
aspirar	aspire
asquear	disgust
astillar	splinter
asumir	assume
asustar	frighten
atacar	attack
atajar	cut off
atañer	concern
atar	tie
atardecer	get dark
atarugar	wedge	1
atascar	clog
ataviar	dress up
atemorizar	frighten
atemperar	temper
atenazar	grip
atender	attend
atener	abide
atentar	attempt
atenuar	attenuate
aterrizar	land
aterrorizar	terrorize
atesorar	hoard
atestiguar	testify
atiborrar	stuff
atildar	primp	1
atinar	guess right
atiplar	raise pitch	1
atirantar	tighten
atisbar	glimpse
atizar	stoke
atocinar	cure pork	1
atolondrar	bewilder
atomizar	atomize
atontar	stun
atontolinar	stupefy	1
atorar	clog
atormentar	torment
atornillar	screw
atosigar	harass
atracar	hold up
atraer	attract
atragantar	choke
atrancar	bar
atrapar	trap
atrasar	delay
atravesar	cross
