atrever	dare
atribuir	attribute
atribular	afflict
atrincherar	entrench
atrofiar	atrophy
atronar	thunder
atropellar	run over
atufar	annoy	1
aturdir	daze
aturullar	confuse	1
atusar	smooth
auditar	audit
augurar	foretell
aumentar	increase
aunar	unite
aupar	hoist
aureolar	haloe	1
auscultar	auscultate
ausentar	absent
auspiciar	sponsor
autenticar	authenticate
autentificar	authenticate
autocensurar	self-censor
autoeditar	self-publish
automatizar	automate
automedicar	self-medicate
autorizar	authorize
autosugestionar	autosuggest	1
auxiliar	assist
avalar	guarantee
avanzar	advance
avasallar	subjugate
avecinar	approach
avecindar	settle
avejentar	age
avenir	reconcile
aventajar	surpass
aventar	winnow
aventurar	venture
averiar	damage
avezar	accustom	1
aviar	prepare
aviejar	age	1
avinagrar	sour
avisar	warn
avispar	liven	1
avistar	sight
avituallar	provision
avivar	enliven
avizorar	watch
ayunar	fast
azarar	fluster	1
azogar	silver
azotar	whip
azucarar	sweeten
azufrar	sulfur	1
azulear	turn blue
azuzar	incite
babear	drool
babosear	slobber	1
bailotear	dance	1
bajar	lower
balancear	swing
balar	bleat
balbucear	stammer
balbucir	stammer
balcanizar	balkanize
baldar	cripple
bambolear	sway
bandear	cross	1
banderillear	stab	1
bañar	bathe
baquetear	wear out	1
barajar	shuffle
barnizar	varnish
barrar	bar	1
barrenar	drill
barritar	trumpet
barruntar	suspect
basar	base
bascular	tilt
bastar	suffice
batallar	battle
batear	bat
batir	beat
bautizar	baptize
beatificar	beatify
becar	grant
beneficiar	benefit
berrear	bellow
besar	kiss
bestializar	brutalize
besuquear	smooch
bifurcar	fork
biografiar	biograph	1
birlar	swipe
bisar	encore	1
bisbisear	mutter
biselar	bevel
bizquear	squint
blandir	brandish
blanquear	whiten
blasfemar	blaspheme
blasonar	boast
blindar	armor
bloquear	block
bobear	fool around	1
bogar	row
boicotear	boycott
bombardear	bombard
bombear	pump
bonificar	discount
bordar	embroider
bordear	border
borrar	erase
bosquejar	sketch
bostezar	yawn
botar	bounce
boxear	box
bracear	flail	1
brear	thrash	1
bregar	struggle
bribonear	cheat	1
brillar	shine
brincar	jump
brindar	toast
bromear	joke
broncear	tan
brotar	sprout
brujulear	scheme	1
brutalizar	brutalize
bucear	dive
bufar	snort
burbujear	bubble
burilar	engrave
burlar	mock
burocratizar	bureaucratize
buzonear	leaflet	1
cabalgar	ride
cabecear	nod
cablear	wire
cablegrafiar	cable	1
cabrear	anger
cabrillear	shimmer	1
cacarear	cackle
cachear	frisk
caducar	expire
cagar	shit
calafatear	caulk
calar	soak
calcar	trace
calcetar	knit
calcificar	calcify
calcinar	char
calcografiar	engrave	1
calcular	calculate
caldear	warm
calentar	heat
calibrar	calibrate
calificar	grade
caligrafiar	calligraph	1
callar	hush
callejear	wander
calmar	calm
calumniar	slander
calzar	shoe
cambiar	change
camelar	woo
campar	camp	1
campear	graze	1
camuflar	camouflage
canalizar	channel
cancelar	cancel
canjear	exchange
canonizar	canonize
cansar	tire
canturrear	hum
cañonear	shell	1
capacitar	train
capar	castrate
capear	dodge
capitalizar	capitalize
capitanear	captain
capitular	capitulate
capotar	overturn	1
capotear	dodge	1
captar	capture
capturar	capture
caracolear	caper	1
caracterizar	characterize
caramelizar	caramelize
carbonatar	carbonate
carbonizar	carbonize
carburar	carburet	1
carcajear	guffaw
carcomer	gnaw
cardar	card
carear	confront	1
carecer	lack
cargar	load
cariar	decay
caricaturizar	caricature
carraspear	clear throat
cartear	correspond	1
cartografiar	map
casar	marry
cascabelear	jingle	1
cascar	crack
castañetear	chatter
castellanizar	hispanicize
castigar	punish
castrar	castrate
catalanizar	catalanize	1
catalizar	catalyze
catalogar	catalog
catapultar	catapult
catar	taste
catear	flunk
categorizar	categorize
catequizar	catechize
causar	cause
cauterizar	cauterize
cautivar	captivate
cavar	dig
cavilar	ponder
cebar	fatten
cecear	lisp
cegar	blind
cejar	yield
celar	watch
celebrar	celebrate
censar	census	1
censurar	censor
centellear	twinkle
centralizar	centralize
centrar	center
centrifugar	spin
centuplicar	multiply	1
cepillar	brush
cercar	enclose
cercenar	sever
cerciorar	ascertain
cerner	sift
cernir	sift
cerrar	close
certificar	certify
cesar	cease
chafar	flatten
chalar	madden	1
chamullar	mumble	1
chamuscar	singe
chancear	joke	1
chancletear	shuffle	1
chantajear	blackmail
chapar	plate
chapotear	splash
chapucear	botch	1
chapurrear	speak badly	1
chapuzar	dunk	1
chaquetear	turncoat	1
charlatanear	prattle	1
charlotear	chatter	1
charolar	varnish	1
chascar	crack	1
chasquear	snap
chatear	chat
chequear	check
chicolear	flirt	1
chiflar	whistle
chillar	scream
chinchar	pester
chinchorrear	gossip	1
chirigotear	jest	1
chirriar	creak
chismear	gossip
chismorrear	gossip
chispear	sparkle
chisporrotear	crackle
chistar	speak	1
chivar	snitch
chocar	collide
chochear	dote
choricear	pilfer	1
chorrear	drip
chotear	mock	1
chulear	swagger	1
chupar	suck
chupetear	suck
churruscar	scorch	1
chutar	shoot
cicatear	skimp	1
cicatrizar	heal
cifrar	encode
cimbrear	sway	1
cimentar	cement
cincelar	chisel
cinematografiar	film	1
circuncidar	circumcise
circunnavegar	circumnavigate
circunscribir	circumscribe
