circunvalar	bypass
ciscar	soil	1
citar	cite
civilizar	civilize
cizañar	sow discord	1
clamar	cry out
clamorear	clamor
clarear	brighten
clarificar	clarify
clasificar	classify
claudicar	give up
clausurar	close
clavar	nail
clavetear	stud	1
climatizar	air-condition
clocar	cluck	1
cloquear	cluck	1
clorar	chlorinate
cloroformizar	chloroform	1
coadyuvar	assist	1
coagular	coagulate
coaligar	ally
coartar	restrict
cobijar	shelter
cobrar	charge
cocear	kick	1
codear	elbow
codiciar	covet
codificar	encode
codirigir	co-direct
coercer	coerce
coexistir	coexist
cohabitar	cohabit
coheredar	co-inherit	1
cohesionar	bind
cohibir	inhibit
cojear	limp
colaborar	collaborate
colacionar	collate	1
colapsar	collapse
colar	strain
colear	wag	1
coleccionar	collect
colectar	collect
colectivizar	collectivize
colegiar	register	1
colindar	border	1
colocar	place
colonizar	colonize
colorear	color
columbrar	glimpse	1
columpiar	swing
comadrear	gossip	1
comandar	command
combar	bend
combatir	fight
combinar	combine
comedir	restrain	1
comentar	comment
comenzar	begin
comercializar	market
comisionar	commission
compadecer	pity
compaginar	reconcile
comparar	compare
comparecer	appear
compartimentar	compartmentalize
compatibilizar	reconcile
compeler	compel
compendiar	summarize	1
compenetrar	bond	1
compensar	compensate
competer	concern	1
competir	compete
compilar	compile
complacer	please
complementar	complement
completar	complete
complicar	complicate
comportar	behave
comprimir	compress
comprobar	verify
comprometer	commit
compulsar	collate	1
computadorizar	computerize
computar	compute
computarizar	computerize
comulgar	commune	1
comunicar	communicate
concatenar	concatenate
concebir	conceive
conceder	grant
concelebrar	concelebrate	1
concentrar	concentrate
conceptualizar	conceptualize
conceptuar	conceptualize	1
concernir	concern
concertar	arrange
conchabar	scheme	1
concienciar	raise awareness
conciliar	reconcile
concitar	incite	1
concordar	agree
concretar	specify
concretizar	make concrete
conculcar	violate	1
concurrir	converge	1
concursar	compete
condecorar	decorate
condenar	condemn
condensar	condense
condescender	condescend
condicionar	condition
condimentar	season
condoler	sympathize	1
condonar	forgive
conectar	connect
conexionar	connect	1
confabular	conspire	1
confeccionar	make
confederar	confederate
conferenciar	confer	1
conferir	confer
confesar	confess
confiar	trust
configurar	configure
confinar	confine
confirmar	confirm
confiscar	confiscate
confitar	candy	1
conflagrar	set ablaze	1
confluir	converge
conformar	conform
confortar	comfort
confraternizar	fraternize	1
confrontar	confront
confundir	confuse
congelar	freeze
congeniar	get along
congestionar	congest
conglomerar	conglomerate
congraciar	ingratiate	1
congratular	congratulate
congregar	congregate
conjeturar	conjecture
conjugar	conjugate
conjuntar	combine	1
conjurar	conjure
conllevar	entail
conmemorar	commemorate
conmensurar	commensurate	1
conminar	threaten	1
conmocionar	shock
conmover	move
conmutar	commute
connotar	connote	1
conquistar	conquer
consagrar	consecrate
conseguir	obtain
consensuar	agree	1
consentir	consent
conservar	preserve
considerar	consider
consignar	consign
consolar	console
consolidar	consolidate
consonantizar	consonantize	1
conspirar	conspire
constar	consist
constatar	verify
consternar	dismay
constipar	catch cold
constituir	constitute
constreñir	constrain
consultar	consult
consumar	consummate
consumir	consume
contabilizar	account	1
contactar	contact
contagiar	infect
contaminar	contaminate
contar	count
contemplar	contemplate
contemporizar	temporize	1
contender	contend
contener	contain
contentar	please
contextualizar	contextualize
continuar	continue
contonear	sway	1
contornear	outline
contorsionar	contort
contraatacar	counterattack
contradecir	contradict
contraer	contract
contrahacer	counterfeit	1
contraindicar	contraindicate
contrapear	plywood	1
contrapesar	counterbalance
contraponer	oppose
contrariar	annoy
contrarrestar	counteract
contrastar	contrast
contratar	hire
contravenir	contravene
contribuir	contribute
contristar	sadden	1
controlar	control
conturbar	perturb	1
contusionar	bruise
convalecer	convalesce
convalidar	validate
convencer	convince
converger	converge
conversar	converse
convertir	convert
convidar	invite
convivir	coexist
convocar	convene
convulsionar	convulse
cooperar	cooperate
coordinar	coordinate
copar	corner	1
copear	drink	1
copiar	copy
copular	copulate
coquetear	flirt
corear	chant
coreografiar	choreograph
cornear	gore
coronar	crown
corregir	correct
corresponder	correspond
corretear	scamper
corroborar	corroborate
corroer	corrode
corromper	corrupt
cortejar	court
coscar	annoy	1
cosechar	harvest
cosquillear	tickle
costar	cost
costear	finance
cotejar	compare
cotizar	quote
cotorrear	chatter
crear	create
creer	believe
crepitar	crackle
criar	raise
cribar	sift
crispar	tense
cristalizar	crystallize
cristianar	baptize	1
cristianizar	christianize
criticar	criticize
croar	croak
cromar	chrome
cronometrar	time
crucificar	crucify
crujir	creak
cruzar	cross
cuadrar	square
cuadricular	grid	1
cuadruplicar	quadruple
cuajar	curdle
cualificar	qualify
cuantificar	quantify
cuartear	crack	1
cuchichear	whisper
cuestionar	question
cuidar	care
culminar	culminate
culpabilizar	blame
culpar	blame
cultivar	cultivate
culturizar	educate	1
cumplimentar	complete	1
cundir	spread
curar	cure
curiosear	snoop
currar	work	1
cursar	study	1
curtir	tan
curvar	curve
custodiar	guard
damnificar	harm	1
danzar	dance
dañar	damage
deambular	wander
debatir	debate
debilitar	weaken
debutar	debut
decaer	decline
decantar	decant
decapitar	behead
decepcionar	disappoint
declamar	declaim
declinar	decline
decodificar	decode
