decolorar	bleach
decomisar	confiscate
decorar	decorate
decorticar	husk	1
decrecer	decrease
decretar	decree
dedicar	dedicate
defecar	defecate
defender	defend
defenestrar	defenestrate
deforestar	deforest
deformar	deform
defraudar	defraud
degenerar	degenerate
deglutir	swallow
degollar	behead
degradar	degrade
degustar	taste
deificar	deify
dejar	leave
delatar	denounce
delegar	delegate
deleitar	delight
deletrear	spell
deliberar	deliberate
delimitar	delimit
delinear	outline
delirar	rave
demacrar	waste away	1
demandar	demand
demarcar	demarcate
demarrar	pull away	1
democratizar	democratize
demoler	demolish
demorar	delay
demostrar	demonstrate
demudar	alter
denegar	deny
denigrar	denigrate
denominar	name
denostar	revile
denotar	denote
denunciar	denounce
deparar	provide
departir	chat
depauperar	impoverish
depender	depend
depilar	depilate
deplorar	deplore
deponer	depose
deportar	deport
depositar	deposit
depravar	deprave
depreciar	depreciate
depredar	prey
deprimir	depress
depurar	purify
derechizar	make rightwing	1
derivar	derive
derogar	repeal
derramar	spill
derrapar	skid
derrengar	cripple
derretir	melt
derribar	knock down
derrocar	overthrow
derrochar	squander
derrotar	defeat
derruir	demolish
derrumbar	collapse
desabastecer	deprive
desabollar	undent	1
desabotonar	unbutton
desabrigar	uncover
desabrochar	unfasten
desacatar	disobey
desacelerar	decelerate
desacertar	err
desaclimatar	deacclimatize	1
desacomodar	inconvenience
desaconsejar	advise against
desacoplar	uncouple
desacostumbrar	disaccustom
desacreditar	discredit
desactivar	deactivate
desacuartelar	withdraw	1
desafiar	challenge
desafinar	go out of tune
desagradar	displease
desagraviar	make amends
desaguar	drain
desahogar	vent
desahuciar	evict
desajustar	misadjust
desalar	desalt
desalentar	discourage
desalinear	misalign
desalinizar	desalinate
desaliñar	dishevel
desalojar	evict
desalquilar	vacate
desamortizar	disentail	1
desamparar	abandon
desamueblar	unfurnish
desanclar	unanchor
desandar	retrace
desangrar	bleed
desanudar	untie
desaparecer	disappear
desapasionar	dispassion	1
desapegar	detach
desapretar	loosen
desaprobar	disapprove
desaprovechar	waste
desarbolar	dismast
desarmar	disarm
desarmonizar	disharmonize
desarraigar	uproot
desarreglar	disarrange
desarrendar	unrent	1
desarrimar	move away	1
desarrollar	develop
desarropar	uncover
desarrugar	smooth
desarticular	disjoint
desasir	let go
desasistir	abandon
desasnar	civilize
desasosegar	disquiet
desatar	untie
desatascar	unclog
