dominar	dominate
donar	donate
dopar	dope
dorar	brown
dormitar	doze
dosificar	dose
dotar	endow
dragar	dredge
dramatizar	dramatize
drenar	drain
driblar	dribble
drogar	drug
duchar	shower
dudar	doubt
dulcificar	sweeten
duplicar	duplicate
durar	last
echar	throw
eclipsar	eclipse
economizar	economize
edificar	build
editar	edit
educar	educate
edulcorar	sweeten
efectuar	carry out
ejecutar	execute
ejemplarizar	exemplify
ejemplificar	exemplify
ejercer	exercise
ejercitar	exercise
elaborar	produce
electrificar	electrify
electrizar	electrify
electrocutar	electrocute
electrolizar	electrolyze
elevar	raise
elidir	elide
eliminar	eliminate
elogiar	praise
elucidar	elucidate
elucubrar	muse
eludir	evade
emanar	emanate
emancipar	emancipate
emascular	emasculate
embadurnar	smear
embalar	pack
embaldosar	tile
embalsamar	embalm
embalsar	dam
embarazar	impregnate
embarcar	embark
embargar	seize
embarrancar	run aground
embarrar	muddy
embarullar	muddle
embaucar	deceive
embazar	dye	1
embeber	soak
embelesar	enchant
embellecer	beautify
embestir	charge
embetunar	polish
emblanquecer	whiten
embobar	fascinate
embolsar	pocket
emborrachar	intoxicate
emborrascar	stir up
emborronar	scribble
emboscar	ambush
embotar	blunt
embotellar	bottle
embotijar	bottle
embozar	muffle
embragar	engage clutch
embravecer	enrage
embrear	tar
embriagar	intoxicate
embridar	bridle
embrollar	muddle
embromar	tease
embrujar	bewitch
embrutecer	brutalize
embuchar	stuff
embutir	stuff
emerger	emerge
emigrar	emigrate
emitir	emit
emocionar	move
empacar	pack
empachar	upset
empadronar	register
empalagar	cloy
empalar	impale
empalidecer	pale
empalmar	join
empanar	bread
empantanar	flood
empañar	fog
empapar	soak
empapelar	wallpaper
empapuzar	stuff
empaquetar	package
emparedar	wall up
emparejar	pair
emparentar	relate
empastar	fill
empatar	tie
empavonar	burnish	1
empecer	hinder
empecinar	persist
empedrar	pave
empeñar	pawn
empeorar	worsen
empequeñecer	belittle
emperejilar	doll up
emperifollar	doll up
emperrar	persist
empitonar	gore	1
emplastecer	plaster	1
emplazar	summon
emplear	use
emplomar	lead
emplumar	feather
empobrecer	impoverish
empollar	hatch
empolvar	powder
emponzoñar	poison
emporcar	dirty
empotrar	embed
empujar	push
empuñar	grip
emular	emulate
emulsionar	emulsify
enajenar	alienate
enaltecer	exalt
enamorar	enamor
enamoriscar	be smitten
enarbolar	hoist
enarcar	arch
enardecer	inflame
enarenar	sand
encabalgar	overlap
encabestrar	halter
encabezar	head
encabritar	rear up
encabronar	anger
encadenar	chain
encajar	fit
encajonar	box
encallar	run aground
encallecer	callus
encallejonar	corner
encamar	bed
encaminar	direct
encanar	jail	1
encandilar	dazzle
encanecer	gray
encanijar	weaken
encantar	enchant
encanutar	roll	1
encañonar	aim
encapotar	cloud over
encaprichar	take a fancy
encapsular	encapsulate
encapuchar	hood
encaramar	hoist
encarar	face
encarcelar	imprison
encarecer	raise price
encargar	order
encariñar	grow fond
encarnar	embody
encarnizar	enrage
encarpetar	shelve
encarrilar	guide
encartar	implicate
encartonar	board
encasillar	pigeonhole
encasquetar	pull on
encasquillar	jam
encastrar	embed
encausar	prosecute
encauzar	channel
encebollar	cook with onions
encelar	make jealous
enceldar	confine
encenagar	mire
encender	light
encerar	wax
encerrar	lock up
encestar	score basket
encharcar	flood
enchufar	plug in
encintar	ribbon
encizañar	sow discord
enclaustrar	cloister
enclavar	nail
encocorar	annoy
encofrar	shutter
encoger	shrink
encolar	glue
encolerizar	enrage
encomendar	entrust
encomiar	praise
enconar	inflame
encontrar	find
encopetar	puff up
encorajinar	enrage
encorbatar	put on tie
encordar	string
encorsetar	corset
encorvar	bend
encrespar	curl
encuadernar	bind
encuadrar	frame
encubrir	conceal
encuestar	survey
encumbrar	exalt
encurtir	pickle
endemoniar	bedevil
enderezar	straighten
endeudar	get into debt
endilgar	foist
endiñar	land
endiosar	deify
endomingar	dress up
endosar	endorse
endulzar	sweeten
endurecer	harden
enemistar	estrange
enervar	enervate
enfadar	anger
enfajar	swaddle
enfangar	muddy
enfatizar	emphasize
enfermar	sicken
enfervorizar	rouse
enfilar	line up
enflaquecer	thin
enfocar	focus
enfoscar	plaster
enfrascar	immerse
enfrentar	confront
enfriar	cool
enfundar	sheathe
enfurecer	enrage
enfurruñar	sulk
engalanar	adorn
enganchar	hook
engañar	deceive
engarabitar	climb	1
engarzar	thread
engastar	set
engatusar	cajole
engendrar	beget
englobar	encompass
engolar	intone
engolfar	plunge
engolosinar	tempt
engomar	gum
engominar	gel hair
engordar	fatten
engranar	mesh
engrandecer	enlarge
engrasar	grease
engreír	make conceited
engrescar	incite
engrosar	thicken
enguachinar	soak	1
enguantar	glove
enguarrar	dirty
engullir	gobble
engurruñar	shrivel
enharinar	flour
enhebrar	thread
enjabonar	soap
enjaezar	harness
enjalbegar	whitewash
enjaretar	rattle off
enjaular	cage
enjoyar	bejewel
enjuagar	rinse
enjugar	wipe
enjuiciar	judge
enladrillar	brick
enlatar	can
enlazar	link
enlodar	muddy
enloquecer	madden
enlosar	pave
enlucir	plaster
enlutar	put in mourning
enmadrar	cling to mother
enmarañar	tangle
enmarcar	frame
enmascarar	mask
enmendar	amend
enmohecer	mold
enmoquetar	carpet
