explosionar	explode
explotar	exploit
expoliar	plunder
exponer	expose
exportar	export
expresar	express
exprimir	squeeze
expropiar	expropriate
expugnar	storm	1
expulsar	expel
expurgar	expurgate
extasiar	enrapture
extender	extend
extenuar	exhaust
exteriorizar	express
exterminar	exterminate
extirpar	extirpate
extorsionar	extort
extractar	abstract	1
extraditar	extradite
extraer	extract
extralimitar	overstep
extranjerizar	foreignize	1
extrañar	miss
extrapolar	extrapolate
extraviar	misplace
extremar	maximize	1
exudar	exude
exultar	exult
eyacular	ejaculate
fabricar	manufacture
fabular	fabricate
facilitar	facilitate
facturar	invoice
facultar	authorize
faenar	fish	1
fagocitar	phagocytose
fajar	wrap	1
faldear	skirt	1
fallar	fail
fallecer	die
falsear	falsify
falsificar	forge
faltar	lack
familiarizar	familiarize
fanatizar	fanaticize	1
fanfarronear	brag
fantasear	fantasize
fardar	show off
farfullar	mumble
farolear	boast
fascinar	fascinate
fastidiar	annoy
fatigar	tire
favorecer	favor
fechar	date
fecundar	fertilize
federar	federate
felicitar	congratulate
fenecer	perish
feriar	trade	1
fermentar	ferment
fertilizar	fertilize
festejar	celebrate
festonear	festoon	1
fiar	trust
fichar	sign up
figurar	figure
fijar	fix
filetear	fillet
filiar	enroll	1
filmar	film
filosofar	philosophize
filtrar	filter
finalizar	finish
financiar	finance
fingir	pretend
finiquitar	settle
firmar	sign
fiscalizar	oversee
fisgar	snoop
fisgonear	snoop
flagelar	flagellate
flambear	flambé
flamear	flame
flanquear	flank
flaquear	weaken
flechar	captivate
fletar	charter
flexibilizar	loosen
flexionar	flex
flirtear	flirt
flojear	slacken
florear	adorn	1
florecer	flourish
flotar	float
fluctuar	fluctuate
fluidificar	fluidify	1
fluir	flow
fluorar	fluoridate	1
focalizar	focus
foguear	fire	1
foliar	foliate	1
follar	screw
fomentar	foster
fondear	anchor
forcejear	struggle
forestar	afforest
forjar	forge
formalizar	formalize
formatear	format
formular	formulate
fornicar	fornicate
forrajear	forage
forrar	line
fortalecer	strengthen
fortificar	fortify
fosforescer	phosphoresce
fosilizar	fossilize
fotocopiar	photocopy
fotografiar	photograph
fotosintetizar	photosynthesize
fracasar	fail
fraccionar	divide
fracturar	fracture
fragmentar	fragment
fraguar	forge
franquear	clear
frasear	phrase
fraternizar	fraternize
frecuentar	frequent
fregar	scrub
fregotear	scrub	1
frenar	brake
fresar	mill
friccionar	rub
frisar	border on
frivolizar	trivialize
frotar	rub
fructificar	bear fruit
frustrar	frustrate
fugar	flee
fulgurar	flash
fulminar	strike down
fumar	smoke
fumigar	fumigate
funcionar	work
fundamentar	base
fundar	found
fundir	melt
fusilar	shoot
fusionar	merge
fustigar	whip
gafar	jinx
galantear	court
galardonar	award
gallardear	flaunt	1
gallear	strut	1
galopar	gallop
galvanizar	galvanize
gamberrear	cause trouble
gandulear	loaf
gangrenar	gangrene
gansear	clown	1
gañir	yelp
garabatear	scribble
garantizar	guarantee
gargajear	spit
gargarizar	gargle
garrapatear	scribble	1
garrapiñar	candy	1
gasear	gas
gasificar	gasify
gatear	crawl
gemir	moan
generalizar	generalize
generar	generate
germanizar	germanize
germinar	germinate
gestar	gestate
gesticular	gesticulate
gestionar	manage
gibar	annoy	1
gimotear	whimper
girar	turn
gitanear	wheedle	1
glasear	glaze
globalizar	globalize
gloriar	glory
glorificar	glorify
gobernar	govern
golear	score
golfear	loaf	1
golosear	nibble	1
golpetear	tap
gorgoritear	trill	1
gorgotear	gurgle
gorjear	chirp
gorronear	scrounge
gotear	drip
gozar	enjoy
grabar	record
graduar	graduate
gramaticalizar	grammaticalize
granar	seed	1
granjear	earn
granular	granulate
gratificar	gratify
gratinar	gratin
gravar	tax
gravitar	gravitate
graznar	caw
grillar	sprout	1
gripar	seize up
grisear	gray	1
gritar	shout
gruñir	growl
guardar	keep
guarecer	shelter
guarnecer	garnish
guarnicionar	garrison	1
guarrear	mess up	1
guasear	joke
guerrear	wage war
guerrillear	wage guerrilla war	1
guiar	guide
guillotinar	guillotine
guiñar	wink
guipar	see	1
guisar	cook
gulusmear	snoop	1
habilitar	enable
habitar	inhabit
habituar	accustom
hacinar	pile up
halagar	flatter
hallar	find
haraganear	loaf
hartar	fill
hastiar	bore
hebraizar	hebraize	1
hechizar	bewitch
heder	stink
helenizar	hellenize
henchir	fill
hendir	cleave
heñir	knead	1
heredar	inherit
herir	wound
hermanar	join
hermosear	beautify
herniar	herniate
herrar	shoe
herrumbrar	rust
hidratar	hydrate
higienizar	sanitize
hilar	spin
hilvanar	baste
himplar	snarl	1
hincar	thrust
hinchar	inflate
hipar	hiccup
hipertrofiar	hypertrophy
hipnotizar	hypnotize
hipotecar	mortgage
hispanizar	hispanicize
historiar	chronicle
hocicar	root	1
hojaldrar	puff	1
hojear	browse
holgar	rest
holgazanear	loaf
hollar	tread
homenajear	honor
homogeneizar	homogenize
homologar	approve
hondear	sound	1
honrar	honor
horadar	pierce
hormiguear	tingle
hornear	bake
horripilar	horrify
horrorizar	horrify
hospedar	lodge
hospitalizar	hospitalize
hostiar	wallop	1
hostigar	harass
hostilizar	harass
hozar	root	1
humanizar	humanize
humar	smoke	1
humear	smoke
humedecer	moisten
humidificar	humidify
humillar	humiliate
hundir	sink
hurgar	rummage
huronear	pry	1
hurtar	steal
husmear	sniff
