localizar	locate
lograr	achieve
loquear	act crazy	1
lubricar	lubricate
lubrificar	lubricate
luchar	fight
lucrar	profit
lucubrar	ponder	1
lustrar	polish
luxar	dislocate
macerar	macerate
machacar	crush
madrugar	rise early
madurar	mature
magnetizar	magnetize
magnificar	magnify
magullar	bruise
majar	crush
malacostumbrar	spoil
malcasar	mismarry	1
malcomer	eat poorly
malcriar	spoil
maldecir	curse
malear	corrupt
maleducar	spoil
malgastar	squander
malherir	wound badly
malhumorar	make grumpy
maliciar	suspect
malinterpretar	misinterpret
malmeter	incite	1
malograr	spoil
maltraer	mistreat	1
maltratar	mistreat
malvender	sell cheap
malversar	embezzle
malvivir	scrape by
mamar	suckle
manchar	stain
mancillar	tarnish
mancipar	enslave	1
mancomunar	pool
mandar	send
manducar	eat	1
manejar	handle
mangar	pinch
mangonear	boss around
maniatar	handcuff
manifestar	show
maniobrar	maneuver
manipular	manipulate
manosear	fondle
manotear	gesticulate
mantear	toss	1
mantener	maintain
manufacturar	manufacture
manumitir	emancipate
manuscribir	handwrite
maquetar	lay out
maquilar	assemble
maquillar	make up
maquinar	scheme
maquinizar	mechanize
maravillar	amaze
marcar	mark
marchar	march
marchitar	wither
marear	make dizzy
marginar	marginalize
maridar	marry	1
martillar	hammer
martillear	hammer
martirizar	martyr
masacrar	massacre
masajear	massage
mascar	chew
masculinizar	masculinize
mascullar	mumble
masificar	overcrowd
masticar	chew
masturbar	masturbate
matar	kill
matasellar	postmark
materializar	materialize
maternizar	humanize milk	1
matizar	nuance
matricular	enroll
matrimoniar	marry	1
maullar	meow
maximizar	maximize
mear	pee
mecanizar	mechanize
mecanografiar	type
mecer	rock
mechar	lard	1
mediar	mediate
mediatizar	influence
medicar	medicate
medicinar	medicate
meditar	meditate
medrar	prosper
mejorar	improve
mellar	notch
memorizar	memorize
mencionar	mention
mendigar	beg
menear	wiggle
menguar	wane
menoscabar	diminish
menospreciar	scorn
menstruar	menstruate
mensualizar	monthly bill	1
mentalizar	prepare mentally
mentar	mention
mentir	lie
menudear	occur often	1
mercadear	trade
mercantilizar	commercialize
mercar	buy
merecer	deserve
merendar	snack
mermar	dwindle
merodear	prowl
mesar	tear hair	1
mestizar	crossbreed
mesurar	moderate
metabolizar	metabolize
metaforizar	metaphorize	1
metalizar	metallize
metamorfosear	metamorphose
meteorizar	bloat	1
metodizar	systematize
mezclar	mix
microfilmar	microfilm
migar	crumble	1
militar	militate
militarizar	militarize
mimar	pamper
minar	mine
mineralizar	mineralize
miniaturizar	miniaturize
minimizar	minimize
ministrar	administer	1
minusvalorar	undervalue
mistificar	mystify
mitificar	mythologize
mitigar	mitigate
mixtificar	mystify
mocar	blow nose	1
modelar	model
moderar	moderate
modernizar	modernize
modificar	modify
modular	modulate
mofar	mock
mojar	wet
moldar	mold	1
moldear	mold
moler	grind
molestar	bother
momificar	mummify
mondar	peel
monitorizar	monitor
monologar	soliloquize
monopolizar	monopolize
monoptongar	monophthongize	1
montar	mount
monumentalizar	monumentalize	1
moquear	have runny nose
moralizar	moralize
morar	dwell
mordisquear	nibble
morigerar	temper	1
mortificar	mortify
mosconear	pester	1
mosquear	annoy
motear	speckle	1
motejar	nickname	1
motivar	motivate
motorizar	motorize
movilizar	mobilize
mudar	move
mugir	moo
mullir	fluff
multar	fine
multicopiar	duplicate
multiplicar	multiply
municipalizar	municipalize
murar	wall	1
murmurar	murmur
musicar	set to music
musitar	mutter
mustiar	wither	1
mutar	mutate
mutilar	mutilate
nacer	be born
nacionalizar	nationalize
narcotizar	drug
narrar	narrate
nasalizar	nasalize
naturalizar	naturalize
naufragar	shipwreck
navegar	navigate
negociar	negotiate
negrear	turn black	1
neurotizar	neuroticize	1
neutralizar	neutralize
ningunear	belittle
niñear	act childish	1
niquelar	nickel-plate
nivelar	level
nombrar	name
nominar	nominate
noquear	knock out
normalizar	normalize
notar	notice
notificar	notify
novelar	novelize
nuclearizar	nuclearize	1
numerar	number
obcecar	blind	1
obedecer	obey
objetar	object
objetivar	objectify
obligar	oblige
obliterar	obliterate
obnubilar	bewilder
obrar	work
obsequiar	gift
observar	observe
obsesionar	obsess
obstaculizar	hinder
obstar	hinder	1
obstinar	persist
obstruir	obstruct
obturar	plug
obviar	obviate
ocasionar	cause
ociar	idle	1
ocluir	occlude
ocultar	hide
ocupar	occupy
odiar	hate
ofertar	offer
oficializar	officialize
oficiar	officiate
ofrecer	offer
ofrendar	offer
ofuscar	bewilder
ojear	glance at
olfatear	sniff
olisquear	sniff
olvidar	forget
omitir	omit
ondear	wave
ondular	undulate
operar	operate
opinar	opine
oponer	oppose
opositar	compete	1
oprimir	oppress
optar	opt
optimar	optimize	1
optimizar	optimize
orar	pray
ordenar	order
ordeñar	milk
orear	air	1
organizar	organize
orientar	orient
originar	originate
orillar	skirt	1
orinar	urinate
orlar	border	1
ornamentar	ornament
ornar	adorn
orquestar	orchestrate
osar	dare
oscilar	oscillate
oscurecer	darken
ostentar	flaunt
otear	scan	1
otorgar	grant
ovacionar	cheer
ovalar	make oval	1
ovar	lay eggs	1
ovillar	wind up	1
ovular	ovulate
oxidar	oxidize
oxigenar	oxygenate
pacer	graze
pacificar	pacify
pactar	agree
padecer	suffer
paginar	paginate
paladear	savor
palatalizar	palatalize
paliar	alleviate
palidecer	pale
palmar	die
