palmear	clap
palmotear	clap
palpar	feel
palpitar	throb
panificar	make bread
papear	eat
parabolizar	parabolize	1
parafrasear	paraphrase
paralizar	paralyze
parangonar	compare
parapetar	take cover
parar	stop
parcelar	parcel
parchear	patch
parcializar	bias	1
parecer	seem
parir	give birth
parlamentar	parley
parlar	chatter
parlotear	chatter
parodiar	parody
parpadear	blink
parrandear	revel
participar	participate
particularizar	specify
pasar	pass
pasear	stroll
pasmar	astonish
pastar	graze
pasteurizar	pasteurize
pastorear	shepherd
patalear	stamp
patear	kick
patentar	patent
patentizar	reveal
patinar	skate
patrocinar	sponsor
patrullar	patrol
pausar	pause
pautar	set rules
pavimentar	pave
pavonear	strut
pecar	sin
pechar	shoulder
pedalear	pedal
pedorrear	fart	1
pegar	hit
pegotear	scrounge	1
peinar	comb
pelar	peel
pelear	fight
peligrar	endanger
pellizcar	pinch
pelotear	knock about
penalizar	penalize
pender	hang
pendonear	gallivant	1
penetrar	penetrate
pensionar	pension
peraltar	bank	1
percatar	notice
percibir	perceive
percutir	strike
perdonar	forgive
perdurar	endure
perecer	perish
peregrinar	pilgrimage
perennizar	perpetuate
perfeccionar	perfect
perfilar	outline
perforar	drill
perfumar	perfume
pergeñar	contrive	1
periclitar	decline	1
peritar	appraise
perjudicar	harm
perjurar	swear
perlar	bead	1
permanecer	remain
permutar	swap
pernoctar	stay overnight
perorar	hold forth
perpetrar	perpetrate
perpetuar	perpetuate
perseguir	pursue
perseverar	persevere
persignar	cross oneself
persistir	persist
personalizar	personalize
personar	appear
personificar	personify
persuadir	persuade
pertenecer	belong
pertrechar	equip
perturbar	disturb
pervertir	pervert
pervivir	survive
pesar	weigh
pescar	fish
pespuntear	backstitch	1
pestañear	blink
petar	please	1
petardear	backfire	1
peticionar	petition
petrificar	petrify
piafar	paw	1
piar	chirp
picar	sting
picotear	peck
pifiar	bungle
pigmentar	pigment
pillar	catch
pilotar	pilot
pimplar	booze	1
pincelar	brush
pinchar	prick
pintarrajear	daub
pinzar	clamp
pirar	flee
piratear	pirate
piropear	flatter
pirrar	love	1
piruetear	pirouette
pisar	step
pisotear	trample
pitar	whistle
pitorrear	mock
pivotar	pivot
plagar	plague
plagiar	plagiarize
planchar	iron
planear	plan
planificar	plan
plantar	plant
plantear	pose
plantificar	plant	1
plañir	wail
plasmar	embody
plastificar	laminate
platear	silver-plate
plegar	fold
pleitear	litigate
plisar	pleat
pluralizar	pluralize
poblar	populate
podar	prune
podrir	rot
poetizar	poeticize
polarizar	polarize
polemizar	debate
policromar	polychrome	1
polinizar	pollinate
politizar	politicize
polucionar	pollute
pontificar	pontificate
popularizar	popularize
pordiosear	beg
porfiar	insist
pormenorizar	detail
portar	carry
portear	transport
posar	pose
posesionar	take possession
posibilitar	enable
posicionar	position
positivar	develop	1
posponer	postpone
postergar	postpone
postinear	show off	1
postrar	prostrate
postular	postulate
potabilizar	purify
potar	puke
potenciar	boost
practicar	practice
precaver	guard against
preceder	precede
preciar	value
precintar	seal
precipitar	precipitate
precisar	specify
preconcebir	preconceive
preconizar	advocate
predatar	predate	1
predestinar	predestine
predeterminar	predetermine
predicar	preach
predisponer	predispose
predominar	predominate
preexistir	preexist
preferir	prefer
prefigurar	prefigure
prefijar	prefix
pregonar	proclaim
preguntar	ask
prejuzgar	prejudge
preludiar	prelude
premeditar	premeditate
premiar	reward
prendar	captivate
prender	seize
prensar	press
preñar	impregnate
preocupar	worry
preparar	prepare
preponderar	preponderate
presagiar	foreshadow
prescindir	dispense with
prescribir	prescribe
preseleccionar	preselect
presenciar	witness
presentar	present
presentir	foresee
preservar	preserve
presidir	preside
presintonizar	preset	1
presionar	press
prestar	lend
prestigiar	dignify
presumir	presume
presuponer	presuppose
presupuestar	budget
presurizar	pressurize
pretender	intend
pretextar	pretext
prevalecer	prevail
prevaricar	prevaricate
prevenir	prevent
primar	prevail
pringar	grease
priorizar	prioritize
privar	deprive
privatizar	privatize
privilegiar	favor
probar	test
proceder	proceed
proclamar	proclaim
procrear	procreate
procurar	procure
prodigar	lavish
producir	produce
profanar	desecrate
proferir	utter
profesar	profess
profesionalizar	professionalize
profetizar	prophesy
profundizar	deepen
programar	program
progresar	progress
proliferar	proliferate
prologar	preface
prolongar	prolong
promediar	average
promocionar	promote
promulgar	promulgate
pronosticar	forecast
pronunciar	pronounce
propagar	propagate
propalar	divulge
propasar	overstep
propender	tend
propiciar	foster
propinar	deal
proporcionar	provide
propugnar	advocate
propulsar	propel
prorratear	prorate
prorrogar	extend
prorrumpir	burst out
proscribir	proscribe
proseguir	continue
prosificar	prosify	1
prosperar	prosper
prosternar	prostrate
prostituir	prostitute
protagonizar	star
proteger	protect
protestar	protest
proveer	provide
provenir	come from
provocar	provoke
proyectar	project
psicoanalizar	psychoanalyze
publicar	publish
publicitar	advertise
puentear	bypass
pugnar	struggle
pujar	bid
pulimentar	polish
pulir	polish
pulsar	press
pulular	swarm
pulverizar	pulverize
puntear	dot
puntualizar	specify
puntuar	punctuate
punzar	prick
purgar	purge
purificar	purify
putear	pester
