quebrantar	break
quebrar	break
quemar	burn
querellar	sue
quintuplicar	quintuple
quitar	remove
rabiar	rage
racanear	skimp	1
racionalizar	rationalize
racionar	ration
radiar	radiate
radicalizar	radicalize
radicar	reside
radiodifundir	broadcast
radiografiar	x-ray
radiotelegrafiar	radiotelegraph	1
rajar	slit
ralentizar	slow
rallar	grate
ramificar	branch
ramonear	browse	1
rapar	shave
raptar	abduct
rarificar	rarefy	1
rascar	scratch
rasgar	tear
rasguear	strum
raspar	scrape
rastrear	track
rastrillar	rake
rastrojar	clear stubble	1
rasurar	shave
ratificar	ratify
rayar	scratch
razonar	reason
reabrir	reopen
reabsorber	reabsorb
reaccionar	react
reactivar	reactivate
readaptar	readapt
readmitir	readmit
reafirmar	reaffirm
reagrupar	regroup
reajustar	readjust
realizar	carry out
realojar	rehouse
realquilar	sublet
realzar	enhance
reanimar	revive
reanudar	resume
reaparecer	reappear
rearmar	rearm
reasegurar	reinsure
reavivar	revive
rebajar	lower
rebanar	slice
rebañar	scrape clean	1
rebasar	exceed
rebatir	refute
rebelar	rebel
reblandecer	soften
rebobinar	rewind
rebordear	edge	1
rebosar	overflow
rebotar	bounce
rebozar	batter
rebrotar	resprout
rebuscar	search
rebuznar	bray
recabar	obtain
recaer	relapse
recalar	make landfall	1
recalcar	stress
recalentar	reheat
recalificar	requalify
recamar	embroider	1
recambiar	change
recapacitar	reconsider
recapitular	recap
recargar	recharge
recatar	conceal	1
recauchutar	retread	1
recaudar	collect
recelar	suspect
recetar	prescribe
rechazar	reject
rechinar	creak
rechistar	protest
reciclar	recycle
recidivar	relapse	1
recitar	recite
reclamar	claim
reclinar	recline
recluir	confine
reclutar	recruit
recobrar	recover
recocer	overcook
recochinear	gloat	1
recolectar	harvest
recomendar	recommend
recomenzar	restart
recomer	fret	1
recompensar	reward
recomponer	repair
reconcentrar	concentrate
reconciliar	reconcile
reconcomer	fret	1
reconfirmar	reconfirm
reconfortar	comfort
reconquistar	reconquer
reconsiderar	reconsider
reconstituir	reconstitute
reconstruir	rebuild
recontar	recount
reconvenir	reproach
reconvertir	reconvert
recopilar	compile
recorrer	travel
recortar	trim
recoser	resew
recostar	lean
recrear	recreate
recriminar	recriminate
recrudecer	worsen
rectificar	rectify
recuadrar	frame	1
recubrir	cover
recular	back up
recuperar	recover
recurrir	resort
recusar	challenge
redactar	draft
redefinir	redefine
redimir	redeem
redistribuir	redistribute
redoblar	redouble
redondear	round
reducir	reduce
redundar	result	1
reduplicar	reduplicate
reedificar	rebuild
reeditar	reissue
reeducar	reeducate
reelaborar	rework
reeligir	reelect
reembarcar	reembark
reembolsar	refund
reemplazar	replace
reencarnar	reincarnate
reencontrar	reunite
reencuadernar	rebind
reenganchar	rehook	1
reensayar	rehearse	1
reenviar	forward
reescribir	rewrite
reestrenar	revive
reestructurar	restructure
reexaminar	reexamine
reexpedir	reship
reexportar	reexport
referir	refer
refinar	refine
reflejar	reflect
reflexionar	reflect
reflorecer	reflower	1
reflotar	refloat
refluir	ebb
refocilar	delight	1
reforestar	reforest
reformar	reform
reforzar	reinforce
refractar	refract
refregar	scrub
refreír	refry
refrenar	restrain
refrendar	endorse
refrescar	refresh
refrigerar	refrigerate
refugiar	shelter
refulgir	shine
refundir	recast
refunfuñar	grumble
refutar	refute
regalar	give
regañar	scold
regar	water
regatear	haggle
regenerar	regenerate
regentar	manage
regionalizar	regionalize
regir	govern
registrar	register
reglamentar	regulate
reglar	regulate
regocijar	rejoice
regodear	delight	1
regular	regulate
regularizar	regularize
regurgitar	regurgitate
rehabilitar	rehabilitate
rehogar	sauté
rehuir	avoid
rehumedecer	remoisten	1
rehundir	sink	1
reimplantar	reimplant
reimportar	reimport
reimprimir	reprint
reinar	reign
reincidir	relapse
reincorporar	reinstate
reingresar	reenter
reiniciar	restart
reinscribir	reenroll
reinsertar	reinsert
reinstalar	reinstall
reintegrar	reintegrate
reinvertir	reinvest
reiterar	reiterate
reivindicar	claim
rejonear	spear bull	1
rejuvenecer	rejuvenate
relacionar	relate
relajar	relax
relamer	lick
relanzar	relaunch
relatar	recount
relativizar	relativize
releer	reread
relegar	relegate
relevar	relieve
religar	rebind	1
relinchar	neigh
rellenar	fill
relucir	shine
relumbrar	dazzle
remachar	rivet
remangar	roll up
remansar	pool	1
remar	row
remarcar	emphasize
remasterizar	remaster
rematar	finish off
rembolsar	refund
remedar	mimic
remediar	remedy
rememorar	recall
remendar	mend
remeter	tuck
remitir	send
remodelar	remodel
remojar	soak
remolcar	tow
remolonear	dawdle
remontar	go back
remorder	cause remorse	1
remover	stir
remozar	renovate
remplazar	replace
remunerar	remunerate
renacer	be reborn
rendir	yield
renegar	deny
renegociar	renegotiate
renombrar	rename
renovar	renew
renquear	limp
rentabilizar	monetize
renunciar	resign
reñir	quarrel
reordenar	reorder
reorganizar	reorganize
reparar	repair
repartir	distribute
repasar	review
repatear	annoy	1
repatriar	repatriate
repeinar	recomb	1
repeler	repel
repensar	rethink
repercutir	affect
repescar	refish	1
repetir	repeat
repicar	ring
repintar	repaint
repiquetear	jingle
replantar	replant
replantear	reconsider
replegar	fold
replicar	reply
repoblar	repopulate
reportar	report
reposar	rest
repostar	refuel
representar	represent
reprimir	repress
reprobar	fail
reprocesar	reprocess
reprochar	reproach
reptar	crawl
repudiar	repudiate
