subsidiar	subsidize
subsistir	subsist
subsumir	subsume
subtitular	subtitle
subvencionar	subsidize
subvenir	defray	1
subvertir	subvert
subyacer	underlie
subyugar	subjugate
succionar	suck
suceder	happen
sucumbir	succumb
sudar	sweat
sufragar	defray
sugerir	suggest
sugestionar	influence
suicidar	commit suicide
sujetar	hold
sulfatar	sulfate	1
sulfurar	infuriate
sumar	add
sumariar	summarize	1
sumergir	submerge
suministrar	supply
sumir	plunge
supeditar	subordinate
superabundar	overabound	1
superar	surpass
superponer	superimpose
supervalorar	overvalue
supervisar	supervise
suplantar	supplant
suplicar	beg
suplir	substitute
suprimir	suppress
supurar	suppurate
surcar	furrow
surgir	emerge
surtir	supply
suscitar	provoke
suscribir	subscribe
suspender	suspend
suspirar	sigh
sustanciar	substantiate
sustantivar	nominalize	1
sustentar	sustain
sustituir	substitute
sustraer	subtract
susurrar	whisper
suturar	suture
tabicar	wall up	1
tablear	plank	1
tabular	tabulate
tachar	cross out
tachonar	stud
taconear	tap heels	1
tajar	slice
taladrar	drill
talar	fell
tallar	carve
tambalear	stagger
tamborilear	drum
tamizar	sift
tanguear	tango	1
tantear	test
tapar	cover
tapear	snack	1
tapiar	wall up
tapizar	upholster
taponar	plug
taquigrafiar	stenograph	1
taracear	inlay	1
tarar	tare	1
tararear	hum
tardar	delay
tarifar	price	1
tarjetear	card	1
tartajear	stammer	1
tartamudear	stutter
tasar	appraise
tatarear	hum	1
tatuar	tattoo
teatralizar	dramatize
techar	roof
teclear	type
tecnificar	modernize	1
teledirigir	remote control
telefonear	phone
telegrafiar	telegraph
televisar	televise
temblar	tremble
temblequear	shiver	1
temperar	temper
templar	temper
temporizar	temporize
tender	spread
tensar	tighten
tensionar	tension
tentar	tempt
teñir	dye
teologizar	theologize	1
teorizar	theorize
terciar	mediate
tergiversar	distort
terminar	finish
terraplenar	embank	1
tersar	smooth	1
testar	bequeath
testificar	testify
testimoniar	testify
tildar	brand
timar	swindle
timbrar	stamp
tintar	dye
tintinear	tinkle
tipificar	classify
tiranizar	tyrannize
tirar	throw
tiritar	shiver
tirotear	shoot
titilar	twinkle
titubear	hesitate
titular	title
titularizar	tenure	1
tiznar	smudge
toldar	awning	1
tolerar	tolerate
tonificar	tone
tonsurar	tonsure	1
tontear	fool around
topar	bump
toquetear	fondle
torcer	twist
torear	bullfight
tornar	return
tornasolar	iridesce	1
tornear	turn
torpedear	torpedo
torrar	roast	1
torturar	torture
toser	cough
tostar	toast
totalizar	total
trabar	bind
traficar	traffic
tragar	swallow
traicionar	betray
trajear	dress	1
trajinar	bustle
tramar	plot
tramitar	process
trampear	cheat
trancar	bar
tranquilizar	calm
transbordar	transfer
transcribir	transcribe
transcurrir	elapse
transferir	transfer
transfigurar	transfigure
transformar	transform
transfundir	transfuse
transgredir	transgress
transigir	compromise
transitar	travel
transliterar	transliterate
transmigrar	transmigrate
transmitir	transmit
transmutar	transmute
transparentar	reveal
transpirar	perspire
transportar	transport
trapacear	cheat	1
trapichear	deal	1
traquetear	rattle
trasbordar	transfer
trascender	transcend
trasegar	decant
trashumar	migrate	1
trasladar	move
traslucir	reveal
trasmutar	transmute
trasnochar	stay up
traspapelar	misplace
traspasar	transfer
trasplantar	transplant
trasponer	transpose
trasquilar	shear
trastabillar	stumble	1
trastear	rummage
trastocar	disrupt
trastornar	upset
trasvasar	decant
tratar	treat
traumatizar	traumatize
travestir	cross-dress
trazar	trace
tremolar	wave	1
trenzar	braid
trepanar	trepan	1
trepar	climb
trepidar	shake
tributar	pay tribute
tricotar	knit
trillar	thresh
trinar	trill
trincar	bind
triplicar	triple
triptongar	triphthong	1
tripular	crew
triturar	crush
triunfar	triumph
trivializar	trivialize
trizar	shatter	1
trocear	cut up
trompetear	trumpet	1
tronchar	snap
tropezar	stumble
troquelar	stamp	1
trotar	trot
trovar	versify	1
trucar	rig
trufar	stuff	1
truncar	truncate
tullir	cripple	1
tumbar	knock down
tundir	shear	1
tupir	pack	1
turbar	disturb
turnar	take turns
tutelar	protect
ubicar	locate
ufanar	boast
ulcerar	ulcerate
ultimar	finalize
ultrajar	outrage
ulular	howl
uncir	yoke	1
ungir	anoint
unificar	unify
uniformar	standardize
universalizar	universalize
untar	smear
urbanizar	urbanize
urdir	scheme
urgir	urge
usufructuar	usufruct	1
usurar	practice usury
usurpar	usurp
utilizar	use
vacar	be vacant	1
vaciar	empty
vacilar	hesitate
vacunar	vaccinate
vadear	ford
vagabundear	wander
vagar	wander
vaguear	loaf	1
validar	validate
vallar	fence
valorar	value
valorizar	value
vampirizar	vampirize	1
vanagloriar	boast
vaporizar	vaporize
vapulear	thrash
varar	beach
variar	vary
vaticinar	predict
vedar	prohibit
vegetar	vegetate
vehicular	convey
vejar	humiliate
velar	watch over
vendar	bandage
vendimiar	harvest
venerar	venerate
vengar	avenge
ventajear	outdo	1
ventear	air	1
ventilar	ventilate
ventiscar	blizzard	1
ventosear	pass wind	1
veranear	summer
verbalizar	verbalize
verdear	green	1
verificar	verify
versar	deal with
versificar	versify
vertebrar	structure
verter	pour
vestir	dress
vetar	veto
vetear	streak	1
viabilizar	enable
vibrar	vibrate
viciar	corrupt
vidriar	glaze	1
vigilar	watch
vigorizar	invigorate
vilipendiar	vilify
