vincular	link
vindicar	vindicate
violar	violate
violentar	force
virar	turn
virilizar	virilize	1
visar	endorse
visibilizar	make visible
visionar	view
vislumbrar	glimpse
visualizar	visualize
vitorear	cheer
vitrificar	vitrify
vituperar	revile
vivaquear	bivouac
vivificar	revive
vocalizar	vocalize
vocear	shout
vociferar	vociferate
volar	fly
volatilizar	volatilize
volcar	overturn
volear	volley
voltear	flip
vomitar	vomit
votar	vote
vulcanizar	vulcanize
vulgarizar	popularize
vulnerar	violate
xerocopiar	photocopy
xerografiar	xerograph	1
yantar	dine
yermar	lay waste	1
yodurar	iodize	1
yugular	stem
yuxtaponer	juxtapose
zafar	loosen
zaherir	wound
zamarrear	shake
zambullir	plunge
zampar	gobble
zanganear	loaf
zanjar	settle
zapar	sap
zapatear	tap
zapear	channel surf
zarandear	shake
zarpar	set sail
zascandilear	bustle about	1
zigzaguear	zigzag
zonificar	zone
zorrear	prowl	1
zozobrar	capsize
zumbar	buzz
zurcir	darn
zurrar	thrash
