abajar	lower
abalanzar	hurl
abalar	shake
abalizar	mark with buoys
aballar	drive
abanar	fan
abanderar	register under a flag
abandonar	abandon
abanicar	fan
abaratar	cheapen
abarcar	encompass
abarquillar	curl
abarrotar	cram
abastecer	supply
abatir	knock down
abdicar	abdicate
abetunar	polish with shoe wax
abigarrar	make gaudy
abismar	plunge
abjurar	abjure
ablandar	soften
abnegar	deny oneself
abobar	stupefy
abocar	pour
abocetar	sketch
abochornar	embarrass
abocinar	flare
abofetear	slap
abogar	advocate
abollar	dent
abombar	make convex
abominar	abhor
abonar	fertilize
abordar	board
aborrecer	loathe
aborregar	get fleecy clouds
abortar	abort
abotargar	get bloated
abotonar	button
abovedar	vault
abrasar	burn
abrevar	water
abreviar	abbreviate
abrigar	shelter
abrochar	fasten
abrogar	repeal
abrumar	overwhelm
absolver	absolve
abstener	abstain
abstraer	abstract
abuchear	boo
abultar	bulk up
abundar	abound
aburguesar	make bourgeois
aburrir	bore
abusar	abuse
acabar	finish
acaecer	happen
acallar	silence
acalorar	heat up
acampar	camp
acanalar	groove
acantonar	quarter
acaparar	hoard
acaramelar	coat with caramel
acariciar	caress
acarrear	cart
acartonar	get stiff
acatar	obey
acatarrar	give a cold
acaudalar	accumulate wealth
acaudillar	lead
acceder	accede
accidentar	have an accident
accionar	operate
acechar	stalk
aceitar	oil
acelerar	accelerate
acendrar	purify
acentuar	accentuate
aceptar	accept
acerar	steel
acercar	bring closer
acertar	guess right
achabacanar	vulgarize
achacar	attribute
achantar	intimidate
achaparrar	grow stunted
acharolar	varnish
achatar	flatten
achicar	make smaller
achicharrar	scorch
achinar	intimidate
achispar	make tipsy
achuchar	shove
acicalar	spruce up
acidificar	acidify
acidular	make slightly acid
aclamar	acclaim
aclarar	clarify
aclimatar	acclimatize
acobardar	intimidate
acodar	bend
acoger	welcome
acogotar	collar
acolchar	pad
acometer	attack
acomodar	accommodate
acompañar	accompany
acompasar	keep in time
acomplejar	give a complex
acondicionar	condition
aconsejar	advise
acontecer	happen
acoplar	couple
acoquinar	intimidate
acorazar	armor
acorchar	make corky
acordonar	cordon off
acorralar	corral
acortar	shorten
acosar	harass
acostar	put to bed
acostumbrar	accustom
acotar	demarcate
acrecentar	increase
acreditar	accredit
acribillar	riddle
acrisolar	refine
acristalar	glaze
activar	activate
actualizar	update
acuartelar	quarter
acuchillar	knife
acuciar	urge
acuclillar	crouch
acumular	accumulate
acunar	rock
acuñar	coin
acurrucar	curl up
acusar	accuse
adaptar	adapt
adecentar	tidy up
adecuar	adapt
adelantar	advance
adelgazar	slim
adentrar	go deep into
aderezar	season
adeudar	owe
adherir	adhere
adicionar	add
adiestrar	train
adinerar	make wealthy
adivinar	guess
adjetivar	use as adjective
adjudicar	award
adjuntar	attach
administrar	administer
admirar	admire
adobar	marinate
adocenar	make commonplace
adoctrinar	indoctrinate
adolecer	suffer from
adoptar	adopt
adoquinar	pave with cobblestones
adorar	adore
adormecer	lull
adormilar	doze
adornar	decorate
adosar	lean against
adscribir	assign
adueñar	take possession
adular	flatter
adulterar	adulterate
adverbializar	use as adverb
advertir	warn
aerotransportar	airlift
afanar	toil
afear	make ugly
afectar	affect
afeitar	shave
afelpar	make plush
afeminar	effeminate
aferrar	grasp
afianzar	secure
aficionar	make fond
afilar	sharpen
afiliar	affiliate
afinar	tune
afincar	settle
afirmar	affirm
aflautar	make shrill
afligir	afflict
aflojar	loosen
afluir	flow
afofar	make spongy
afrancesar	frenchify
afrentar	affront
africanizar	africanize
afrontar	confront
agachar	duck
agarrar	grab
agarrotar	tighten
agasajar	lavish attention on
agavillar	bundle into sheaves
agazapar	crouch
agenciar	procure
agigantar	enlarge
agilizar	speed up
agitanar	make gypsy-like
agitar	shake
aglomerar	agglomerate
aglutinar	bind together
agobiar	overwhelm
agolpar	crowd
agonizar	agonize
agostar	parch
agotar	exhaust
agraciar	grace
agradar	please
agradecer	thank
agrandar	enlarge
agravar	aggravate
agraviar	offend
agredir	assault
agregar	add
agremiar	unionize
agriar	sour
agrietar	crack
agrisar	make gray
agrupar	group
aguantar	endure
aguar	water down
aguardar	await
agudizar	sharpen
aguijonear	goad
agujerear	pierce
agusanar	get wormy
aguzar	sharpen
aherrojar	shackle
ahogar	drown
ahondar	deepen
ahorcar	hang
ahornar	put in the oven
ahorrar	save
ahuecar	hollow out
ahuevar	make egg-shaped
ahumar	smoke
ahuyentar	scare away
aindiar	go native
airear	air
ajamonar	get plump
ajar	wither
ajardinar	landscape
ajetrear	bustle
ajuntar	join
ajustar	adjust
ajusticiar	execute
alabar	praise
alabear	warp
alambicar	distill
alambrar	fence with wire
alardear	boast
alargar	lengthen
alarmar	alarm
albardar	saddle
albergar	house
alborear	dawn
alborotar	stir up
alborozar	gladden
alcahuetear	pander
alcalinizar	alkalize
alcantarillar	lay sewers
alcanzar	reach
alcoholizar	alcoholize
aleccionar	instruct
alegar	allege
alegrar	gladden
alejar	move away
alentar	encourage
alertar	alert
aletargar	make lethargic
aletear	flutter
alfabetizar	alphabetize
alfombrar	carpet
algodonar	stuff with cotton
alhajar	furnish
aliar	ally
alicatar	tile
alicortar	clip the wings
alienar	alienate
aligerar	lighten
alimentar	feed
alinear	align
aliñar	dress
alisar	smooth
alistar	enlist
aliviar	relieve
allanar	level
allegar	gather
