atrever	dare
atribuir	attribute
atribular	afflict
atrincherar	entrench
atrofiar	atrophy
atronar	thunder
atropellar	run over
atufar	anger
aturdir	stun
aturullar	confuse
atusar	smooth
auditar	audit
augurar	augur
aumentar	increase
aunar	unite
aupar	lift up
aureolar	haloe
auscultar	auscultate
ausentar	absent
auspiciar	sponsor
autenticar	authenticate
autentificar	authenticate
autocensurar	self-censor
autoeditar	self-publish
automatizar	automate
automedicar	self-medicate
autorizar	authorize
autosugestionar	autosuggest
auxiliar	help
avalar	guarantee
avanzar	advance
avasallar	subjugate
avecinar	approach
avecindar	settle
avejentar	age
avenir	reconcile
aventajar	surpass
aventar	winnow
aventurar	venture
averiar	damage
avezar	accustom
aviar	prepare
aviejar	age
avinagrar	sour
avisar	warn
avispar	rouse
avistar	sight
avituallar	provision
avivar	enliven
avizorar	watch
ayunar	fast
azarar	fluster
azogar	silver
azotar	whip
azucarar	sugar
azufrar	sulfur
azulear	turn blue
azuzar	incite
babear	drool
babosear	slobber
bailotear	dance about
bajar	go down
balancear	rock
balar	bleat
balbucear	stammer
balbucir	stammer
balcanizar	balkanize
baldar	cripple
bambolear	sway
bandear	cross
banderillear	stick banderillas
bañar	bathe
baquetear	harass
barajar	shuffle
barnizar	varnish
barrar	bar
barrenar	drill
barritar	trumpet
barruntar	suspect
basar	base
bascular	tilt
bastar	suffice
batallar	battle
batear	bat
batir	beat
bautizar	baptize
beatificar	beatify
becar	grant scholarship
beneficiar	benefit
berrear	bellow
besar	kiss
bestializar	brutalize
besuquear	smother with kisses
bifurcar	fork
biografiar	write biography
birlar	swipe
bisar	encore
bisbisear	whisper
biselar	bevel
bizquear	squint
blandir	brandish
blanquear	whiten
blasfemar	blaspheme
blasonar	boast
blindar	armor
bloquear	block
bobear	fool around
bogar	row
boicotear	boycott
bombardear	bomb
bombear	pump
bonificar	discount
bordar	embroider
bordear	border
borrar	erase
bosquejar	sketch
bostezar	yawn
botar	bounce
boxear	box
bracear	flail arms
brear	thrash
bregar	toil
bribonear	loaf
brillar	shine
brincar	jump
brindar	toast
bromear	joke
broncear	tan
brotar	sprout
brujulear	scheme
brutalizar	brutalize
bucear	dive
bufar	snort
burbujear	bubble
burilar	engrave
burlar	mock
burocratizar	bureaucratize
buzonear	deliver leaflets
cabalgar	ride
cabecear	nod
cablear	wire
cablegrafiar	cable
cabrear	annoy
cabrillear	ripple
cacarear	cackle
cachear	frisk
caducar	expire
cagar	shit
calafatear	caulk
calar	soak
calcar	trace
calcetar	knit
calcificar	calcify
calcinar	char
calcografiar	engrave on copper
calcular	calculate
caldear	warm
calentar	heat
calibrar	calibrate
calificar	grade
caligrafiar	write calligraphy
callar	be quiet
callejear	wander streets
calmar	calm
calumniar	slander
calzar	put on shoes
cambiar	change
camelar	woo
campar	camp
campear	graze
camuflar	camouflage
canalizar	channel
cancelar	cancel
canjear	exchange
canonizar	canonize
cansar	tire
canturrear	hum
cañonear	shell
capacitar	train
capar	castrate
capear	dodge
capitalizar	capitalize
capitanear	captain
capitular	capitulate
capotar	overturn
capotear	cape
captar	capture
capturar	capture
caracolear	caracole
caracterizar	characterize
caramelizar	caramelize
carbonatar	carbonate
carbonizar	carbonize
carburar	carburet
carcajear	guffaw
carcomer	gnaw
cardar	card
carear	confront
carecer	lack
cargar	load
cariar	decay
caricaturizar	caricature
carraspear	clear throat
cartear	correspond
cartografiar	map
casar	marry
cascabelear	jingle
cascar	crack
castañetear	chatter
castellanizar	hispanicize
castigar	punish
castrar	castrate
catalanizar	catalanize
catalizar	catalyze
catalogar	catalog
catapultar	catapult
catar	taste
catear	flunk
categorizar	categorize
catequizar	catechize
causar	cause
cauterizar	cauterize
cautivar	captivate
cavar	dig
cavilar	ponder
cebar	fatten
cecear	lisp
cegar	blind
cejar	back down
celar	watch over
celebrar	celebrate
censar	census
censurar	censor
centellear	twinkle
centralizar	centralize
centrar	center
centrifugar	centrifuge
centuplicar	multiply hundredfold
cepillar	brush
cercar	fence
cercenar	cut off
cerciorar	ascertain
cerner	sift
cernir	sift
cerrar	close
certificar	certify
cesar	cease
chafar	crush
chalar	madden
chamullar	jabber
chamuscar	singe
chancear	jest
chancletear	shuffle in slippers
chantajear	blackmail
chapar	plate
chapotear	splash
chapucear	botch
chapurrear	speak brokenly
chapuzar	dunk
chaquetear	turncoat
charlatanear	prattle
charlotear	chatter
charolar	varnish
chascar	click
chasquear	crack
chatear	chat
chequear	check
chicolear	flirt
chiflar	whistle
chillar	shriek
chinchar	pester
chinchorrear	gossip
chirigotear	jest
chirriar	creak
chismear	gossip
chismorrear	gossip
chispear	sparkle
chisporrotear	crackle
chistar	speak up
chivar	snitch
chocar	collide
chochear	dote
choricear	pilfer
chorrear	gush
chotear	mock
chulear	swagger
chupar	suck
chupetear	suck
churruscar	scorch
chutar	shoot
cicatear	skimp
cicatrizar	heal
cifrar	encode
cimbrear	sway
cimentar	cement
cincelar	chisel
cinematografiar	film
circuncidar	circumcise
circunnavegar	circumnavigate
circunscribir	circumscribe
