circunvalar	bypass
ciscar	soil
citar	cite
civilizar	civilize
cizañar	sow discord
clamar	cry out
clamorear	clamor
clarear	dawn
clarificar	clarify
clasificar	classify
claudicar	give in
clausurar	close
clavar	nail
clavetear	stud with nails
climatizar	air-condition
clocar	cluck
cloquear	cluck
clorar	chlorinate
cloroformizar	chloroform
coadyuvar	assist
coagular	coagulate
coaligar	form a coalition
coartar	restrict
cobijar	shelter
cobrar	charge
cocear	kick
codear	elbow
codiciar	covet
codificar	encode
codirigir	co-direct
coercer	coerce
coexistir	coexist
cohabitar	cohabit
coheredar	inherit jointly
cohesionar	bind together
cohibir	inhibit
cojear	limp
colaborar	collaborate
colacionar	collate
colapsar	collapse
colar	strain
colear	wag
coleccionar	collect
colectar	collect
colectivizar	collectivize
colegiar	join a professional body
colindar	border
colocar	place
colonizar	colonize
colorear	color
columbrar	glimpse
columpiar	swing
comadrear	gossip
comandar	command
combar	bend
combatir	fight
combinar	combine
comedir	restrain
comentar	comment
comenzar	begin
comercializar	market
comisionar	commission
compadecer	pity
compaginar	combine
comparar	compare
comparecer	appear
compartimentar	compartmentalize
compatibilizar	make compatible
compeler	compel
compendiar	summarize
compenetrar	be in tune
compensar	compensate
competer	be incumbent
competir	compete
compilar	compile
complacer	please
complementar	complement
completar	complete
complicar	complicate
comportar	behave
comprimir	compress
comprobar	verify
comprometer	compromise
compulsar	certify
computadorizar	computerize
computar	compute
computarizar	computerize
comulgar	receive communion
comunicar	communicate
concatenar	concatenate
concebir	conceive
conceder	grant
concelebrar	concelebrate
concentrar	concentrate
conceptualizar	conceptualize
conceptuar	regard
concernir	concern
concertar	arrange
conchabar	conspire
concienciar	make aware
conciliar	reconcile
concitar	stir up
concordar	agree
concretar	specify
concretizar	make concrete
conculcar	violate
concurrir	gather
concursar	compete
condecorar	decorate
condenar	condemn
condensar	condense
condescender	condescend
condicionar	condition
condimentar	season
condoler	sympathize
condonar	condone
conectar	connect
conexionar	connect
confabular	plot
confeccionar	make
confederar	confederate
conferenciar	confer
conferir	confer
confesar	confess
confiar	trust
configurar	configure
confinar	confine
confirmar	confirm
confiscar	confiscate
confitar	candy
conflagrar	set ablaze
confluir	converge
conformar	conform
confortar	comfort
confraternizar	fraternize
confrontar	confront
confundir	confuse
congelar	freeze
congeniar	get along
congestionar	congest
conglomerar	conglomerate
congraciar	ingratiate
congratular	congratulate
congregar	congregate
conjeturar	conjecture
conjugar	conjugate
conjuntar	coordinate
conjurar	conjure
conllevar	entail
conmemorar	commemorate
conmensurar	measure together
conminar	threaten
conmocionar	shock
conmover	move
conmutar	commute
connotar	connote
conquistar	conquer
consagrar	consecrate
conseguir	obtain
consensuar	reach consensus
consentir	consent
conservar	preserve
considerar	consider
consignar	consign
consolar	console
consolidar	consolidate
consonantizar	turn into a consonant
conspirar	conspire
constar	consist
constatar	verify
consternar	dismay
constipar	catch a cold
constituir	constitute
constreñir	constrain
consultar	consult
consumar	consummate
consumir	consume
contabilizar	account for
contactar	contact
contagiar	infect
contaminar	contaminate
contar	count
contemplar	contemplate
contemporizar	temporize
contender	contend
contener	contain
contentar	please
contextualizar	contextualize
continuar	continue
contonear	sway
contornear	outline
contorsionar	contort
contraatacar	counterattack
contradecir	contradict
contraer	contract
contrahacer	counterfeit
contraindicar	contraindicate
contrapear	cross-laminate
contrapesar	counterbalance
contraponer	contrast
contrariar	annoy
contrarrestar	counteract
contrastar	contrast
contratar	hire
contravenir	contravene
contribuir	contribute
contristar	sadden
controlar	control
conturbar	perturb
contusionar	bruise
convalecer	convalesce
convalidar	validate
convencer	convince
converger	converge
conversar	converse
convertir	convert
convidar	invite
convivir	coexist
convocar	convene
convulsionar	convulse
cooperar	cooperate
coordinar	coordinate
copar	corner
copear	have drinks
copiar	copy
copular	copulate
coquetear	flirt
corear	chant
coreografiar	choreograph
cornear	gore
coronar	crown
corregir	correct
corresponder	correspond
corretear	scamper
corroborar	corroborate
corroer	corrode
corromper	corrupt
cortejar	court
coscar	annoy
cosechar	harvest
cosquillear	tickle
costar	cost
costear	finance
cotejar	collate
cotizar	quote
cotorrear	chatter
crear	create
creer	believe
crepitar	crackle
criar	raise
cribar	sift
crispar	tense
cristalizar	crystallize
cristianar	baptize
cristianizar	Christianize
criticar	criticize
croar	croak
cromar	chrome-plate
cronometrar	time
crucificar	crucify
crujir	creak
cruzar	cross
cuadrar	square
cuadricular	grid
cuadruplicar	quadruple
cuajar	curdle
cualificar	qualify
cuantificar	quantify
cuartear	crack
cuchichear	whisper
cuestionar	question
cuidar	care for
culminar	culminate
culpabilizar	blame
culpar	blame
cultivar	cultivate
culturizar	educate
cumplimentar	fill out
cundir	spread
curar	cure
curiosear	snoop
currar	work
cursar	take a course
curtir	tan
curvar	curve
custodiar	guard
damnificar	harm
danzar	dance
dañar	damage
deambular	wander
debatir	debate
debilitar	weaken
debutar	debut
decaer	decline
decantar	decant
decapitar	behead
decepcionar	disappoint
declamar	declaim
declinar	decline
decodificar	decode
