decolorar	bleach
decomisar	confiscate
decorar	decorate
decorticar	decorticate
decrecer	decrease
decretar	decree
dedicar	dedicate
defecar	defecate
defender	defend
defenestrar	defenestrate
deforestar	deforest
deformar	deform
defraudar	defraud
degenerar	degenerate
deglutir	swallow
degollar	behead
degradar	degrade
degustar	taste
deificar	deify
dejar	leave
delatar	denounce
delegar	delegate
deleitar	delight
deletrear	spell
deliberar	deliberate
delimitar	delimit
delinear	delineate
delirar	be delirious
demacrar	become emaciated
demandar	sue
demarcar	demarcate
demarrar	sprint away
democratizar	democratize
demoler	demolish
demorar	delay
demostrar	demonstrate
demudar	alter
denegar	deny
denigrar	denigrate
denominar	name
denostar	insult
denotar	denote
denunciar	report
deparar	provide
departir	converse
depauperar	impoverish
depender	depend
depilar	wax
deplorar	deplore
deponer	depose
deportar	deport
depositar	deposit
depravar	deprave
depreciar	depreciate
depredar	prey on
deprimir	depress
depurar	purge
derechizar	move rightward
derivar	derive
derogar	repeal
derramar	spill
derrapar	skid
derrengar	cripple
derretir	melt
derribar	knock down
derrocar	overthrow
derrochar	squander
derrotar	defeat
derruir	demolish
derrumbar	demolish
desabastecer	leave unsupplied
desabollar	undent
desabotonar	unbutton
desabrigar	uncover
desabrochar	unfasten
desacatar	disobey
desacelerar	decelerate
desacertar	get wrong
desaclimatar	deacclimatize
desacomodar	inconvenience
desaconsejar	advise against
desacoplar	uncouple
desacostumbrar	break a habit
desacreditar	discredit
desactivar	deactivate
desacuartelar	withdraw from quarters
desafiar	challenge
desafinar	sing out of tune
desagradar	displease
desagraviar	make amends
desaguar	drain
desahogar	vent
desahuciar	evict
desajustar	loosen
desalar	desalinate
desalentar	discourage
desalinear	misalign
desalinizar	desalinate
desaliñar	make untidy
desalojar	evacuate
desalquilar	stop renting
desamortizar	disentail
desamparar	abandon
desamueblar	unfurnish
desanclar	unanchor
desandar	retrace
desangrar	bleed
desanudar	untie
desaparecer	disappear
desapasionar	cool passion
desapegar	detach
desapretar	loosen
desaprobar	disapprove
desaprovechar	waste
desarbolar	dismast
desarmar	disarm
desarmonizar	disharmonize
desarraigar	uproot
desarreglar	mess up
desarrendar	stop leasing
desarrimar	move away
desarrollar	develop
desarropar	uncover
desarrugar	smooth out
desarticular	dismantle
desasir	let go
desasistir	neglect
desasnar	educate
desasosegar	disquiet
desatar	untie
desatascar	unclog
