desfalcar	embezzle
desfallecer	faint
desfasar	throw out of phase
desfavorecer	disadvantage
desfigurar	disfigure
desfilar	parade
desflecar	fray
desflorar	deflower
desfogar	vent
desfondar	knock the bottom out
desforrar	remove the lining
desgajar	tear off
desgañitar	shout oneself hoarse
desgarrar	tear
desgasificar	degas
desgastar	wear down
desglosar	break down
desgraciar	spoil
desgranar	shell
desgravar	deduct from tax
desguarnecer	strip
desguazar	scrap
deshabitar	vacate
deshelar	thaw
desheredar	disinherit
deshidratar	dehydrate
deshilachar	fray
deshilvanar	unpick
deshinchar	deflate
deshojar	strip of leaves
deshollinar	sweep the chimney
deshonrar	dishonor
deshuesar	debone
deshumanizar	dehumanize
designar	designate
desigualar	make unequal
desilusionar	disillusion
desimantar	demagnetize
desincrustar	descale
desinfectar	disinfect
desinflar	deflate
desinformar	misinform
desinhibir	disinhibit
desinsectar	disinsect
desintegrar	disintegrate
desinteresar	lose interest
desintoxicar	detoxify
desistir	desist
deslavazar	wash out
deslegalizar	delegalize
deslegitimar	delegitimize
desleír	dissolve
desliar	untie
desligar	disconnect
deslindar	demarcate
deslizar	slide
deslomar	break the back
deslucir	tarnish
deslumbrar	dazzle
desmadejar	enervate
desmadrar	wean
desmagnetizar	demagnetize
desmandar	get out of control
desmantelar	dismantle
desmaquillar	remove makeup
desmarcar	break away
desmayar	faint
desmejorar	deteriorate
desmelenar	tousle
desmembrar	dismember
desmentir	deny
desmenuzar	crumble
desmerecer	be unworthy
desmigajar	crumble
desmigar	crumble
desmilitarizar	demilitarize
desmineralizar	demineralize
desmitificar	demystify
desmochar	lop off
desmontar	dismount
desmoralizar	demoralize
desmoronar	crumble
desmotivar	demotivate
desmovilizar	demobilize
desnacionalizar	denationalize
desnatar	skim
desnaturalizar	denature
desnivelar	make uneven
desnortar	lose one's bearings
desnucar	break the neck
desnuclearizar	denuclearize
desnudar	undress
desnutrir	become malnourished
desobedecer	disobey
desobstruir	unblock
desocupar	vacate
desodorizar	deodorize
desoír	ignore
desojar	strain the eyes
desollar	skin
desorbitar	blow out of proportion
desordenar	disarrange
desorejar	cut off the ears
desorganizar	disorganize
desorientar	disorient
desovar	spawn
desovillar	unravel
desoxidar	deoxidize
despabilar	wake up
despachar	dispatch
despachurrar	squash
despampanar	prune
despanzurrar	disembowel
desparasitar	deworm
desparejar	mismatch
desparramar	scatter
