enmudecer	fall silent
ennegrecer	blacken
ennoblecer	ennoble
ennoviar	get a boyfriend
enojar	anger
enorgullecer	make proud
enquistar	encyst
enrabietar	enrage
enrarecer	rarefy
enredar	tangle
enrejar	put bars on
enriquecer	enrich
enrocar	castle
enrojecer	redden
enrolar	enlist
enrollar	roll up
enronquecer	make hoarse
enroscar	coil
ensalzar	exalt
ensamblar	assemble
ensanchar	widen
ensangrentar	bloody
ensañar	be cruel
ensartar	string together
ensayar	rehearse
enseñorear	take possession
ensillar	saddle
ensimismar	become absorbed
ensoberbecer	make arrogant
ensombrecer	darken
ensordecer	deafen
ensortijar	curl
ensuciar	dirty
entablar	start
entablillar	splint
entallar	carve
entarimar	floor with boards
entelar	cover with cloth
entender	understand
entenebrecer	darken
enterar	inform
enternecer	move
enterrar	bury
entibiar	make lukewarm
entintar	ink
entoldar	cover with awning
entonar	intone
entontecer	make stupid
entornar	leave ajar
entorpecer	hinder
entrampar	trap
entrañar	entail
entrar	enter
entreabrir	open halfway
entrechocar	collide
entrecomillar	put in quotes
entrecortar	cut intermittently
entrecruzar	interweave
entregar	deliver
entrelazar	interlace
entrelucir	shine through
entremeter	insert
entremezclar	intermingle
entrenar	train
entreoír	half-hear
entresacar	pick out
entretener	entertain
entrever	glimpse
entrevistar	interview
entristecer	sadden
entrometer	meddle
entroncar	connect
entronizar	enthrone
entubar	intubate
entumecer	numb
enturbiar	muddy
entusiasmar	excite
enumerar	enumerate
enunciar	enunciate
envainar	sheathe
envalentonar	embolden
envanecer	make vain
envarar	stiffen
envasar	package
envejecer	age
envenenar	poison
enviciar	corrupt
envidar	bid
envidiar	envy
envilecer	debase
enviudar	become widowed
envolver	wrap
enyesar	plaster
enzarzar	embroil
epatar	shock
epilogar	conclude
equidistar	be equidistant
equilibrar	balance
equipar	equip
equiparar	equate
equivaler	be equivalent
equivocar	mistake
erigir	erect
erisipelar	cause erysipelas
erizar	bristle
erosionar	erode
erotizar	eroticize
erradicar	eradicate
eructar	belch
esbozar	sketch
escabechar	pickle
escabullir	slip away
escacharrar	break
escachifollar	smash
escalar	climb
escaldar	scald
escalfar	poach
escalonar	stagger
escamar	scale
escamotear	swipe
escampar	stop raining
escanciar	pour wine
escandalizar	scandalize
escanear	scan
escapar	escape
escaquear	shirk
escarbar	scratch
escarchar	frost
escardar	weed
escarificar	scarify
escarmentar	learn a lesson
escarnecer	mock
escasear	be scarce
escatimar	skimp
escayolar	put in a cast
escenificar	stage
escindir	split
esclarecer	clarify
esclavizar	enslave
esclerosar	harden
esclerotizar	sclerotize
escobar	sweep
escocer	sting
escolarizar	provide schooling
escoltar	escort
escorar	list
escotar	cut a neckline
escriturar	notarize
escrutar	scrutinize
escudar	shield
escudriñar	scrutinize
esculpir	sculpt
escupir	spit
escurrir	drain
esforzar	strain
esfumar	fade
esgrimir	wield
eslabonar	link
esmaltar	enamel
esmerar	take pains
esmerilar	grind
espabilar	wake up
espachurrar	squash
espaciar	space out
espantar	scare
españolear	flaunt Spanishness
españolizar	hispanicize
esparcir	scatter
especializar	specialize
especificar	specify
especular	speculate
espejar	mirror
espeluznar	terrify
esperanzar	give hope
espesar	thicken
espetar	blurt out
espiar	spy
espichar	kick the bucket
espigar	glean
espirar	exhale
espiritualizar	spiritualize
espolear	spur
espolvorear	sprinkle
esponjar	make spongy
esponsorizar	sponsor
esprintar	sprint
espulgar	delouse
espumar	skim
espurrear	spray
esputar	expectorate
esquejar	take cuttings
esquematizar	outline
esquiar	ski
esquilar	shear
esquilmar	deplete
esquinar	put in a corner
esquivar	dodge
estabilizar	stabilize
establecer	establish
estabular	stable
estacionar	park
estafar	swindle
estallar	explode
estampar	stamp
estampillar	stamp
estancar	stagnate
estandarizar	standardize
estatalizar	nationalize
estatuir	decree
estenografiar	take shorthand
estercolar	manure
estereotipar	stereotype
esterilizar	sterilize
estibar	stow
estigmatizar	stigmatize
estilar	be customary
estilizar	stylize
estimar	esteem
estimular	stimulate
estipular	stipulate
estirajar	stretch
estirar	stretch
estocar	thrust
estofar	stew
estomagar	upset the stomach
estoquear	thrust
estorbar	hinder
estornudar	sneeze
estragar	ruin
estrangular	strangle
estraperlear	deal on the black market
estratificar	stratify
estrechar	narrow
estrellar	smash
estremecer	shudder
estrenar	debut
estreñir	constipate
estresar	stress
estriar	groove
estribar	rest on
estropear	spoil
estructurar	structure
estrujar	squeeze
estucar	stucco
estuchar	put in a case
estuprar	rape
eternizar	make eternal
etimologizar	etymologize
etiquetar	label
evacuar	evacuate
evaluar	evaluate
evangelizar	evangelize
evaporar	evaporate
evidenciar	show
evitar	avoid
evocar	evoke
evolucionar	evolve
exacerbar	exacerbate
exagerar	exaggerate
exaltar	exalt
examinar	examine
exasperar	exasperate
excarcelar	release from prison
excavar	excavate
exceptuar	except
excitar	excite
exclamar	exclaim
exclaustrar	secularize
excluir	exclude
excomulgar	excommunicate
excretar	excrete
exculpar	exonerate
excusar	excuse
execrar	abhor
exfoliar	exfoliate
exhalar	exhale
exhibir	exhibit
exhortar	exhort
exhumar	exhume
exiliar	exile
eximir	exempt
exonerar	exonerate
exorbitar	exorbitate
exorcizar	exorcize
expandir	expand
expansionar	expand
expatriar	expatriate
expectorar	expectorate
expedientar	open a file on
expedir	dispatch
expeler	expel
expender	retail
experimentar	experience
expiar	atone
expirar	expire
explayar	expound
explicar	explain
explicitar	make explicit
explicotear	explain at length
explorar	explore
