explosionar	detonate
explotar	exploit
expoliar	plunder
exponer	expose
exportar	export
expresar	express
exprimir	squeeze
expropiar	expropriate
expugnar	storm
expulsar	expel
expurgar	expurgate
extasiar	enrapture
extender	extend
extenuar	exhaust
exteriorizar	externalize
exterminar	exterminate
extirpar	extirpate
extorsionar	extort
extractar	abstract
extraditar	extradite
extraer	extract
extralimitar	overstep
extranjerizar	foreignize
extrañar	miss
extrapolar	extrapolate
extraviar	misplace
extremar	maximize
exudar	exude
exultar	exult
eyacular	ejaculate
fabricar	manufacture
fabular	fabricate
facilitar	facilitate
facturar	invoice
facultar	authorize
faenar	fish
fagocitar	phagocytize
fajar	wrap
faldear	skirt
fallar	fail
fallecer	die
falsear	falsify
falsificar	forge
faltar	lack
familiarizar	familiarize
fanatizar	fanaticize
fanfarronear	brag
fantasear	daydream
fardar	show off
farfullar	mumble
farolear	bluff
fascinar	fascinate
fastidiar	annoy
fatigar	tire
favorecer	favor
fechar	date
fecundar	fertilize
federar	federate
felicitar	congratulate
fenecer	perish
feriar	barter
fermentar	ferment
fertilizar	fertilize
festejar	celebrate
festonear	festoon
fiar	trust
fichar	sign up
figurar	figure
fijar	fix
filetear	fillet
filiar	enroll
filmar	film
filosofar	philosophize
filtrar	filter
finalizar	finalize
financiar	finance
fingir	pretend
finiquitar	settle
firmar	sign
fiscalizar	audit
fisgar	pry
fisgonear	snoop
flagelar	flagellate
flambear	flambe
flamear	flame
flanquear	flank
flaquear	weaken
flechar	smite
fletar	charter
flexibilizar	loosen
flexionar	flex
flirtear	flirt
flojear	slacken
florear	embellish
florecer	flourish
flotar	float
fluctuar	fluctuate
fluidificar	fluidify
fluir	flow
fluorar	fluoridate
focalizar	focus
foguear	season
foliar	foliate
follar	screw
fomentar	foster
fondear	anchor
forcejear	struggle
forestar	afforest
forjar	forge
formalizar	formalize
formatear	format
formular	formulate
fornicar	fornicate
forrajear	forage
forrar	line
fortalecer	strengthen
fortificar	fortify
fosforescer	phosphoresce
fosilizar	fossilize
fotocopiar	photocopy
fotografiar	photograph
fotosintetizar	photosynthesize
fracasar	fail
fraccionar	split
fracturar	fracture
fragmentar	fragment
fraguar	set
franquear	clear
frasear	phrase
fraternizar	fraternize
frecuentar	frequent
fregar	scrub
fregotear	scour
frenar	brake
fresar	mill
friccionar	rub
frisar	border
frivolizar	trivialize
frotar	rub
fructificar	bear fruit
frustrar	frustrate
fugar	flee
fulgurar	flash
fulminar	strike down
fumar	smoke
fumigar	fumigate
funcionar	work
fundamentar	underpin
fundar	found
fundir	melt
fusilar	execute
fusionar	merge
fustigar	whip
gafar	jinx
galantear	court
galardonar	award
gallardear	swagger
gallear	strut
galopar	gallop
galvanizar	galvanize
gamberrear	make trouble
gandulear	loaf
gangrenar	gangrene
gansear	clown around
gañir	yelp
garabatear	scribble
garantizar	guarantee
gargajear	hawk
gargarizar	gargle
garrapatear	scrawl
garrapiñar	candy
gasear	gas
gasificar	gasify
gatear	crawl
gemir	moan
generalizar	generalize
generar	generate
germanizar	germanize
germinar	germinate
gestar	gestate
gesticular	gesticulate
gestionar	manage
gibar	hunch
gimotear	whimper
girar	turn
gitanear	wheedle
glasear	glaze
globalizar	globalize
gloriar	glory
glorificar	glorify
gobernar	govern
golear	thrash
golfear	loiter
golosear	nibble sweets
golpetear	tap
gorgoritear	trill
gorgotear	gurgle
gorjear	chirp
gorronear	sponge
gotear	drip
gozar	enjoy
grabar	record
graduar	graduate
gramaticalizar	grammaticalize
granar	seed
granjear	win
granular	granulate
gratificar	gratify
gratinar	gratin
gravar	tax
gravitar	gravitate
graznar	caw
grillar	sprout
gripar	seize
grisear	gray
gritar	shout
gruñir	growl
guardar	keep
guarecer	shelter
guarnecer	garnish
guarnicionar	garrison
guarrear	grunt
guasear	joke
guerrear	wage war
guerrillear	wage guerrilla war
guiar	guide
guillotinar	guillotine
guiñar	wink
guipar	spot
guisar	cook
gulusmear	snoop for food
habilitar	enable
habitar	inhabit
habituar	accustom
hacinar	pile up
halagar	flatter
hallar	find
haraganear	loaf
hartar	sicken
hastiar	weary
hebraizar	hebraize
hechizar	bewitch
heder	stink
helenizar	hellenize
henchir	swell
hendir	cleave
heñir	knead
heredar	inherit
herir	wound
hermanar	pair
hermosear	beautify
herniar	rupture
herrar	shoe
herrumbrar	rust
hidratar	hydrate
higienizar	sanitize
hilar	spin
hilvanar	baste
himplar	snarl
hincar	thrust
hinchar	inflate
hipar	hiccup
hipertrofiar	hypertrophy
hipnotizar	hypnotize
hipotecar	mortgage
hispanizar	hispanicize
historiar	chronicle
hocicar	root
hojaldrar	puff
hojear	skim
holgar	idle
holgazanear	laze
hollar	tread
homenajear	honor
homogeneizar	homogenize
homologar	standardize
hondear	sound
honrar	honor
horadar	bore
hormiguear	tingle
hornear	bake
horripilar	horrify
horrorizar	horrify
hospedar	lodge
hospitalizar	hospitalize
hostiar	whack
hostigar	harass
hostilizar	harass
hozar	root
humanizar	humanize
humar	smoke
humear	steam
humedecer	moisten
humidificar	humidify
humillar	humiliate
hundir	sink
hurgar	rummage
huronear	ferret
hurtar	steal
husmear	sniff
