idealizar	idealize
idear	devise
identificar	identify
idiotizar	stupefy
idolatrar	idolize
ignorar	ignore
igualar	equalize
ilegalizar	outlaw
ilegitimar	delegitimize
iluminar	illuminate
ilusionar	excite
ilustrar	illustrate
imaginar	imagine
imantar	magnetize
imbricar	overlap
imbuir	imbue
imitar	imitate
impacientar	make impatient
impactar	impact
impartir	impart
impedir	prevent
impeler	impel
imperar	rule
impermeabilizar	waterproof
impersonalizar	depersonalize
implantar	implant
implementar	implement
implicar	involve
implorar	implore
imponer	impose
importar	matter
importunar	pester
imposibilitar	make impossible
impostar	project the voice
imprecar	curse
impregnar	impregnate
impresionar	impress
improvisar	improvise
impugnar	contest
impulsar	propel
imputar	impute
inaugurar	inaugurate
incapacitar	incapacitate
incardinar	incorporate
incautar	seize
incendiar	set fire to
incensar	incense
incentivar	incentivize
incidir	affect
incinerar	incinerate
incitar	incite
inclinar	tilt
incluir	include
incomodar	bother
incomunicar	cut off
incordiar	annoy
incorporar	incorporate
incrementar	increase
increpar	rebuke
incriminar	incriminate
incrustar	embed
incubar	incubate
inculcar	instill
incumbir	concern
incumplir	breach
incurrir	incur
incursionar	make incursions
indagar	investigate
indemnizar	compensate
independizar	make independent
indicar	indicate
indigestar	get indigestion
indignar	outrage
indisciplinar	become unruly
indisponer	upset
individualizar	individualize
indultar	pardon
industrializar	industrialize
infamar	defame
infantilizar	infantilize
infartar	have a heart attack
infectar	infect
inferir	infer
infestar	infest
infiltrar	infiltrate
inflamar	inflame
inflar	inflate
infligir	inflict
influenciar	influence
influir	influence
informar	inform
informatizar	computerize
infrautilizar	underuse
infravalorar	undervalue
infringir	infringe
infundir	instill
ingeniar	contrive
ingerir	ingest
ingresar	deposit
inhabilitar	disqualify
inhalar	inhale
inhibir	inhibit
inhumar	bury
inicializar	initialize
iniciar	start
injerir	ingest
injertar	graft
injuriar	insult
inmigrar	immigrate
inmiscuir	meddle
inmolar	immolate
inmortalizar	immortalize
inmovilizar	immobilize
inmunizar	immunize
inmutar	be perturbed
innovar	innovate
inocular	inoculate
inquietar	worry
inquirir	inquire
insalivar	salivate
inscribir	enroll
inseminar	inseminate
insensibilizar	desensitize
insertar	insert
insinuar	insinuate
insolentar	become insolent
insonorizar	soundproof
inspeccionar	inspect
inspirar	inspire
instalar	install
instar	urge
instaurar	establish
instigar	instigate
instilar	instill
institucionalizar	institutionalize
instituir	institute
instruir	instruct
instrumentalizar	exploit
instrumentar	orchestrate
insubordinar	incite to rebel
insuflar	insufflate
insultar	insult
insurreccionar	incite to revolt
integrar	integrate
intelectualizar	intellectualize
intensificar	intensify
intentar	try
interaccionar	interact
interactuar	interact
intercalar	intersperse
intercambiar	exchange
interceder	intercede
interceptar	intercept
interesar	interest
interferir	interfere
interiorizar	internalize
intermediar	mediate
internacionalizar	internationalize
internar	admit
interpelar	question
interpolar	interpolate
interponer	interpose
interpretar	interpret
interrelacionar	interrelate
interrogar	interrogate
interrumpir	interrupt
intervenir	intervene
interviuvar	interview
intimar	become close
intimidar	intimidate
intitular	entitle
intoxicar	poison
intranquilizar	unsettle
intrigar	intrigue
intrincar	entangle
intubar	intubate
intuir	sense
inundar	flood
inutilizar	render useless
invadir	invade
invalidar	invalidate
inventar	invent
inventariar	inventory
invernar	hibernate
invertir	invest
investigar	investigate
investir	invest with office
invitar	invite
invocar	invoke
involucionar	regress
involucrar	involve
inyectar	inject
ionizar	ionize
irisar	iridesce
ironizar	speak ironically
irradiar	radiate
irrigar	irrigate
irritar	irritate
irrumpir	burst in
islamizar	islamize
italianizar	italianize
iterar	iterate
izar	hoist
jabonar	soap
jactar	boast
jadear	pant
jalar	pull
jalear	cheer on
jalonar	mark out
jamar	scoff
jaranear	carouse
jarrear	pour
jaspear	mottle
jerarquizar	rank
jeringar	annoy
joder	screw
jorobar	annoy
jubilar	retire
judaizar	judaize
juerguear	party
juguetear	frolic
juntar	join
juramentar	swear in
jurar	swear
justificar	justify
justipreciar	appraise
juzgar	judge
kilometrar	mark in kilometers
labializar	labialize
laborar	work
labrar	plow
lacar	lacquer
lacerar	lacerate
lacrar	seal with wax
lactar	breastfeed
ladear	tilt
ladrar	bark
ladrillar	pave with bricks
lagrimear	water
laicizar	secularize
lamentar	regret
laminar	laminate
lampar	crave
lancear	spear
languidecer	languish
lanzar	throw
lapidar	stone
laquear	lacquer
largar	let loose
lastimar	hurt
lastrar	weigh down
lateralizar	lateralize
latinizar	latinize
latir	beat
laurear	crown with laurels
lavotear	wash sloppily
laxar	loosen
legalizar	legalize
legar	bequeath
legislar	legislate
legitimar	legitimize
legrar	scrape
lesionar	injure
levantar	lift
levar	weigh anchor
levitar	levitate
lexicalizar	lexicalize
liar	tie up
libar	sip
liberalizar	liberalize
liberar	free
libertar	liberate
librar	free
licenciar	discharge
licitar	bid
licuar	liquefy
liderar	lead
lidiar	fight
ligar	bind
lijar	sand
limar	file
limitar	limit
limosnear	beg
linchar	lynch
lindar	border
liofilizar	freeze-dry
liquidar	liquidate
lisiar	maim
lisonjear	flatter
listar	list
litigar	litigate
litografiar	lithograph
llagar	wound
llamar	call
llamear	blaze
llanear	level
llenar	fill
lloriquear	whimper
lloviznar	drizzle
loar	praise
