localizar	locate
lograr	achieve
loquear	act crazy
lubricar	lubricate
lubrificar	lubricate
luchar	fight
lucrar	profit
lucubrar	ponder
lustrar	polish
luxar	dislocate
macerar	macerate
machacar	crush
madrugar	get up early
madurar	ripen
magnetizar	magnetize
magnificar	magnify
magullar	bruise
majar	pound
malacostumbrar	spoil
malcasar	mismarry
malcomer	eat poorly
malcriar	spoil
maldecir	curse
malear	corrupt
maleducar	raise badly
malgastar	squander
malherir	wound badly
malhumorar	make grumpy
maliciar	suspect
malinterpretar	misinterpret
malmeter	turn against
malograr	spoil
maltraer	mistreat
maltratar	mistreat
malvender	sell cheaply
malversar	embezzle
malvivir	live poorly
mamar	suckle
manchar	stain
mancillar	tarnish
mancipar	enslave
mancomunar	pool
mandar	send
manducar	scoff
manejar	handle
mangar	swipe
mangonear	boss around
maniatar	tie hands
manifestar	manifest
maniobrar	maneuver
manipular	manipulate
manosear	paw
manotear	gesticulate
mantear	toss in a blanket
mantener	maintain
manufacturar	manufacture
manumitir	emancipate
manuscribir	handwrite
maquetar	lay out
maquilar	process
maquillar	apply makeup
maquinar	plot
maquinizar	mechanize
maravillar	amaze
marcar	mark
marchar	march
marchitar	wither
marear	make dizzy
marginar	marginalize
maridar	marry
martillar	hammer
martillear	hammer
martirizar	martyr
masacrar	massacre
masajear	massage
mascar	chew
masculinizar	masculinize
mascullar	mumble
masificar	overcrowd
masticar	chew
masturbar	masturbate
matar	kill
matasellar	postmark
materializar	materialize
maternizar	maternalize
matizar	nuance
matricular	enroll
matrimoniar	marry
maullar	meow
maximizar	maximize
mear	pee
mecanizar	mechanize
mecanografiar	type
mecer	rock
mechar	lard
mediar	mediate
mediatizar	influence
medicar	medicate
medicinar	medicate
meditar	meditate
medrar	thrive
mejorar	improve
mellar	notch
memorizar	memorize
mencionar	mention
mendigar	beg
menear	wiggle
menguar	wane
menoscabar	diminish
menospreciar	despise
menstruar	menstruate
mensualizar	pay monthly
mentalizar	prepare mentally
mentar	mention
mentir	lie
menudear	happen often
mercadear	trade
mercantilizar	commercialize
mercar	buy
merecer	deserve
merendar	have a snack
mermar	dwindle
merodear	prowl
mesar	tear hair
mestizar	crossbreed
mesurar	moderate
metabolizar	metabolize
metaforizar	metaphorize
metalizar	metallize
metamorfosear	metamorphose
meteorizar	bloat
metodizar	systematize
mezclar	mix
microfilmar	microfilm
migar	crumble
militar	serve in the military
militarizar	militarize
mimar	pamper
minar	mine
mineralizar	mineralize
miniaturizar	miniaturize
minimizar	minimize
ministrar	administer
minusvalorar	undervalue
mistificar	mystify
mitificar	mythologize
mitigar	mitigate
mixtificar	mystify
mocar	wipe nose
modelar	model
moderar	moderate
modernizar	modernize
modificar	modify
modular	modulate
mofar	mock
mojar	wet
moldar	mold
moldear	mold
moler	grind
molestar	bother
momificar	mummify
mondar	peel
monitorizar	monitor
monologar	monologue
monopolizar	monopolize
monoptongar	monophthongize
montar	mount
monumentalizar	monumentalize
moquear	have a runny nose
moralizar	moralize
morar	dwell
mordisquear	nibble
morigerar	restrain
mortificar	mortify
mosconear	pester
mosquear	annoy
motear	speckle
motejar	nickname
motivar	motivate
motorizar	motorize
movilizar	mobilize
mudar	change
mugir	moo
mullir	fluff
multar	fine
multicopiar	duplicate
multiplicar	multiply
municipalizar	municipalize
murar	wall
murmurar	murmur
musicar	set to music
musitar	mutter
mustiar	wilt
mutar	mutate
mutilar	mutilate
nacer	be born
nacionalizar	nationalize
narcotizar	drug
narrar	narrate
nasalizar	nasalize
naturalizar	naturalize
naufragar	shipwreck
navegar	navigate
negociar	negotiate
negrear	turn black
neurotizar	make neurotic
neutralizar	neutralize
ningunear	belittle
niñear	act childishly
niquelar	nickel-plate
nivelar	level
nombrar	name
nominar	nominate
noquear	knock out
normalizar	normalize
notar	notice
notificar	notify
novelar	novelize
nuclearizar	nuclearize
numerar	number
obcecar	blind
obedecer	obey
objetar	object
objetivar	objectify
obligar	oblige
obliterar	obliterate
obnubilar	bewilder
obrar	act
obsequiar	give a gift
observar	observe
obsesionar	obsess
obstaculizar	obstruct
obstar	hinder
obstinar	persist
obstruir	obstruct
obturar	plug
obviar	avoid
ocasionar	cause
ociar	idle
ocluir	occlude
ocultar	hide
ocupar	occupy
odiar	hate
ofertar	offer
oficializar	make official
oficiar	officiate
ofrecer	offer
ofrendar	make an offering
ofuscar	obfuscate
ojear	glance at
olfatear	sniff
olisquear	sniff
olvidar	forget
omitir	omit
ondear	wave
ondular	undulate
operar	operate
opinar	opine
oponer	oppose
opositar	sit a public exam
oprimir	oppress
optar	opt
optimar	optimize
optimizar	optimize
orar	pray
ordenar	order
ordeñar	milk
orear	air out
organizar	organize
orientar	orient
originar	originate
orillar	skirt
orinar	urinate
orlar	border
ornamentar	ornament
ornar	adorn
orquestar	orchestrate
osar	dare
oscilar	oscillate
oscurecer	darken
ostentar	flaunt
otear	scan
otorgar	grant
ovacionar	cheer
ovalar	make oval
ovar	lay eggs
ovillar	wind into a ball
ovular	ovulate
oxidar	rust
oxigenar	oxygenate
pacer	graze
pacificar	pacify
pactar	agree
padecer	suffer
paginar	paginate
paladear	savor
palatalizar	palatalize
paliar	alleviate
palidecer	turn pale
palmar	die
