quebrantar	break
quebrar	break
quemar	burn
querellar	file a lawsuit
quintuplicar	quintuple
quitar	remove
rabiar	rage
racanear	skimp
racionalizar	rationalize
racionar	ration
radiar	radiate
radicalizar	radicalize
radicar	be located
radiodifundir	broadcast
radiografiar	x-ray
radiotelegrafiar	radiotelegraph
rajar	split
ralentizar	slow down
rallar	grate
ramificar	branch
ramonear	browse
rapar	shave
raptar	abduct
rarificar	rarefy
rascar	scratch
rasgar	tear
rasguear	strum
raspar	scrape
rastrear	track
rastrillar	rake
rastrojar	clear stubble
rasurar	shave
ratificar	ratify
rayar	scratch
razonar	reason
reabrir	reopen
reabsorber	reabsorb
reaccionar	react
reactivar	reactivate
readaptar	readapt
readmitir	readmit
reafirmar	reaffirm
reagrupar	regroup
reajustar	readjust
realizar	carry out
realojar	rehouse
realquilar	sublet
realzar	enhance
reanimar	revive
reanudar	resume
reaparecer	reappear
rearmar	rearm
reasegurar	reinsure
reavivar	revive
rebajar	lower
rebanar	slice
rebañar	scrape clean
rebasar	exceed
rebatir	refute
rebelar	rebel
reblandecer	soften
rebobinar	rewind
rebordear	edge
rebosar	overflow
rebotar	bounce
rebozar	coat in batter
rebrotar	sprout again
rebuscar	search thoroughly
rebuznar	bray
recabar	obtain
recaer	relapse
recalar	make landfall
recalcar	emphasize
recalentar	reheat
recalificar	rezone
recamar	embroider
recambiar	replace
recapacitar	reconsider
recapitular	recap
recargar	recharge
recatar	conceal
recauchutar	retread
recaudar	collect
recelar	distrust
recetar	prescribe
rechazar	reject
rechinar	creak
rechistar	talk back
reciclar	recycle
recidivar	recur
recitar	recite
reclamar	claim
reclinar	recline
recluir	confine
reclutar	recruit
recobrar	recover
recocer	overcook
recochinear	gloat
recolectar	harvest
recomendar	recommend
recomenzar	restart
recomer	fret
recompensar	reward
recomponer	repair
reconcentrar	concentrate
reconciliar	reconcile
reconcomer	fret
reconfirmar	reconfirm
reconfortar	comfort
reconquistar	reconquer
reconsiderar	reconsider
reconstituir	reconstitute
reconstruir	rebuild
recontar	recount
reconvenir	reproach
reconvertir	reconvert
recopilar	compile
recorrer	travel through
recortar	trim
recoser	resew
recostar	lean
recrear	recreate
recriminar	recriminate
recrudecer	worsen
rectificar	rectify
recuadrar	frame
recubrir	cover
recular	back up
recuperar	recover
recurrir	resort to
recusar	challenge
redactar	draft
redefinir	redefine
redimir	redeem
redistribuir	redistribute
redoblar	redouble
redondear	round off
reducir	reduce
redundar	result in
reduplicar	reduplicate
reedificar	rebuild
reeditar	reissue
reeducar	reeducate
reelaborar	rework
reeligir	reelect
reembarcar	reembark
reembolsar	reimburse
reemplazar	replace
reencarnar	reincarnate
reencontrar	meet again
reencuadernar	rebind
reenganchar	reenlist
reensayar	rehearse again
reenviar	forward
reescribir	rewrite
reestrenar	rerelease
reestructurar	restructure
reexaminar	reexamine
reexpedir	forward
reexportar	reexport
referir	refer
refinar	refine
reflejar	reflect
reflexionar	reflect
reflorecer	bloom again
reflotar	refloat
refluir	flow back
refocilar	revel
reforestar	reforest
reformar	reform
reforzar	reinforce
refractar	refract
refregar	scrub
refreír	refry
refrenar	restrain
refrendar	endorse
refrescar	refresh
refrigerar	refrigerate
refugiar	shelter
refulgir	shine
refundir	recast
refunfuñar	grumble
refutar	refute
regalar	give
regañar	scold
regar	water
regatear	haggle
regenerar	regenerate
regentar	manage
regionalizar	regionalize
regir	govern
registrar	register
reglamentar	regulate
reglar	rule
regocijar	rejoice
regodear	delight
regular	regulate
regularizar	regularize
regurgitar	regurgitate
rehabilitar	rehabilitate
rehogar	sauté
rehuir	avoid
rehumedecer	remoisten
rehundir	sink
reimplantar	reintroduce
reimportar	reimport
reimprimir	reprint
reinar	reign
reincidir	reoffend
reincorporar	reincorporate
reingresar	reenter
reiniciar	restart
reinscribir	reenroll
reinsertar	reinsert
reinstalar	reinstall
reintegrar	reintegrate
reinvertir	reinvest
reiterar	reiterate
reivindicar	claim
rejonear	spear a bull
rejuvenecer	rejuvenate
relacionar	relate
relajar	relax
relamer	lick
relanzar	relaunch
relatar	recount
relativizar	relativize
releer	reread
relegar	relegate
relevar	relieve
religar	rebind
relinchar	neigh
rellenar	fill
relucir	shine
relumbrar	gleam
remachar	rivet
remangar	roll up sleeves
remansar	form a pool
remar	row
remarcar	emphasize
remasterizar	remaster
rematar	finish off
rembolsar	reimburse
remedar	imitate
remediar	remedy
rememorar	recall
remendar	mend
remeter	tuck in
remitir	send
remodelar	remodel
remojar	soak
remolcar	tow
remolonear	dawdle
remontar	go back
remorder	gnaw at
remover	stir
remozar	renovate
remplazar	replace
remunerar	remunerate
renacer	be reborn
rendir	yield
renegar	deny
renegociar	renegotiate
renombrar	rename
renovar	renew
renquear	limp
rentabilizar	make profitable
renunciar	resign
reñir	quarrel
reordenar	reorder
reorganizar	reorganize
reparar	repair
repartir	distribute
repasar	review
repatear	annoy
repatriar	repatriate
repeinar	comb again
repeler	repel
repensar	rethink
repercutir	affect
repescar	let resit
repetir	repeat
repicar	ring
repintar	repaint
repiquetear	patter
replantar	replant
replantear	reconsider
replegar	fold back
replicar	reply
repoblar	repopulate
reportar	report
reposar	rest
repostar	refuel
representar	represent
reprimir	repress
reprobar	fail
reprocesar	reprocess
reprochar	reproach
reptar	crawl
repudiar	repudiate
