subsidiar	subsidize
subsistir	subsist
subsumir	subsume
subtitular	subtitle
subvencionar	subsidize
subvenir	defray
subvertir	subvert
subyacer	underlie
subyugar	subjugate
succionar	suck
suceder	happen
sucumbir	succumb
sudar	sweat
sufragar	defray
sugerir	suggest
sugestionar	influence
suicidar	commit suicide
sujetar	hold
sulfatar	sulfate
sulfurar	infuriate
sumar	add
sumariar	summarize
sumergir	submerge
suministrar	supply
sumir	plunge
supeditar	subordinate
superabundar	superabound
superar	overcome
superponer	superimpose
supervalorar	overvalue
supervisar	supervise
suplantar	supplant
suplicar	beg
suplir	substitute
suprimir	suppress
supurar	suppurate
surcar	furrow
surgir	emerge
surtir	supply
suscitar	provoke
suscribir	subscribe
suspender	suspend
suspirar	sigh
sustanciar	substantiate
sustantivar	nominalize
sustentar	sustain
sustituir	substitute
sustraer	subtract
susurrar	whisper
suturar	suture
tabicar	wall up
tablear	pleat
tabular	tabulate
tachar	cross out
tachonar	stud
taconear	tap heels
tajar	slice
taladrar	drill
talar	fell
tallar	carve
tambalear	stagger
tamborilear	drum
tamizar	sift
tanguear	dance tango
tantear	feel out
tapar	cover
tapear	eat tapas
tapiar	wall up
tapizar	upholster
taponar	plug
taquigrafiar	write shorthand
taracear	inlay
tarar	tare
tararear	hum
tardar	delay
tarifar	set rates
tarjetear	use a card
tartajear	stammer
tartamudear	stutter
tasar	appraise
tatarear	hum
tatuar	tattoo
teatralizar	dramatize
techar	roof
teclear	type
tecnificar	mechanize
teledirigir	remote control
telefonear	telephone
telegrafiar	telegraph
televisar	televise
temblar	tremble
temblequear	shiver
temperar	temper
templar	temper
temporizar	temporize
tender	spread
tensar	tighten
tensionar	tension
tentar	tempt
teñir	dye
teologizar	theologize
teorizar	theorize
terciar	mediate
tergiversar	distort
terminar	finish
terraplenar	embank
tersar	smooth
testar	make a will
testificar	testify
testimoniar	testify
tildar	brand
timar	swindle
timbrar	stamp
tintar	dye
tintinear	jingle
tipificar	classify
tiranizar	tyrannize
tirar	throw
tiritar	shiver
tirotear	shoot at
titilar	twinkle
titubear	hesitate
titular	title
titularizar	tenure
tiznar	smudge
toldar	awn
tolerar	tolerate
tonificar	tone
tonsurar	tonsure
tontear	fool around
topar	bump into
toquetear	fondle
torcer	twist
torear	fight bulls
tornar	return
tornasolar	iridesce
tornear	turn
torpedear	torpedo
torrar	roast
torturar	torture
toser	cough
tostar	toast
totalizar	total
trabar	bind
traficar	traffic
tragar	swallow
traicionar	betray
trajear	dress
trajinar	bustle
tramar	plot
tramitar	process
trampear	cheat
trancar	bar
tranquilizar	calm
transbordar	transfer
transcribir	transcribe
transcurrir	elapse
transferir	transfer
transfigurar	transfigure
transformar	transform
transfundir	transfuse
transgredir	transgress
transigir	compromise
transitar	travel
transliterar	transliterate
transmigrar	transmigrate
transmitir	transmit
transmutar	transmute
transparentar	show through
transpirar	perspire
transportar	transport
trapacear	swindle
trapichear	deal
traquetear	rattle
trasbordar	transfer
trascender	transcend
trasegar	decant
trashumar	migrate
trasladar	move
traslucir	show through
trasmutar	transmute
trasnochar	stay up late
traspapelar	misplace
traspasar	transfer
trasplantar	transplant
trasponer	move behind
trasquilar	shear
trastabillar	stumble
trastear	rummage
trastocar	upset
trastornar	disturb
trasvasar	decant
tratar	treat
traumatizar	traumatize
travestir	cross-dress
trazar	trace
tremolar	wave
trenzar	braid
trepanar	trepan
trepar	climb
trepidar	vibrate
tributar	pay tribute
tricotar	knit
trillar	thresh
trinar	trill
trincar	bind
triplicar	triple
triptongar	form triphthong
tripular	crew
triturar	grind
triunfar	triumph
trivializar	trivialize
trizar	shatter
trocear	cut up
trompetear	trumpet
tronchar	snap
tropezar	trip
troquelar	stamp
trotar	trot
trovar	versify
trucar	rig
trufar	stuff with truffles
truncar	truncate
tullir	cripple
tumbar	knock down
tundir	shear
tupir	pack tight
turbar	disturb
turnar	take turns
tutelar	guardian
ubicar	locate
ufanar	boast
ulcerar	ulcerate
ultimar	finalize
ultrajar	outrage
ulular	howl
uncir	yoke
ungir	anoint
unificar	unify
uniformar	standardize
universalizar	universalize
untar	smear
urbanizar	develop
urdir	scheme
urgir	be urgent
usufructuar	usufruct
usurar	practice usury
usurpar	usurp
utilizar	use
vacar	be vacant
vaciar	empty
vacilar	hesitate
vacunar	vaccinate
vadear	ford
vagabundear	wander
vagar	wander
vaguear	loaf
validar	validate
vallar	fence
valorar	value
valorizar	valorize
vampirizar	vampirize
vanagloriar	boast
vaporizar	vaporize
vapulear	thrash
varar	beach
variar	vary
vaticinar	foretell
vedar	prohibit
vegetar	vegetate
vehicular	convey
vejar	humiliate
velar	keep vigil
vendar	bandage
vendimiar	harvest grapes
venerar	venerate
vengar	avenge
ventajear	gain advantage
ventear	air
ventilar	ventilate
ventiscar	snowstorm
ventosear	break wind
veranear	summer
verbalizar	verbalize
verdear	turn green
verificar	verify
versar	deal with
versificar	versify
vertebrar	structure
verter	pour
vestir	dress
vetar	veto
vetear	streak
viabilizar	make feasible
vibrar	vibrate
viciar	corrupt
vidriar	glaze
vigilar	watch
vigorizar	invigorate
vilipendiar	vilify
