vincular	link
vindicar	vindicate
violar	violate
violentar	force
virar	turn
virilizar	virilize
visar	endorse
visibilizar	make visible
visionar	view
vislumbrar	glimpse
visualizar	visualize
vitorear	cheer
vitrificar	vitrify
vituperar	vituperate
vivaquear	bivouac
vivificar	vivify
vocalizar	vocalize
vocear	shout
vociferar	vociferate
volar	fly
volatilizar	volatilize
volcar	overturn
volear	volley
voltear	flip
vomitar	vomit
votar	vote
vulcanizar	vulcanize
vulgarizar	popularize
vulnerar	violate
xerocopiar	photocopy
xerografiar	xerograph
yantar	eat
yermar	lay waste
yodurar	iodize
yugular	jugulate
yuxtaponer	juxtapose
zafar	loosen
zaherir	rebuke
zamarrear	shake
zambullir	plunge
zampar	gobble
zanganear	loaf
zanjar	settle
zapar	sap
zapatear	tap-dance
zapear	channel-surf
zarandear	shake
zarpar	set sail
zascandilear	loiter
zigzaguear	zigzag
zonificar	zone
zorrear	prowl
zozobrar	capsize
zumbar	buzz
zurcir	darn
zurrar	thrash
