arramplar	sweep away	keep	https://www.rae.es/drae2001/arramplar: llevarse con codicia todo lo que hay en un lugar	high
arrebolar	redden	keep	everyday (arrebol = red glow; denominal -ar)	high
arrumbar	discard	keep	https://dle.rae.es/arrumbar: poner una cosa como inutil en un lugar apartado, desechar	high
asaetear	shoot arrows	keep	everyday (saeta = arrow; verbal -ear)	high
asalariar	put on salary	replace	https://dle.rae.es/asalariar: senalar salario a alguien	medium
aspar	reel	keep	https://dle.rae.es/aspar: hacer madeja el hilo en el aspa	high
asperjar	sprinkle	keep	https://dle.rae.es/asperjar: rociar, hisopear	high
atarugar	wedge	keep	everyday (tarugo = wooden peg/wedge; denominal)	high
atildar	primp	keep	everyday (spruce up, adorn)	medium
atiplar	raise pitch	keep	everyday (tiple = treble; raise to treble pitch)	high
atocinar	cure pork	keep	https://www.rae.es/drae2001/atocinar: hacer los tocinos y salarlos	high
atontolinar	stupefy	keep	everyday (from tonto = make foolish/dazed)	high
atufar	annoy	keep	https://dle.rae.es/atufar: enfadar, enojar	high
aturullar	confuse	keep	everyday (aturrullar = fluster, bewilder)	high
aureolar	halo	replace	https://dle.rae.es/aureolar: rodear como una aureola (fix spelling haloe to halo)	high
autosugestionar	autosuggest	keep	everyday (auto- + sugestionar; self-suggestion)	high
