infinitive	current	proposed	status	flagged	needs_grounding	sense_note
bribonear	cheat		agree	1	current cheat vs blind loaf	
brujulear	scheme		agree	1		
buzonear	leaflet		agree	1	current leaflet vs blind deliver leaflets	
cablegrafiar	cable		agree	1		
cabrillear	shimmer		agree	1	current shimmer vs blind ripple both fine	
calcografiar	engrave		agree	1		
caligrafiar	calligraph		replace	1	1	
campar	camp		agree	1		
campear	graze		agree	1		
cañonear	shell		agree	1		
capotar	overturn		agree	1		
capotear	dodge		agree	1	current dodge vs blind cape both ok	
caracolear	caper		agree	1	current caper vs blind caracole	
carburar	carburet		agree	1		
carear	confront		agree	1		
cartear	correspond		agree	1		
