abajar	lower	keep	lower	3	everyday (3/3); https://es.wiktionary.org/wiki/abajar mover de posicion mas elevada a menos	high	
abalar	move	replace	hurl	2	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl); current move too vague	medium	morph kept move; rae+wikt cite hurl
abalizar	mark	keep	mark	3	https://es.wiktionary.org/wiki/abalizar : senalar con balizas (mark with buoys)	high	nautical sense
aballar	drive	keep	drive	3	https://es.wiktionary.org/wiki/aballar : llevar o conducir el ganado (drive cattle)	high	
abanar	fan	keep	fan	3	everyday (3/3); https://es.wiktionary.org/wiki/abanar abanicar cribar	high	
abanderar	champion	keep	champion	2	https://dle.rae.es/abanderar : ponerse al frente de una causa (champion lead a cause)	medium	rae checker preferred nautical register-under-flag sense
abetunar	polish	keep	polish	3	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat polish)	high	
abigarrar	variegate	keep	variegate	3	https://es.wiktionary.org/wiki/abigarrar : dar varios colores mal combinados (variegate)	high	make gaudy synonym
abocar	pour	keep	pour	3	https://es.wiktionary.org/wiki/abocar : volcar el contenido de un recipiente en otro (pour decant)	high	
abocinar	flare	keep	flare	3	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina (flare tube mouth)	high	
abordar	tackle	replace	board	2	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high	morph+rae cite board primary; wikt kept tackle figurative
aborregar	curdle	replace	become fleecy	3	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high	current curdle wrong; sheep/borrego cloud sense
abotargar	bloat	keep	bloat	3	https://dle.rae.es/abotargarse : hincharse abotagarse (become bloated)	high	
abovedar	vault	keep	vault	3	https://es.wiktionary.org/wiki/abovedar : cubrir con boveda (cover with vault)	high	
abrevar	water	keep	water	3	https://es.wiktionary.org/wiki/abrevar : proporcionar agua para beber al ganado (water animals)	high	water animals
acendrar	purify	keep	purify	3	https://es.wiktionary.org/wiki/acendrar : depurar purificar (purify refine metals)	high	
