infinitive	current	decision	final_gloss	agree_count	citation	confidence	sense_note
abajar	lower	keep	lower	3	everyday (3/3); https://es.wiktionary.org/wiki/abajar mover de posicion mas elevada a menos	high	
abalar	move	replace	hurl	2	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl); current move too vague	medium	morph kept move; rae+wikt cite hurl
abalizar	mark	keep	mark	3	https://es.wiktionary.org/wiki/abalizar : senalar con balizas (mark with buoys)	high	nautical sense
aballar	drive	keep	drive	3	https://es.wiktionary.org/wiki/aballar : llevar o conducir el ganado (drive cattle)	high	
abanar	fan	keep	fan	3	everyday (3/3); https://es.wiktionary.org/wiki/abanar abanicar cribar	high	
abanderar	champion	keep	champion	2	https://dle.rae.es/abanderar : ponerse al frente de una causa (champion lead a cause)	medium	rae checker preferred nautical register-under-flag sense
abetunar	polish	keep	polish	3	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat polish)	high	
abigarrar	variegate	keep	variegate	3	https://es.wiktionary.org/wiki/abigarrar : dar varios colores mal combinados (variegate)	high	make gaudy synonym
abocar	pour	keep	pour	3	https://es.wiktionary.org/wiki/abocar : volcar el contenido de un recipiente en otro (pour decant)	high	
abocinar	flare	keep	flare	3	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina (flare tube mouth)	high	
abordar	tackle	replace	board	2	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high	morph+rae cite board primary; wikt kept tackle figurative
aborregar	curdle	replace	become fleecy	3	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high	current curdle wrong; sheep/borrego cloud sense
abotargar	bloat	keep	bloat	3	https://dle.rae.es/abotargarse : hincharse abotagarse (become bloated)	high	
abovedar	vault	keep	vault	3	https://es.wiktionary.org/wiki/abovedar : cubrir con boveda (cover with vault)	high	
abrevar	water	keep	water	3	https://es.wiktionary.org/wiki/abrevar : proporcionar agua para beber al ganado (water animals)	high	water animals
acendrar	purify	keep	purify	3	https://es.wiktionary.org/wiki/acendrar : depurar purificar (purify refine metals)	high	
acerar	steel	keep	steel	3	https://es.wiktionary.org/wiki/acerar : give iron the properties of steel	high
achabacanar	vulgarize	keep	vulgarize	3	https://es.wiktionary.org/wiki/achabacanar : make vulgar/crude	high
achantar	intimidate	keep	intimidate	3	https://es.wiktionary.org/wiki/achantar : intimidate/silence someone	high
achaparrar	stunt	keep	stunt	3	https://es.wiktionary.org/wiki/achaparrar : become stunted/squat	high	stunt == grow stunted
acharolar	varnish	keep	varnish	3	https://es.wiktionary.org/wiki/acharolar : varnish with charol	high
achinar	slant	keep	slant	3	https://es.wiktionary.org/wiki/achinar : give East Asian/slanted features	medium	rare; 3/3 cite URL
achispar	tipsy	replace	make tipsy	3	https://es.wiktionary.org/wiki/achispar : bring near drunken state; reflexive get tipsy	high	current tipsy is adjective; verb form make tipsy
achuchar	squeeze	keep	squeeze	3	https://es.wiktionary.org/wiki/achuchar : crush/squeeze	high
acidular	acidulate	keep	acidulate	3	https://es.wiktionary.org/wiki/acidular : make slightly acidic	high
acodar	bend	keep	bend	3	everyday (3/3) a+codo bend at an angle	high
acogotar	throttle	keep	throttle	3	https://es.wiktionary.org/wiki/acogotar : compress throat to suffocate/strangle	high
acompasar	pace	keep	pace	3	https://es.wiktionary.org/wiki/acompasar : keep in time/measure	high
acoquinar	intimidate	keep	intimidate	3	https://es.wiktionary.org/wiki/acoquinar : intimidate/discourage	high
acorchar	cork	replace	go numb	2	https://es.wiktionary.org/wiki/acorchar : lose sensation/go numb	medium	rae+morph go numb; wikt make corky dissent
acrisolar	refine	keep	refine	3	https://es.wiktionary.org/wiki/acrisolar : purify/refine metal in a crucible	high
acuartelar	quarter	keep	quarter	3	https://es.wiktionary.org/wiki/acuartelar : place troops in barracks/quarters	high
adinerar	enrich	keep	enrich	3	https://es.wiktionary.org/wiki/adinerarse : aumentar la fortuna, enriquecerse	high	current synonymous with become rich
adjetivar	adjectivize	keep	adjectivize	3	https://es.wiktionary.org/wiki/adjetivar : hacer de un sustantivo adjetivo	high
adocenar	make common	keep	make common	3	https://es.wiktionary.org/wiki/adocenar : volver vulgar o mediocre	high	current synonymous with make commonplace
adverbializar	adverbialize	keep	adverbialize	3	https://es.wiktionary.org/wiki/adverbializar : usar como adverbio	high
afelpar	plush	replace	make plush	3	https://es.wiktionary.org/wiki/afelpar : dar apariencia de felpa a una tela	high	all three replace; plush/velvety sense
afeminar	effeminate	keep	effeminate	3	https://es.wiktionary.org/wiki/afeminar : hacer adquirir cualidades femeninas	high	current synonymous with make effeminate
afincar	settle	keep	settle	3	https://es.wiktionary.org/wiki/afincar : establecer residencia en un lugar	high
aflautar	pipe	replace	make shrill	3	https://es.wiktionary.org/wiki/aflautar : elevar el tono de la voz haciendola mas aguda	high	all three replace; raise voice pitch
afofar	soften	keep	soften	3	https://es.wiktionary.org/wiki/afofar : poner fofa una cosa	high	current synonymous with make spongy
afrancesar	frenchify	keep	frenchify	3	https://es.wiktionary.org/wiki/afrancesar : hacer que se imite lo frances	high
agavillar	bundle	keep	bundle	3	https://es.wiktionary.org/wiki/agavillar : juntar en gavillas las cosechas	high	current synonymous with bundle into sheaves
