infinitive	current	proposed	status	flagged	needs_grounding	sense_note
abajar	lower		agree	1		
abalar	move		uncertain	1	1	current move vs blind shake
abalizar	mark		agree	1		mark with buoys nautical sense
aballar	drive		agree	1		
abanar	fan		agree	1		
abanderar	champion		replace			current figurative not primary
abetunar	polish		agree	1		
abigarrar	variegate		agree	1		make gaudy synonym
abocar	pour		agree	1		
abocinar	flare		agree	1		
abordar	tackle		replace			board is primary sense
aborregar	curdle		replace	1	1	current wrong meaning
abotargar	bloat		agree	1		
abovedar	vault		agree	1		
abrevar	water		agree	1		water animals
acendrar	purify		agree	1		
acerar	steel		agree	1		
achabacanar	vulgarize		agree	1		
achantar	intimidate		agree	1		
achaparrar	stunt		agree	1		grow stunted
acharolar	varnish		agree	1		
achinar	slant		uncertain	1	1	current slant vs blind intimidate
achispar	tipsy		replace	1	1	current not verb form
achuchar	squeeze		agree	1		shove/squeeze
acidular	acidulate		agree	1		make slightly acid
acodar	bend		agree	1		
acogotar	throttle		agree	1		collar
acompasar	pace		agree	1		keep in time
acoquinar	intimidate		agree	1		
acorchar	cork		uncertain	1	1	current cork vs blind make corky
acrisolar	refine		agree	1		
acuartelar	quarter		agree	1		
adinerar	enrich		agree	1		make wealthy
adjetivar	adjectivize		agree	1		use as adjective
adocenar	make common		agree	1		make commonplace
adverbializar	adverbialize		agree	1		use as adverb
afelpar	plush		replace	1	1	current not verb form
afeminar	effeminate		agree	1		make effeminate
afincar	settle		agree	1		
aflautar	pipe		replace	1	1	current unclear
afofar	soften		agree	1		make spongy
afrancesar	frenchify		agree	1		
agavillar	bundle		agree	1		bundle into sheaves
agitanar	gypsify		agree	1		make gypsy-like
agostar	parch		agree	1		
agremiar	unionize		agree	1		
agrisar	gray		agree	1		make gray
agusanar	get wormy		agree	1		
aherrojar	shackle		agree	1		
ahornar	bake		agree	1		put in the oven
ahuevar	egg-shape		agree	1		make egg-shaped
aindiar	go native		agree	1		
alambicar	distill		agree	1		
albardar	bard		uncertain	1	1	current bard vs blind saddle
alcahuetear	pander		agree	1		
alcantarillar	sewer		agree	1		lay sewers
alcoholizar	alcoholize		agree	1		
algodonar	pad		agree	1		stuff with cotton
alhajar	bejewel		agree	1		furnish
alicatar	tile		agree	1		
alicortar	clip wings		agree	1		clip the wings
allegar	gather		agree	1		
almendrar	almond-flavor	shape like almonds	uncertain	1	1	denominal rare: almond-flavor vs shape like almonds
almohazar	curry		agree	1		
alocar	madden		agree	1		
amanerar	mannerism	make mannered	replace	1		current gloss is a noun not a verb
