abajar	lower		agree	1
abalanzar	hurl		agree
abalar	move		uncertain	1	1	current move vs blind shake
abalizar	mark		agree	1		mark with buoys nautical sense
aballar	drive		agree	1
abanar	fan		agree	1
abanderar	champion		replace	register under a flag		current figurative not primary
abandonar	abandon		agree
abanicar	fan		agree
abaratar	cheapen		agree
abarcar	encompass		agree
abarquillar	curl		agree
abarrotar	cram		agree
abastecer	supply		agree
abatir	knock down		agree
abdicar	abdicate		agree
abetunar	polish		agree	1
abigarrar	variegate		agree	1		make gaudy synonym
abismar	plunge		agree
abjurar	abjure		agree
ablandar	soften		agree
abnegar	renounce		agree			deny oneself
abobar	stupefy		agree
abocar	pour		agree	1
abocetar	sketch		agree
abochornar	embarrass		agree
abocinar	flare		agree	1
abofetear	slap		agree
abogar	advocate		agree
abollar	dent		agree
abombar	bulge		agree			make convex
abominar	abhor		agree
abonar	fertilize		agree
abordar	tackle		replace	board		board is primary sense
aborrecer	loathe		agree
aborregar	curdle		replace	get fleecy clouds	1	current wrong meaning
abortar	abort		agree
abotargar	bloat		agree	1
abotonar	button		agree
abovedar	vault		agree	1
abrasar	burn		agree
abrevar	water		agree	1		water animals
abreviar	abbreviate		agree
abrigar	shelter		agree
abrochar	fasten		agree
abrogar	repeal		agree
abrumar	overwhelm		agree
absolver	absolve		agree
abstener	abstain		agree
abstraer	abstract		agree
abuchear	boo		agree
abultar	bulk		agree			bulk up
abundar	abound		agree
aburguesar	make bourgeois		agree
aburrir	bore		agree
abusar	abuse		agree
acabar	finish		agree
acaecer	happen		agree
acallar	silence		agree
acalorar	heat		agree			heat up
acampar	camp		agree
acanalar	groove		agree
acantonar	quarter		agree
acaparar	hoard		agree
acaramelar	caramelize		agree			coat with caramel
acariciar	caress		agree
acarrear	haul		agree			cart
acartonar	stiffen		agree			get stiff
acatar	obey		agree
acatarrar	catch cold		agree			give a cold
acaudalar	amass		agree			accumulate wealth
acaudillar	lead		agree
acceder	access		agree			accede/access both ok
accidentar	have accident		agree
