almacenar	store		agree			
almendrar	almond-flavor	shape like almonds	uncertain	1	1	denominal rare: almond-flavor vs shape like almonds
almibarar	syrup		agree			
almidonar	starch		agree			
almohadillar	pad		agree			
almohazar	curry		agree	1		
almorzar	lunch		agree			
alocar	madden		agree	1		
alojar	lodge		agree			
alquilar	rent		agree			
alterar	alter		agree			
alternar	alternate		agree			
alucinar	hallucinate		agree			
aludir	allude		agree			
alumbrar	light		agree			
alunizar	land on moon		agree			
alzar	raise		agree			
amadrinar	sponsor		agree			
amaestrar	train		agree			
amagar	feint		agree			
amainar	abate		agree			
amalgamar	amalgamate		agree			
amamantar	breastfeed		agree			
amancebar	cohabit		agree			
amanerar	mannerism	make mannered	replace	1		current gloss is a noun not a verb
amansar	tame		agree			
amañar	rig		agree			
amarar	splash down		agree			
amargar	embitter		agree			
amarillear	yellow		agree			
amarrar	moor		agree			
amartelar	woo	enamor	uncertain	1	1	rare: woo vs enamor
amartillar	cock		agree			
amasar	knead		agree			
amazacotar	clump		agree			
ambicionar	covet		agree			
ambientar	set		agree			
amedrentar	frighten		agree			
amenazar	threaten		agree			
amenizar	enliven		agree			
americanizar	americanize		agree			
amerizar	splash down		agree			
ametrallar	machine-gun		agree			
amigar	befriend		agree			
amilanar	daunt		agree			
aminorar	lessen		agree			
amnistiar	amnesty		agree			
amodorrar	drowse		agree			
amojamar	cure	dry like tuna	uncertain	1	1	rare: cure fish
amoldar	mold		agree			
amonar	get drunk		agree			
amonestar	admonish		agree			
amontonar	pile		agree			
amoratar	bruise		agree			
amordazar	gag		agree			
amorriñar	mope		agree	1		
amortajar	shroud		agree			
amortiguar	cushion		agree			
amortizar	amortize		agree			
amostazar	annoy		agree			
amotinar	mutiny		agree			
amparar	protect		agree			
ampliar	expand		agree			
amplificar	amplify		agree			
amputar	amputate		agree			
amueblar	furnish		agree			
amuermar	bore		agree			
amurallar	wall		agree			
analizar	analyze		agree			
anarquizar	anarchize	spread anarchy	replace	1		anarchize is not standard English
anatematizar	anathematize		agree			
anatomizar	anatomize	dissect	uncertain	1	1	rare: anatomize vs dissect
anclar	anchor		agree			
anegar	flood		agree			
anestesiar	anesthetize		agree			
anexionar	annex		agree			
angostar	narrow		agree			
angustiar	distress		agree			
anhelar	yearn		agree			
anidar	nest		agree			
anillar	ring		agree			
animalizar	animalize		agree	1		
animar	encourage		agree			
aniñar	act childish		agree			
aniquilar	annihilate		agree			
anisar	flavor with anise		agree	1		
anonadar	overwhelm		agree			
anotar	note		agree			
anquilosar	stiffen		agree			
ansiar	crave		agree			
anteceder	precede		agree			
anteponer	put before		agree			
anticipar	anticipate		agree			
antojar	fancy		agree			
anudar	knot		agree			
anular	annul		agree			
anunciar	announce		agree			
añadir	add		agree			
añorar	miss		agree			
apabullar	overwhelm		agree			
apacentar	graze		agree			
apaciguar	appease		agree			
apagar	turn off		agree			
apalabrar	agree		agree			
apalancar	lever		agree			
apalear	beat		agree			
apañar	fix		agree			
aparcar	park		agree			
aparear	mate		agree			
aparecer	appear		agree			
aparejar	rig		agree			
aparentar	feign		agree			
apartar	separate		agree			
apasionar	excite		agree			
apear	dismount		agree			
apechar	put up with		agree			
apechugar	put up with		agree			
apedrear	stone		agree			
apegar	grow attached		agree			
apelar	appeal		agree			
apellidar	surname	name	uncertain	1	1	surname as verb vs name
apelmazar	compact		agree			
apelotonar	bunch		agree			
apenar	sadden		agree			
apercibir	warn		agree			
apergaminar	wither	become parchment-like	uncertain		1	rare: wither vs parchment-like
apesadumbrar	grieve		agree			
apestar	stink		agree			
apetecer	crave		agree			
apiadar	pity		agree			
apilar	stack		agree			
apiñar	cram		agree			
apisonar	tamp		agree			
aplacar	placate		agree			
aplanar	flatten		agree			
aplastar	crush		agree			
aplatanar	enervate	make listless	uncertain	1	1	regional: enervate vs make listless
aplaudir	applaud		agree			
aplazar	postpone		agree			
aplicar	apply		agree			
apocar	belittle		agree			
apocopar	apocopate		agree	1		
apodar	nickname		agree			
apoderar	empower		agree			
apolillar	moth-eat		agree			
apologizar	apologize		agree			
apoltronar	loaf		agree			
apoquinar	cough up		agree			
aporrear	pound		agree			
aportar	contribute		agree			
aposentar	lodge		agree			
apostatar	apostatize		agree			
apostillar	annotate		agree			
apostrofar	apostrophize		agree	1		
apoyar	support		agree			
apreciar	appreciate		agree			
aprehender	apprehend		agree			
apremiar	urge		agree			
apresar	capture		agree			
aprestar	ready		agree			
apresurar	hurry		agree			
apretar	tighten		agree			
apretujar	squeeze		agree			
aprisionar	imprison		agree			
aprobar	approve		agree			
apropiar	appropriate		agree			
aprovechar	use		agree			
aprovisionar	supply		agree			
aproximar	approximate		agree			
apuntalar	prop up		agree			
apuntar	point		agree			
apuntillar	finish off		agree			
apuñalar	stab		agree			
apurar	rush		agree			
aquejar	afflict		agree			
aquietar	calm		agree			
aquilatar	assess		agree			
arañar	scratch		agree			
arar	plow		agree			
arbitrar	arbitrate		agree			
arbolar	hoist		agree	1		
archivar	file		agree			
arder	burn		agree			
argumentar	argue		agree			
armar	arm		agree			
armonizar	harmonize		agree			
aromatizar	flavor		agree			
arponear	harpoon		agree			
arquear	arch		agree			
arracimar	cluster		agree	1		
arraigar	take root		agree			
arramblar	sweep away		agree			
arramplar	sweep away		agree	1		
arrancar	pull out		agree			
arrasar	raze		agree			
arrastrar	drag		agree			
arrear	drive		agree			
arrebatar	snatch		agree			
arrebolar	redden		agree	1		
arrebujar	bundle up		agree			
arreciar	intensify		agree			
arredrar	intimidate		agree			
arreglar	fix		agree			
arrellanar	lounge		agree			
arremangar	roll up sleeves		agree			
arremeter	charge		agree			
arremolinar	swirl		agree			
arrendar	rent		agree			
arrepentir	repent		agree			
arrestar	arrest		agree			
arriar	lower		agree			
arribar	arrive		agree			
arriesgar	risk		agree			
arrimar	bring close		agree			
arrinconar	corner		agree			
arrobar	enrapture		agree			
arrodillar	kneel		agree			
arrogar	arrogate		agree			
arrojar	throw		agree			
arrollar	run over		agree			
arropar	wrap up		agree			
arrostrar	face		agree			
arrugar	wrinkle		agree			
arruinar	ruin		agree			
arrullar	lull		agree			
arrumbar	discard		agree	1		
articular	articulate		agree			
asaetear	shoot arrows		agree	1		
asalariar	salary	put on salary	uncertain	1	1	salary as verb vs put on salary
asaltar	assault		agree			
asar	roast		agree			
ascender	ascend		agree			
asear	tidy		agree			
asediar	besiege		agree			
asegurar	assure		agree			
asemejar	resemble		agree			
asentar	settle		agree			
asentir	agree		agree			
aserrar	saw		agree			
asesinar	murder		agree			
asesorar	advise		agree			
asestar	deal		agree			
aseverar	assert		agree			
asfaltar	asphalt		agree			
asfixiar	asphyxiate		agree			
asignar	assign		agree			
asilar	shelter		agree			
asimilar	assimilate		agree			
asociar	associate		agree			
