atrever	dare		agree
atribuir	attribute		agree
atribular	afflict		agree
atrincherar	entrench		agree
atrofiar	atrophy		agree
atronar	thunder		agree
atropellar	run over		agree
atufar	annoy		agree	1	current annoy vs blind anger both valid
aturdir	daze		agree
aturullar	confuse		agree	1
atusar	smooth		agree
auditar	audit		agree
augurar	foretell		agree
aumentar	increase		agree
aunar	unite		agree
aupar	hoist		agree
aureolar	haloe		uncertain	1	1	rare denominal
auscultar	auscultate		agree
ausentar	absent		agree
auspiciar	sponsor		agree
autenticar	authenticate		agree
autentificar	authenticate		agree
autocensurar	self-censor		agree
autoeditar	self-publish		agree
automatizar	automate		agree
automedicar	self-medicate		agree
autorizar	authorize		agree
autosugestionar	autosuggest		agree	1
auxiliar	assist		agree
avalar	guarantee		agree
avanzar	advance		agree
avasallar	subjugate		agree
avecinar	approach		agree
avecindar	settle		agree
avejentar	age		agree
avenir	reconcile		agree
aventajar	surpass		agree
aventar	winnow		agree
aventurar	venture		agree
averiar	damage		agree
avezar	accustom		agree	1
aviar	prepare		agree
aviejar	age		agree	1
avinagrar	sour		agree
avisar	warn		agree
avispar	liven		agree	1	current liven vs blind rouse both fine
avistar	sight		agree
avituallar	provision		agree
avivar	enliven		agree
avizorar	watch		agree
ayunar	fast		agree
azarar	fluster		agree	1
azogar	silver		agree
azotar	whip		agree
azucarar	sweeten		agree
azufrar	sulfur		agree	1
azulear	turn blue		agree
azuzar	incite		agree
babear	drool		agree
babosear	slobber		agree	1
bailotear	dance		agree	1	current dance vs blind dance about both fine
bajar	lower		agree
balancear	swing		agree
balar	bleat		agree
balbucear	stammer		agree
balbucir	stammer		agree
balcanizar	balkanize		agree
baldar	cripple		agree
bambolear	sway		agree
bandear	cross		agree	1
banderillear	stab		replace	stick banderillas	1	1	bullfighting term
bañar	bathe		agree
baquetear	wear out		agree	1	current wear out vs blind harass both senses exist
barajar	shuffle		agree
barnizar	varnish		agree
barrar	bar		agree	1
barrenar	drill		agree
barritar	trumpet		agree
barruntar	suspect		agree
basar	base		agree
bascular	tilt		agree
bastar	suffice		agree
batallar	battle		agree
batear	bat		agree
batir	beat		agree
bautizar	baptize		agree
beatificar	beatify		agree
becar	grant		agree
beneficiar	benefit		agree
berrear	bellow		agree
besar	kiss		agree
bestializar	brutalize		agree
besuquear	smooch		agree
bifurcar	fork		agree
biografiar	biograph		replace	write biography	1		biograph not a word
birlar	swipe		agree
bisar	encore		agree	1
bisbisear	mutter		agree
biselar	bevel		agree
bizquear	squint		agree
blandir	brandish		agree
blanquear	whiten		agree
blasfemar	blaspheme		agree
blasonar	boast		agree
blindar	armor		agree
bloquear	block		agree
bobear	fool around		agree	1
bogar	row		agree
boicotear	boycott		agree
bombardear	bombard		agree
bombear	pump		agree
bonificar	discount		agree
bordar	embroider		agree
bordear	border		agree
borrar	erase		agree
bosquejar	sketch		agree
bostezar	yawn		agree
botar	bounce		agree
boxear	box		agree
bracear	flail		agree	1
brear	thrash		agree	1
bregar	struggle		agree
bribonear	cheat		agree	1	current cheat vs blind loaf
brillar	shine		agree
brincar	jump		agree
brindar	toast		agree
bromear	joke		agree
broncear	tan		agree
brotar	sprout		agree
brujulear	scheme		agree	1
brutalizar	brutalize		agree
bucear	dive		agree
bufar	snort		agree
burbujear	bubble		agree
burilar	engrave		agree
burlar	mock		agree
burocratizar	bureaucratize		agree
buzonear	leaflet		agree	1	current leaflet vs blind deliver leaflets
cabalgar	ride		agree
cabecear	nod		agree
cablear	wire		agree
cablegrafiar	cable		agree	1
cabrear	anger		agree
cabrillear	shimmer		agree	1	current shimmer vs blind ripple both fine
cacarear	cackle		agree
cachear	frisk		agree
caducar	expire		agree
cagar	shit		agree
calafatear	caulk		agree
calar	soak		agree
calcar	trace		agree
calcetar	knit		agree
calcificar	calcify		agree
calcinar	char		agree
calcografiar	engrave		agree	1
calcular	calculate		agree
caldear	warm		agree
calentar	heat		agree
calibrar	calibrate		agree
calificar	grade		agree
caligrafiar	calligraph		replace	write calligraphy	1		calligraph not a word
callar	hush		agree
callejear	wander		agree
calmar	calm		agree
calumniar	slander		agree
calzar	shoe		agree
cambiar	change		agree
camelar	woo		agree
campar	camp		agree	1
campear	graze		agree	1
camuflar	camouflage		agree
canalizar	channel		agree
cancelar	cancel		agree
canjear	exchange		agree
canonizar	canonize		agree
cansar	tire		agree
canturrear	hum		agree
cañonear	shell		agree	1
capacitar	train		agree
capar	castrate		agree
capear	dodge		agree
capitalizar	capitalize		agree
capitanear	captain		agree
capitular	capitulate		agree
capotar	overturn		agree	1
capotear	dodge		agree	1	current dodge vs blind cape both ok
captar	capture		agree
capturar	capture		agree
caracolear	caper		agree	1	current caper vs blind caracole
caracterizar	characterize		agree
caramelizar	caramelize		agree
carbonatar	carbonate		agree
carbonizar	carbonize		agree
carburar	carburet		agree	1
carcajear	guffaw		agree
carcomer	gnaw		agree
cardar	card		agree
carear	confront		agree	1
carecer	lack		agree
cargar	load		agree
cariar	decay		agree
caricaturizar	caricature		agree
carraspear	clear throat		agree
cartear	correspond		agree	1
cartografiar	map		agree
casar	marry		agree
cascabelear	jingle		agree	1
cascar	crack		agree
castañetear	chatter		agree
castellanizar	hispanicize		agree
castigar	punish		agree
castrar	castrate		agree
catalanizar	catalanize		agree	1
catalizar	catalyze		agree
catalogar	catalog		agree
catapultar	catapult		agree
catar	taste		agree
catear	flunk		agree
categorizar	categorize		agree
catequizar	catechize		agree
causar	cause		agree
cauterizar	cauterize		agree
cautivar	captivate		agree
cavar	dig		agree
cavilar	ponder		agree
cebar	fatten		agree
cecear	lisp		agree
cegar	blind		agree
cejar	yield		agree	1	current yield vs blind back down both fine
celar	watch		agree
celebrar	celebrate		agree
censar	census		agree	1
censurar	censor		agree
centellear	twinkle		agree
centralizar	centralize		agree
centrar	center		agree
centrifugar	spin		agree
centuplicar	multiply		agree	1
cepillar	brush		agree
cercar	enclose		agree
cercenar	sever		agree
cerciorar	ascertain		agree
cerner	sift		agree
cernir	sift		agree
cerrar	close		agree
certificar	certify		agree
cesar	cease		agree
chafar	flatten		agree
chalar	madden		agree	1
chamullar	mumble		agree	1	current mumble vs blind jabber both fine
chamuscar	singe		agree
chancear	joke		agree	1
chancletear	shuffle		agree	1	current shuffle vs blind shuffle in slippers
chantajear	blackmail		agree
chapar	plate		agree
chapotear	splash		agree
chapucear	botch		agree	1
chapurrear	speak badly		agree	1	current speak badly vs blind speak brokenly
chapuzar	dunk		agree	1
chaquetear	turncoat		agree	1
charlatanear	prattle		agree	1
charlotear	chatter		agree	1
charolar	varnish		agree	1
chascar	crack		agree	1	current crack vs blind click both fine
chasquear	snap		agree
chatear	chat		agree
chequear	check		agree
chicolear	flirt		agree	1
chiflar	whistle		agree
chillar	scream		agree
chinchar	pester		agree
chinchorrear	gossip		agree	1
chirigotear	jest		agree	1
chirriar	creak		agree
chismear	gossip		agree
chismorrear	gossip		agree
chispear	sparkle		agree
chisporrotear	crackle		agree
chistar	speak		agree	1	current speak vs blind speak up
chivar	snitch		agree
chocar	collide		agree
chochear	dote		agree
choricear	pilfer		agree	1
chorrear	drip		agree	1	current drip vs blind gush both senses
chotear	mock		agree	1
chulear	swagger		agree	1
chupar	suck		agree
chupetear	suck		agree
churruscar	scorch		agree	1
chutar	shoot		agree
cicatear	skimp		agree	1
cicatrizar	heal		agree
cifrar	encode		agree
cimbrear	sway		agree	1
cimentar	cement		agree
cincelar	chisel		agree
cinematografiar	film		agree	1
circuncidar	circumcise		agree
circunnavegar	circumnavigate		agree
circunscribir	circumscribe		agree
