decolorar	bleach		agree
decomisar	confiscate		agree
decorar	decorate		agree
decorticar	husk		uncertain	1	1	husk vs decorticate technical
decrecer	decrease		agree
decretar	decree		agree
dedicar	dedicate		agree
defecar	defecate		agree
defender	defend		agree
defenestrar	defenestrate		agree
deforestar	deforest		agree
deformar	deform		agree
defraudar	defraud		agree
degenerar	degenerate		agree
deglutir	swallow		agree
degollar	behead		agree
degradar	degrade		agree
degustar	taste		agree
deificar	deify		agree
dejar	leave		agree
delatar	denounce		agree
delegar	delegate		agree
deleitar	delight		agree
deletrear	spell		agree
deliberar	deliberate		agree
delimitar	delimit		agree
delinear	outline		agree
delirar	rave		agree
demacrar	waste away		agree	1
demandar	demand		agree		two senses: demand / sue
demarcar	demarcate		agree
demarrar	pull away		agree	1
democratizar	democratize		agree
demoler	demolish		agree
demorar	delay		agree
demostrar	demonstrate		agree
demudar	alter		agree
denegar	deny		agree
denigrar	denigrate		agree
denominar	name		agree
denostar	revile		agree
denotar	denote		agree
denunciar	denounce		agree
deparar	provide		agree
departir	chat		agree
depauperar	impoverish		agree
depender	depend		agree
depilar	depilate		replace	wax
deplorar	deplore		agree
deponer	depose		agree
deportar	deport		agree
depositar	deposit		agree
depravar	deprave		agree
depreciar	depreciate		agree
depredar	prey		agree
deprimir	depress		agree
depurar	purify		agree		two senses: purify / purge
derechizar	make rightwing		agree	1
derivar	derive		agree
derogar	repeal		agree
derramar	spill		agree
derrapar	skid		agree
derrengar	cripple		agree
derretir	melt		agree
derribar	knock down		agree
derrocar	overthrow		agree
derrochar	squander		agree
derrotar	defeat		agree
derruir	demolish		agree
derrumbar	collapse		agree
desabastecer	deprive		agree
desabollar	undent		agree	1
desabotonar	unbutton		agree
desabrigar	uncover		agree
desabrochar	unfasten		agree
desacatar	disobey		agree
desacelerar	decelerate		agree
desacertar	err		agree
desaclimatar	deacclimatize		agree	1
desacomodar	inconvenience		agree
desaconsejar	advise against		agree
desacoplar	uncouple		agree
desacostumbrar	disaccustom		agree
desacreditar	discredit		agree
desactivar	deactivate		agree
desacuartelar	withdraw		agree	1
desafiar	challenge		agree
desafinar	go out of tune		agree
desagradar	displease		agree
desagraviar	make amends		agree
desaguar	drain		agree
desahogar	vent		agree
desahuciar	evict		agree
desajustar	misadjust		agree
desalar	desalt		agree
desalentar	discourage		agree
desalinear	misalign		agree
desalinizar	desalinate		agree
desaliñar	dishevel		agree
desalojar	evict		agree		two senses: evict / evacuate
desalquilar	vacate		agree
desamortizar	disentail		agree	1
desamparar	abandon		agree
desamueblar	unfurnish		agree
desanclar	unanchor		agree
desandar	retrace		agree
desangrar	bleed		agree
desanudar	untie		agree
desaparecer	disappear		agree
desapasionar	dispassion		replace	cool passion	1
desapegar	detach		agree
desapretar	loosen		agree
desaprobar	disapprove		agree
desaprovechar	waste		agree
desarbolar	dismast		agree
desarmar	disarm		agree
desarmonizar	disharmonize		agree
desarraigar	uproot		agree
desarreglar	disarrange		agree
desarrendar	unrent		replace	stop leasing	1
desarrimar	move away		agree	1
desarrollar	develop		agree
desarropar	uncover		agree
desarrugar	smooth		agree
desarticular	disjoint		agree		two senses: dislocate / dismantle
desasir	let go		agree
desasistir	abandon		agree
desasnar	civilize		agree		educate sense
desasosegar	disquiet		agree
desatar	untie		agree
desatascar	unclog		agree
desatender	neglect		agree
desatornillar	unscrew		agree
desatrancar	unbar		agree
desautorizar	disavow		agree
desayunar	breakfast		agree
desazonar	upset		agree
desbancar	supplant		agree
desbarajustar	disorder		agree
desbaratar	wreck		agree
desbarbar	trim		agree
desbarrancar	push off cliff		agree	1
desbarrar	talk nonsense		agree
desbastar	rough-hew		agree
desbloquear	unblock		agree
desbocar	bolt		agree
desbordar	overflow		agree
desbravar	tame		agree
desbrozar	clear		agree
descabalar	leave incomplete		agree	1
descabalgar	dismount		agree
descabellar	kill bull		agree	1	bullfighting term
descabezar	behead		agree
descacharrar	smash		agree	1
descalabrar	wound		agree		wound the head
descalcificar	decalcify		agree
descalificar	disqualify		agree
descalzar	take off shoes		agree
descamar	scale		agree
descambiar	exchange back		agree	1
descansar	rest		agree
descaperuzar	uncover		agree	1	remove hood
descapotar	put top down		agree
descargar	download		agree		two senses: download / unload
descarnar	strip flesh		agree
descarriar	lead astray		agree
descarrilar	derail		agree
descartar	discard		agree
descasar	annul marriage		agree	1
descascarillar	peel		agree
descastar	exterminate		agree
descender	descend		agree
descentralizar	decentralize		agree
descentrar	off-center		agree
descerebrar	decerebrate		agree	1
descerrajar	break open		agree		break a lock
descifrar	decipher		agree
desclasificar	declassify		agree
desclavar	pull out nail		agree
descocar	be brazen		agree
descodificar	decode		agree
descolgar	take down		agree
descollar	stand out		agree
descolocar	misplace		agree
descolonizar	decolonize		agree
descompasar	throw off		agree	1
descompensar	unbalance		agree
descomponer	decompose		agree
descomprimir	decompress		agree
desconcertar	disconcert		agree
desconchar	chip		agree
desconectar	disconnect		agree
desconfiar	distrust		agree
descongelar	defrost		agree
descongestionar	decongest		agree
desconocer	not know		agree
desconsiderar	disregard		agree
descontaminar	decontaminate		agree
descontar	discount		agree
descontentar	displease		agree
descontextualizar	decontextualize		agree
descontrolar	lose control		agree
desconvocar	call off		agree
descorazonar	dishearten		agree
descorchar	uncork		agree
descorrer	draw back		agree
descoser	unstitch		agree
descoyuntar	dislocate		agree
descreer	disbelieve		agree
descremar	skim		agree
describir	describe		agree
descuadrar	not balance		agree
descuajar	uproot		agree	1
descuajeringar	break apart		agree	1
descuartizar	quarter		agree
descubrir	discover		agree
descuidar	neglect		agree
desdecir	retract		agree
desdeñar	disdain		agree
desdibujar	blur		agree
desdoblar	unfold		agree
desdramatizar	play down		agree
desecar	dry		agree
desechar	discard		agree
desembalar	unpack		agree
desembarazar	free		agree		rid
desembarcar	disembark		agree
desembargar	lift embargo		agree
desembarrancar	refloat		agree
desembarrar	clean mud		agree	1
desembocar	flow into		agree
desembolsar	disburse		agree
desembragar	disengage		agree		disengage the clutch
desembrollar	untangle		agree
desembrujar	disenchant		agree	1
desembuchar	disgorge		agree		blurt out sense
desempacar	unpack		agree
desempalmar	disconnect		agree	1
desempañar	demist		agree
desempapelar	unpaper		agree	1	strip wallpaper
desempaquetar	unpack		agree
desemparejar	unpair		agree
desempatar	break tie		agree
desempedrar	unpave		agree	1
desempeñar	carry out		agree
desempolvar	dust		agree
desempotrar	unbuild		agree	1
desenamorar	fall out of love		agree
desencadenar	unleash		agree
desencajar	dislodge		agree
desencajonar	unbox		agree	1
desencallar	refloat		agree
desencaminar	mislead		agree
desencantar	disenchant		agree
desencapotar	uncover		agree	1	clear up sky sense
desencarcelar	free		agree
desencasquillar	unjam		agree	1
desenchufar	unplug		agree
desenclavar	dislodge		agree	1
desencolar	unglue		agree
desencorvar	straighten		agree	1
desencuadernar	unbind		agree
desenfadar	calm		agree	1
desenfocar	defocus		agree
desenfrenar	unbridle		agree
desenfundar	draw		agree
desenfurruñar	cheer up		agree	1
desenganchar	unhook		agree
desengañar	disabuse		agree
desengrasar	degrease		agree
desenhebrar	unthread		agree
desenjaular	uncage		agree
desenladrillar	remove bricks		agree	1
desenlazar	unravel		agree		resolve sense
desenmarañar	disentangle		agree
desenmascarar	unmask		agree
desenraizar	uproot		agree
desenredar	untangle		agree
desenrollar	unroll		agree
desenroscar	unscrew		agree
desensibilizar	desensitize		agree
desensillar	unsaddle		agree
desentablillar	unsplint		agree	1
desentender	feign ignorance		agree
desenterrar	exhume		agree
desentoldar	remove awning		agree	1
desentonar	clash		agree
desentrañar	unravel		agree
desentrenar	get out of shape		agree
