desfalcar	embezzle		agree
desfallecer	faint		agree
desfasar	mismatch	throw out of phase	replace			out of phase/sync
desfavorecer	disfavor		agree
desfigurar	disfigure		agree
desfilar	parade		agree
desflecar	fray		agree	1
desflorar	deflower		agree
desfogar	vent		agree
desfondar	break bottom	knock the bottom out	replace
desforrar	unwrap	remove the lining	replace	1		strip the lining
desgajar	tear off		agree
desgañitar	scream		agree			reflexive shout hoarse
desgarrar	rip		agree
desgasificar	degasify		agree
desgastar	wear out		agree
desglosar	break down		agree
desgraciar	spoil		agree
desgranar	shell		agree
desgravar	deduct		agree
desguarnecer	strip		agree	1
desguazar	scrap		agree
deshabitar	vacate		agree
deshelar	thaw		agree
desheredar	disinherit		agree
deshidratar	dehydrate		agree
deshilachar	fray		agree
deshilvanar	unravel		agree
deshinchar	deflate		agree
deshojar	defoliate		agree
deshollinar	sweep		agree			sweep the chimney
deshonrar	dishonor		agree
deshuesar	debone		agree
deshumanizar	dehumanize		agree
designar	designate		agree
desigualar	make unequal		agree
desilusionar	disillusion		agree
desimantar	demagnetize		agree	1
desincrustar	descale		agree
desinfectar	disinfect		agree
desinflar	deflate		agree
desinformar	misinform		agree
desinhibir	disinhibit		agree
desinsectar	fumigate		agree	1
desintegrar	disintegrate		agree
desinteresar	lose interest		agree
desintoxicar	detoxify		agree
desistir	desist		agree
deslavazar	wash out		agree	1
deslegalizar	delegalize		agree
deslegitimar	delegitimize		agree
desleír	dissolve		agree
desliar	untie		agree
desligar	detach		agree
deslindar	demarcate		agree
deslizar	slide		agree
deslomar	break back		agree	1
deslucir	tarnish		agree
deslumbrar	dazzle		agree
desmadejar	weaken		agree	1
desmadrar	wean		agree	1
desmagnetizar	demagnetize		agree
desmandar	disobey	get out of control	replace
desmantelar	dismantle		agree
desmaquillar	remove makeup		agree
desmarcar	break away		agree
desmayar	faint		agree
desmejorar	worsen		agree
desmelenar	dishevel		agree
desmembrar	dismember		agree
desmentir	deny		agree
desmenuzar	crumble		agree
desmerecer	detract		agree
desmigajar	crumble		agree
desmigar	crumble		agree
desmilitarizar	demilitarize		agree
desmineralizar	demineralize		agree
desmitificar	demystify		agree
desmochar	prune		agree			lop off
desmontar	dismount		agree
desmoralizar	demoralize		agree
desmoronar	crumble		agree
desmotivar	demotivate		agree
desmovilizar	demobilize		agree
desnacionalizar	denationalize		agree
desnatar	skim		agree
desnaturalizar	denature		agree
desnivelar	unlevel		agree
desnortar	disorient		agree	1
desnucar	break neck		agree
desnuclearizar	denuclearize		agree
desnudar	undress		agree
