dominar	dominate		agree
donar	donate		agree
dopar	dope		agree
dorar	brown		agree
dormitar	doze		agree
dosificar	dose		agree
dotar	endow		agree
dragar	dredge		agree
dramatizar	dramatize		agree
drenar	drain		agree
driblar	dribble		agree
drogar	drug		agree
duchar	shower		agree
dudar	doubt		agree
dulcificar	sweeten		agree
duplicar	duplicate		agree
durar	last		agree
echar	throw		agree
eclipsar	eclipse		agree
economizar	economize		agree
edificar	build		agree
editar	edit		agree
educar	educate		agree
edulcorar	sweeten		agree
efectuar	carry out		agree
ejecutar	execute		agree
ejemplarizar	exemplify		agree
ejemplificar	exemplify		agree
ejercer	exercise		agree
ejercitar	exercise		agree
elaborar	produce		agree
electrificar	electrify		agree
electrizar	electrify		agree
electrocutar	electrocute		agree
electrolizar	electrolyze		agree
elevar	raise		agree
elidir	elide		agree
eliminar	eliminate		agree
elogiar	praise		agree
elucidar	elucidate		agree
elucubrar	muse		agree
eludir	evade		agree
emanar	emanate		agree
emancipar	emancipate		agree
emascular	emasculate		agree
embadurnar	smear		agree
embalar	pack		agree
embaldosar	tile		agree
embalsamar	embalm		agree
embalsar	dam		agree
embarazar	impregnate		agree
embarcar	embark		agree
embargar	seize		agree
embarrancar	run aground		agree
embarrar	muddy		agree
embarullar	muddle		agree
embaucar	deceive		agree
embazar	dye		uncertain	1	1	flagged rare; sense unclear
embeber	soak		agree
embelesar	enchant		agree
embellecer	beautify		agree
embestir	charge		agree
embetunar	polish		agree
emblanquecer	whiten		agree
embobar	fascinate		agree
embolsar	pocket		agree
emborrachar	intoxicate		agree
emborrascar	stir up		agree
emborronar	scribble		agree
emboscar	ambush		agree
embotar	blunt		agree
embotellar	bottle		agree
embotijar	bottle	store in jars	replace		1	relates to botijo jug not bottle
embozar	muffle		agree
embragar	engage clutch		agree
embravecer	enrage		agree
embrear	tar		agree
embriagar	intoxicate		agree
embridar	bridle		agree
embrollar	muddle		agree
embromar	tease		agree
embrujar	bewitch		agree
embrutecer	brutalize		agree
embuchar	stuff		agree
embutir	stuff		agree
emerger	emerge		agree
emigrar	emigrate		agree
emitir	emit		agree
emocionar	move		agree
empacar	pack		agree
empachar	upset		agree
empadronar	register		agree
empalagar	cloy		agree
empalar	impale		agree
empalidecer	pale		agree
empalmar	join		agree
empanar	bread		agree
empantanar	flood		agree
empañar	fog		agree
empapar	soak		agree
empapelar	wallpaper		agree
empapuzar	stuff		agree
empaquetar	package		agree
emparedar	wall up		agree
emparejar	pair		agree
emparentar	relate		agree
empastar	fill		agree
empatar	tie		agree
empavonar	burnish		uncertain	1	1	flagged rare; burnish vs blue steel
empecer	hinder		agree
empecinar	persist		agree
empedrar	pave		agree
empeñar	pawn		agree
empeorar	worsen		agree
empequeñecer	belittle		agree
emperejilar	doll up		agree
emperifollar	doll up		agree
emperrar	persist		agree
empitonar	gore		agree	1		flagged
emplastecer	plaster		agree	1		flagged
emplazar	summon		agree
emplear	use		agree
emplomar	lead		agree
emplumar	feather		agree
empobrecer	impoverish		agree
empollar	hatch		agree
empolvar	powder		agree
emponzoñar	poison		agree
emporcar	dirty		agree
empotrar	embed		agree
empujar	push		agree
empuñar	grip		agree
emular	emulate		agree
emulsionar	emulsify		agree
enajenar	alienate		agree
enaltecer	exalt		agree
enamorar	enamor		agree
enamoriscar	be smitten		agree
enarbolar	hoist		agree
enarcar	arch		agree
enardecer	inflame		agree
enarenar	sand		agree
encabalgar	overlap		agree
encabestrar	halter		agree
encabezar	head		agree
encabritar	rear up		agree
encabronar	anger		agree
encadenar	chain		agree
encajar	fit		agree
encajonar	box		agree
encallar	run aground		agree
encallecer	callus		agree
encallejonar	corner		agree
encamar	bed		agree
encaminar	direct		agree
encanar	jail		agree	1		flagged
encandilar	dazzle		agree
encanecer	gray		agree
encanijar	weaken		agree
encantar	enchant		agree
encanutar	roll		agree	1		flagged
encañonar	aim		agree
encapotar	cloud over		agree
encaprichar	take a fancy		agree
