explosionar	explode	explode	agree
explotar	exploit		agree
expoliar	plunder		agree
exponer	expose		agree
exportar	export		agree
expresar	express		agree
exprimir	squeeze		agree
expropiar	expropriate		agree
expugnar	storm		agree	1
expulsar	expel		agree
expurgar	expurgate		agree
extasiar	enrapture		agree
extender	extend		agree
extenuar	exhaust		agree
exteriorizar	express		agree		current and blind both valid: express / externalize
exterminar	exterminate		agree
extirpar	extirpate		agree
extorsionar	extort		agree
extractar	abstract		agree	1
extraditar	extradite		agree
extraer	extract		agree
extralimitar	overstep		agree
extranjerizar	foreignize		uncertain	1	1	rare denominal
extrañar	miss		agree
extrapolar	extrapolate		agree
extraviar	misplace		agree
extremar	maximize		agree	1
exudar	exude		agree
exultar	exult		agree
eyacular	ejaculate		agree
fabricar	manufacture		agree
fabular	fabricate		agree
facilitar	facilitate		agree
facturar	invoice		agree
facultar	authorize		agree
faenar	fish		agree	1
fagocitar	phagocytose		agree
fajar	wrap		agree	1
faldear	skirt		agree	1
fallar	fail		agree
fallecer	die		agree
falsear	falsify		agree
falsificar	forge		agree
faltar	lack		agree
familiarizar	familiarize		agree
fanatizar	fanaticize		agree	1
fanfarronear	brag		agree
fantasear	fantasize		agree
fardar	show off		agree
farfullar	mumble		agree
farolear	boast		agree		boast / bluff both valid
fascinar	fascinate		agree
fastidiar	annoy		agree
fatigar	tire		agree
favorecer	favor		agree
fechar	date		agree
fecundar	fertilize		agree
federar	federate		agree
felicitar	congratulate		agree
fenecer	perish		agree
feriar	trade		agree	1	trade / barter both valid
fermentar	ferment		agree
fertilizar	fertilize		agree
festejar	celebrate		agree
festonear	festoon		agree	1
fiar	trust		agree
fichar	sign up		agree
figurar	figure		agree
fijar	fix		agree
filetear	fillet		agree
filiar	enroll		agree	1
filmar	film		agree
filosofar	philosophize		agree
filtrar	filter		agree
finalizar	finish		agree		finish / finalize both valid
financiar	finance		agree
fingir	pretend		agree
finiquitar	settle		agree
firmar	sign		agree
fiscalizar	oversee		agree		oversee / audit both valid
fisgar	snoop		agree
fisgonear	snoop		agree
flagelar	flagellate		agree
flambear	flambé		agree
flamear	flame		agree
