idealizar	idealize		agree
idear	devise		agree
identificar	identify		agree
idiotizar	stupefy		agree
idolatrar	idolize		agree
ignorar	ignore		agree
igualar	equalize		agree
ilegalizar	outlaw		agree
ilegitimar	delegitimize		agree
iluminar	illuminate		agree
ilusionar	excite		agree
ilustrar	illustrate		agree
imaginar	imagine		agree
imantar	magnetize		agree
imbricar	overlap		agree
imbuir	imbue		agree
imitar	imitate		agree
impacientar	make impatient		agree
impactar	impact		agree
impartir	impart		agree
impedir	prevent		agree
impeler	impel		agree
imperar	prevail		agree		two senses: prevail / rule
impermeabilizar	waterproof		agree
impersonalizar	impersonalize		agree
implantar	implant		agree
implementar	implement		agree
implicar	involve		agree
implorar	implore		agree
imponer	impose		agree
importar	import		agree		two senses: matter / import
importunar	pester		agree
imposibilitar	prevent		agree		make impossible
impostar	project		agree		project the voice
imprecar	curse		agree
impregnar	impregnate		agree
impresionar	impress		agree
improvisar	improvise		agree
impugnar	contest		agree
impulsar	propel		agree
imputar	impute		agree
inaugurar	inaugurate		agree
incapacitar	incapacitate		agree
incardinar	incorporate		agree
incautar	seize		agree
incendiar	set fire		agree
incensar	cense		agree
incentivar	incentivize		agree
incidir	affect		agree
incinerar	incinerate		agree
incitar	incite		agree
inclinar	tilt		agree
incluir	include		agree
incomodar	bother		agree
incomunicar	isolate		agree
incordiar	annoy		agree
incorporar	incorporate		agree
incrementar	increase		agree
increpar	rebuke		agree
incriminar	incriminate		agree
incrustar	embed		agree
incubar	incubate		agree
inculcar	instill		agree
incumbir	concern		agree
incumplir	breach		agree
incurrir	incur		agree
incursionar	raid		agree
indagar	investigate		agree
indemnizar	compensate		agree
independizar	make independent		agree
indicar	indicate		agree
indigestar	upset stomach		agree
indignar	outrage		agree
indisciplinar	become unruly		agree
indisponer	indispose		agree
individualizar	individualize		agree
indultar	pardon		agree
industrializar	industrialize		agree
infamar	defame		agree
infantilizar	infantilize		agree
infartar	infarct		agree
infectar	infect		agree
inferir	infer		agree
infestar	infest		agree
infiltrar	infiltrate		agree
inflamar	inflame		agree
inflar	inflate		agree
infligir	inflict		agree
influenciar	influence		agree
influir	influence		agree
informar	inform		agree
informatizar	computerize		agree
infrautilizar	underuse		agree
infravalorar	undervalue		agree
infringir	infringe		agree
infundir	instill		agree
ingeniar	contrive		agree
ingerir	ingest		agree
ingresar	enter		agree		two senses: enter / deposit
inhabilitar	disqualify		agree
inhalar	inhale		agree
inhibir	inhibit		agree
inhumar	bury		agree
inicializar	initialize		agree
iniciar	begin		agree
injerir	ingest		agree
injertar	graft		agree
injuriar	insult		agree
inmigrar	immigrate		agree
inmiscuir	meddle		agree
inmolar	immolate		agree
inmortalizar	immortalize		agree
inmovilizar	immobilize		agree
inmunizar	immunize		agree
inmutar	flinch		agree		reflexive: not flinch/be perturbed
innovar	innovate		agree
inocular	inoculate		agree
inquietar	worry		agree
inquirir	inquire		agree
insalivar	salivate		agree
inscribir	enroll		agree
inseminar	inseminate		agree
insensibilizar	desensitize		agree
insertar	insert		agree
insinuar	insinuate		agree
insolentar	become insolent		agree
insonorizar	soundproof		agree
inspeccionar	inspect		agree
inspirar	inspire		agree
instalar	install		agree
instar	urge		agree
instaurar	establish		agree
instigar	instigate		agree
instilar	instill		agree
institucionalizar	institutionalize		agree
instituir	institute		agree
instruir	instruct		agree
instrumentalizar	exploit		agree
instrumentar	orchestrate		agree
insubordinar	incite rebellion		agree
insuflar	insufflate		agree
insultar	insult		agree
insurreccionar	incite revolt		agree
integrar	integrate		agree
intelectualizar	intellectualize		agree
intensificar	intensify		agree
intentar	try		agree
interaccionar	interact		agree
interactuar	interact		agree
intercalar	intersperse		agree
intercambiar	exchange		agree
interceder	intercede		agree
interceptar	intercept		agree
interesar	interest		agree
interferir	interfere		agree
interiorizar	internalize		agree
intermediar	mediate		agree
internacionalizar	internationalize		agree
internar	commit		agree		two senses: commit/admit
interpelar	question		agree
interpolar	interpolate		agree
interponer	interpose		agree
interpretar	interpret		agree
interrelacionar	interrelate		agree
interrogar	interrogate		agree
interrumpir	interrupt		agree
intervenir	intervene		agree
interviuvar	interview		agree	1
intimar	befriend		agree		become close
intimidar	intimidate		agree
intitular	entitle		agree
intoxicar	poison		agree
intranquilizar	disquiet		agree
intrigar	intrigue		agree
intrincar	entangle		agree
intubar	intubate		agree
intuir	sense		agree
inundar	flood		agree
inutilizar	disable		agree
invadir	invade		agree
invalidar	invalidate		agree
inventar	invent		agree
inventariar	inventory		agree
invernar	hibernate		agree
invertir	invest		agree
investigar	investigate		agree
investir	invest		agree		invest with office
invitar	invite		agree
invocar	invoke		agree
involucionar	regress		agree
involucrar	involve		agree
inyectar	inject		agree
ionizar	ionize		agree
irisar	iridesce		agree
ironizar	mock		agree		speak ironically
irradiar	radiate		agree
irrigar	irrigate		agree
irritar	irritate		agree
irrumpir	burst in		agree
islamizar	islamize		agree
italianizar	italianize		agree
iterar	iterate		agree
izar	hoist		agree
jabonar	soap		agree
jactar	boast		agree
jadear	pant		agree
jalar	pull		agree
jalear	cheer		agree
jalonar	mark out		agree
jamar	scoff		agree
jaranear	revel		agree
jarrear	pour		agree
jaspear	mottle		agree
jerarquizar	rank		agree
jeringar	annoy		agree
joder	screw		agree
jorobar	annoy		agree
jubilar	retire		agree
judaizar	judaize		agree
juerguear	party		agree
juguetear	frolic		agree
juntar	gather		agree		two senses: gather/join
juramentar	swear in		agree
jurar	swear		agree
justificar	justify		agree
justipreciar	appraise		agree
juzgar	judge		agree
kilometrar	measure kilometers		agree		mark in kilometers
labializar	labialize		agree
laborar	work		agree
labrar	till		agree		two senses: till/plow
lacar	lacquer		agree
lacerar	lacerate		agree
lacrar	seal		agree		seal with wax
lactar	breastfeed		agree
ladear	tilt		agree
ladrar	bark		agree
ladrillar	brick		agree		pave with bricks
lagrimear	weep		agree		water/weep
laicizar	secularize		agree
lamentar	regret		agree
laminar	laminate		agree
lampar	crave		agree
lancear	spear		agree
languidecer	languish		agree
lanzar	throw		agree
lapidar	stone		agree
laquear	lacquer		agree
largar	release		agree		let loose
lastimar	hurt		agree
lastrar	ballast		agree		weigh down/ballast
lateralizar	lateralize		agree
latinizar	latinize		agree
latir	beat		agree
laurear	honor		agree		crown with laurels
lavotear	wash hastily		agree
laxar	loosen		agree
legalizar	legalize		agree
legar	bequeath		agree
legislar	legislate		agree
legitimar	legitimize		agree
legrar	scrape		agree
lesionar	injure		agree
levantar	lift		agree
levar	weigh anchor		agree
levitar	levitate		agree
lexicalizar	lexicalize		agree
liar	bundle		agree		tie up/bundle
libar	sip		agree
liberalizar	liberalize		agree
liberar	free		agree
libertar	liberate		agree
librar	free		agree
licenciar	discharge		agree
licitar	bid		agree
licuar	liquefy		agree
liderar	lead		agree
lidiar	fight		agree
ligar	bind		agree
lijar	sand		agree
limar	file		agree
limitar	limit		agree
limosnear	beg		agree
linchar	lynch		agree
lindar	border		agree
