palmear	clap		agree			
palmotear	clap		agree			
palpar	feel		agree			
palpitar	throb		agree			
panificar	make bread		agree			
papear	eat		agree			
parabolizar	parabolize	make parabolic	replace	1	1	rare; figurative speak-in-parables sense exists
parafrasear	paraphrase		agree			
paralizar	paralyze		agree			
parangonar	compare		agree			
parapetar	take cover		agree			
parar	stop		agree			
parcelar	parcel		agree			
parchear	patch		agree			
parcializar	bias	make partial	replace	1		
parecer	seem		agree			
parir	give birth		agree			
parlamentar	parley		agree			
parlar	chatter		agree			
parlotear	chatter		agree			
parodiar	parody		agree			
parpadear	blink		agree			
parrandear	revel		agree			
participar	participate		agree			
particularizar	specify		agree			
pasar	pass		agree			
pasear	stroll		agree			
pasmar	astonish		agree			
pastar	graze		agree			
pasteurizar	pasteurize		agree			
pastorear	shepherd		agree			
patalear	stamp		agree			
patear	kick		agree			
patentar	patent		agree			
patentizar	reveal		agree			
patinar	skate		agree			
patrocinar	sponsor		agree			
patrullar	patrol		agree			
pausar	pause		agree			
pautar	set rules		agree			
pavimentar	pave		agree			
pavonear	strut		agree			
pecar	sin		agree			
pechar	shoulder		agree			
pedalear	pedal		agree			
pedorrear	fart		agree	1		
pegar	hit		agree		two common senses: hit / stick	
pegotear	scrounge		agree	1		
peinar	comb		agree			
pelar	peel		agree			
pelear	fight		agree			
peligrar	endanger	be in danger	replace			intransitive: be in danger
pellizcar	pinch		agree			
pelotear	knock about		agree			
penalizar	penalize		agree			
pender	hang		agree			
pendonear	gallivant		agree	1		
penetrar	penetrate		agree			
pensionar	pension		agree			
peraltar	bank		agree	1		
percatar	notice		agree			
percibir	perceive		agree			
percutir	strike		agree			
perdonar	forgive		agree			
perdurar	endure		agree			
perecer	perish		agree			
peregrinar	pilgrimage		agree			
perennizar	perpetuate		agree			
perfeccionar	perfect		agree			
perfilar	outline		agree			
perforar	drill		agree			
perfumar	perfume		agree			
pergeñar	contrive		agree	1		
periclitar	decline		agree	1		
peritar	appraise		agree			
perjudicar	harm		agree			
perjurar	swear		agree			
perlar	bead		agree	1		
permanecer	remain		agree			
permutar	swap		agree			
pernoctar	stay overnight		agree			
perorar	hold forth		agree			
perpetrar	perpetrate		agree			
perpetuar	perpetuate		agree			
perseguir	pursue		agree			
perseverar	persevere		agree			
persignar	cross oneself		agree			
persistir	persist		agree			
personalizar	personalize		agree			
personar	appear		agree			
personificar	personify		agree			
persuadir	persuade		agree			
pertenecer	belong		agree			
pertrechar	equip		agree			
perturbar	disturb		agree			
pervertir	pervert		agree			
pervivir	survive		agree			
pesar	weigh		agree			
pescar	fish		agree			
pespuntear	backstitch		agree	1		
pestañear	blink		agree			
petar	please		agree	1		
petardear	backfire		agree	1		
peticionar	petition		agree			
petrificar	petrify		agree			
piafar	paw		agree	1		
piar	chirp		agree			
picar	sting		agree			
picotear	peck		agree			
pifiar	bungle		agree			
pigmentar	pigment		agree			
pillar	catch		agree			
pilotar	pilot		agree			
pimplar	booze		agree	1		
pincelar	brush		agree			
pinchar	prick		agree			
pintarrajear	daub		agree			
pinzar	clamp		agree			
pirar	flee		agree			
piratear	pirate		agree			
piropear	flatter		agree			
pirrar	love		agree	1		
piruetear	pirouette		agree			
pisar	step		agree			
pisotear	trample		agree			
pitar	whistle		agree			
pitorrear	mock		agree			
pivotar	pivot		agree			
plagar	plague		agree			
plagiar	plagiarize		agree			
planchar	iron		agree			
planear	plan		agree			
planificar	plan		agree			
plantar	plant		agree			
plantear	pose		agree			
plantificar	plant	plonk down	replace	1		
plañir	wail		agree			
plasmar	embody		agree			
plastificar	laminate		agree			
platear	silver-plate		agree			
plegar	fold		agree			
pleitear	litigate		agree			
plisar	pleat		agree			
pluralizar	pluralize		agree			
poblar	populate		agree			
podar	prune		agree			
podrir	rot		agree			
poetizar	poeticize		agree			
polarizar	polarize		agree			
polemizar	debate		agree			
policromar	polychrome		agree	1		
polinizar	pollinate		agree			
politizar	politicize		agree			
polucionar	pollute		agree			
pontificar	pontificate		agree			
popularizar	popularize		agree			
pordiosear	beg		agree			
porfiar	insist		agree			
pormenorizar	detail		agree			
portar	carry		agree			
portear	transport		agree			
posar	pose		agree			
posesionar	take possession		agree			
posibilitar	enable		agree			
posicionar	position		agree			
positivar	develop		agree	1		
posponer	postpone		agree			
postergar	postpone		agree			
postinear	show off		agree	1		
postrar	prostrate		agree			
postular	postulate		agree			
potabilizar	purify		agree			
potar	puke		agree			
potenciar	boost		agree			
practicar	practice		agree			
precaver	guard against		agree			
preceder	precede		agree			
preciar	value		agree			
precintar	seal		agree			
precipitar	precipitate		agree			
precisar	specify		agree			
preconcebir	preconceive		agree			
preconizar	advocate		agree			
predatar	predate		agree	1		
predestinar	predestine		agree			
predeterminar	predetermine		agree			
predicar	preach		agree			
predisponer	predispose		agree			
predominar	predominate		agree			
preexistir	preexist		agree			
preferir	prefer		agree			
prefigurar	prefigure		agree			
prefijar	prefix		agree			
pregonar	proclaim		agree			
preguntar	ask		agree			
prejuzgar	prejudge		agree			
preludiar	prelude		agree			
premeditar	premeditate		agree			
premiar	reward		agree			
prendar	captivate		agree			
prender	seize		agree			
prensar	press		agree			
preñar	impregnate		agree			
preocupar	worry		agree			
preparar	prepare		agree			
preponderar	preponderate		agree			
presagiar	foreshadow		agree			
prescindir	dispense with		agree			
prescribir	prescribe		agree			
preseleccionar	preselect		agree			
presenciar	witness		agree			
presentar	present		agree			
presentir	foresee		agree			
preservar	preserve		agree			
presidir	preside		agree			
presintonizar	preset		agree	1		
presionar	press		agree			
prestar	lend		agree			
prestigiar	dignify		agree			
presumir	presume		agree			
presuponer	presuppose		agree			
presupuestar	budget		agree			
presurizar	pressurize		agree			
pretender	intend		agree			
pretextar	pretext		agree			
prevalecer	prevail		agree			
prevaricar	prevaricate	abuse one's office	replace		1	legal: betray official duty; not lie
prevenir	prevent		agree			
primar	prevail		agree			
pringar	grease		agree			
priorizar	prioritize		agree			
privar	deprive		agree			
privatizar	privatize		agree			
privilegiar	favor		agree			
probar	test		agree			
proceder	proceed		agree			
proclamar	proclaim		agree			
procrear	procreate		agree			
procurar	procure		agree		two common senses: try / procure	
prodigar	lavish		agree			
producir	produce		agree			
profanar	desecrate		agree			
proferir	utter		agree			
profesar	profess		agree			
profesionalizar	professionalize		agree			
profetizar	prophesy		agree			
profundizar	deepen		agree			
programar	program		agree			
progresar	progress		agree			
proliferar	proliferate		agree			
prologar	preface		agree			
prolongar	prolong		agree			
promediar	average		agree			
promocionar	promote		agree			
promulgar	promulgate		agree			
pronosticar	forecast		agree			
pronunciar	pronounce		agree			
propagar	propagate		agree			
propalar	divulge		agree			
propasar	overstep		agree			
propender	tend		agree			
propiciar	foster		agree			
propinar	deal		agree			
proporcionar	provide		agree			
propugnar	advocate		agree			
propulsar	propel		agree			
prorratear	prorate		agree			
prorrogar	extend		agree			
prorrumpir	burst out		agree			
proscribir	proscribe		agree			
proseguir	continue		agree			
prosificar	prosify	turn into prose	replace	1		
prosperar	prosper		agree			
prosternar	prostrate		agree			
prostituir	prostitute		agree			
protagonizar	star		agree			
proteger	protect		agree			
protestar	protest		agree			
proveer	provide		agree			
provenir	come from		agree			
provocar	provoke		agree			
proyectar	project		agree			
psicoanalizar	psychoanalyze		agree			
publicar	publish		agree			
publicitar	advertise		agree			
puentear	bypass		agree			
pugnar	struggle		agree			
pujar	bid		agree			
pulimentar	polish		agree			
pulir	polish		agree			
pulsar	press		agree			
pulular	swarm		agree			
pulverizar	pulverize		agree			
puntear	dot		agree			
puntualizar	specify		agree			
puntuar	punctuate		agree			
punzar	prick		agree			
purgar	purge		agree			
purificar	purify		agree			
putear	pester		agree			
