quebrantar	break	break apart	replace	1		two senses: break / violate (law)
quebrar	break	break	agree
quemar	burn	burn	agree
querellar	sue		agree			reflexive-only file a lawsuit
quintuplicar	quintuple	quintuple	agree
quitar	remove	remove	agree
rabiar	rage	rage	agree
racanear	skimp	skimp	agree	1
racionalizar	rationalize	rationalize	agree
racionar	ration	ration	agree
radiar	radiate	radiate	agree
radicalizar	radicalize	radicalize	agree
radicar	reside	be located	agree
radiodifundir	broadcast	broadcast	agree
radiografiar	x-ray	x-ray	agree
radiotelegrafiar	radiotelegraph	radiotelegraph	agree	1
rajar	slit	split	agree
ralentizar	slow	slow down	agree
rallar	grate	grate	agree
ramificar	branch	branch	agree
ramonear	browse	browse	agree	1		browse (graze)
rapar	shave	shave	agree
raptar	abduct	abduct	agree
rarificar	rarefy	rarefy	agree	1
rascar	scratch	scratch	agree
rasgar	tear	tear	agree
rasguear	strum	strum	agree
raspar	scrape	scrape	agree
rastrear	track	track	agree
rastrillar	rake	rake	agree
rastrojar	clear stubble	clear stubble	agree	1
rasurar	shave	shave	agree
ratificar	ratify	ratify	agree
rayar	scratch	scratch	agree
razonar	reason	reason	agree
reabrir	reopen	reopen	agree
reabsorber	reabsorb	reabsorb	agree
reaccionar	react	react	agree
reactivar	reactivate	reactivate	agree
readaptar	readapt	readapt	agree
readmitir	readmit	readmit	agree
reafirmar	reaffirm	reaffirm	agree
reagrupar	regroup	regroup	agree
reajustar	readjust	readjust	agree
realizar	carry out	carry out	agree
realojar	rehouse	rehouse	agree
realquilar	sublet	sublet	agree
realzar	enhance	enhance	agree
reanimar	revive	revive	agree
reanudar	resume	resume	agree
reaparecer	reappear	reappear	agree
rearmar	rearm	rearm	agree
reasegurar	reinsure	reinsure	agree
reavivar	revive	revive	agree
rebajar	lower	lower	agree
rebanar	slice	slice	agree
rebañar	scrape clean	scrape clean	agree	1
rebasar	exceed	exceed	agree
rebatir	refute	refute	agree
rebelar	rebel	rebel	agree
reblandecer	soften	soften	agree
rebobinar	rewind	rewind	agree
rebordear	edge	edge	agree	1
rebosar	overflow	overflow	agree
rebotar	bounce	bounce	agree
rebozar	batter	coat in batter	agree
rebrotar	resprout	sprout again	agree
rebuscar	search	search thoroughly	agree
rebuznar	bray	bray	agree
recabar	obtain	obtain	agree
recaer	relapse	relapse	agree
recalar	make landfall	make landfall	agree	1
recalcar	stress	emphasize	agree
recalentar	reheat	reheat	agree
recalificar	requalify	rezone	uncertain			senses: requalify / rezone land
recamar	embroider	embroider	agree	1
recambiar	change	replace	agree
recapacitar	reconsider	reconsider	agree
recapitular	recap	recap	agree
recargar	recharge	recharge	agree
recatar	conceal	conceal	agree	1
recauchutar	retread	retread	agree	1
recaudar	collect	collect	agree
recelar	suspect	distrust	agree
recetar	prescribe	prescribe	agree
rechazar	reject	reject	agree
rechinar	creak	creak	agree
