repugnar	disgust		agree
repujar	emboss		agree
repulir	polish		agree
reputar	deem		agree
requebrar	flatter		agree
requerir	require		agree
requisar	requisition		agree
resaltar	highlight		agree
resarcir	compensate		agree
resbalar	slip		agree
rescatar	rescue		agree
rescindir	rescind		agree
rescribir	rewrite		agree
resecar	dry out		agree
resentir	resent		agree
reseñar	review		agree
reservar	reserve		agree
resetear	reset		agree
resfriar	chill		agree
resguardar	shelter		agree
residir	reside		agree
resignar	resign		agree
resinar	tap resin		uncertain	1	1	denominal resin-tapping
resistir	resist		agree
resonar	resound		agree
resoplar	snort		agree
respaldar	back		agree
respetar	respect		agree
respingar	twitch		agree
respirar	breathe		agree
resplandecer	shine		agree
responsabilizar	hold responsible		agree
resquebrajar	crack		agree
restablecer	reestablish		agree
restallar	crackle		agree
restañar	staunch		agree
restar	subtract		agree
restaurar	restore		agree
restituir	restore		agree
restregar	scrub		agree
restringir	restrict		agree
resucitar	resuscitate		agree
resultar	result		agree
resumir	summarize		agree
resurgir	resurge		agree
retar	challenge		agree
retardar	delay		agree
retener	retain		agree
retentar	tempt again		agree
reteñir	redye		agree
retirar	withdraw		agree
retocar	retouch		agree
retomar	resume		agree
retoñar	sprout		agree
retorcer	twist		agree
retornar	return		agree
retozar	frolic		agree
retractar	retract		agree
retractilar	shrink-wrap		agree
retraer	retract		agree
retransmitir	rebroadcast		agree
retrasar	delay		agree
retratar	portray		agree
retrepar	lean back		agree
retribuir	remunerate		agree
retroceder	retreat		agree
retrotraer	predate		agree
retumbar	rumble		agree
reunificar	reunify		agree
reutilizar	reuse		agree
revacunar	revaccinate		agree
revalidar	revalidate		agree
revalorizar	revalue		agree
revaluar	revalue		agree
revelar	reveal		agree
revender	resell		agree
reventar	burst		agree
reverberar	reverberate		agree
reverdecer	regreen	turn green again	replace
reverenciar	revere		agree
revertir	revert		agree
revestir	coat		agree
revisar	revise		agree			two senses: revise / review
revitalizar	revitalize		agree
revivir	revive		agree
revocar	revoke		agree
revolcar	knock down		agree
revolotear	flutter		agree
revolucionar	revolutionize		agree
revolver	stir		agree
rezagar	lag		agree
rezar	pray		agree
rezongar	grumble		agree
rezumar	ooze		agree
ribetear	trim		agree
ridiculizar	ridicule		agree
rielar	shimmer		agree
rifar	raffle		agree
rimar	rhyme		agree
rivalizar	rival		agree
rizar	curl		agree
robar	steal		agree
robotizar	automate		agree
robustecer	strengthen		agree
rociar	sprinkle		agree
rodar	roll		agree
rodear	surround		agree
rogar	beg		agree
romanizar	romanize		agree
roncar	snore		agree
rondar	patrol		agree
ronronear	purr		agree
ronzar	crunch		agree
roscar	thread		agree
rotar	rotate		agree
rotular	label		agree
roturar	plow		agree
rozar	graze		agree
ruborizar	make blush		agree
rubricar	sign		agree
rugir	roar		agree
rular	roll		agree
rumiar	ruminate		agree
rumorear	rumor		agree
runrunear	murmur		agree
rutilar	sparkle		agree
sablear	scrounge		agree
saborear	savor		agree
sabotear	sabotage		agree
saciar	satiate		agree
sacralizar	sacralize		agree
sacramentar	administer sacraments		agree
sacrificar	sacrifice		agree
sacudir	shake		agree
sajar	lance		agree
salar	salt		agree
saldar	settle		agree
salivar	salivate		agree
salmodiar	chant		agree
salpicar	splash		agree
salpimentar	season		agree
saltar	jump		agree
saltear	sauté		agree
saludar	greet		agree
salvaguardar	safeguard		agree
salvar	save		agree
sanar	heal		agree
sancionar	sanction		agree
sanear	clean up		agree
sangrar	bleed		agree
santificar	sanctify		agree
santiguar	bless		agree			santiguarse = cross oneself
saquear	loot		agree
satinar	gloss		agree
satirizar	satirize		agree
saturar	saturate		agree
sazonar	season		agree
secar	dry		agree
seccionar	section		agree
secretar	secrete		agree
secretear	whisper		agree
secuenciar	sequence		agree
secuestrar	kidnap		agree
secularizar	secularize		agree
secundar	second		agree
sedar	sedate		agree
sedimentar	settle		agree
segar	mow		agree
segmentar	segment		agree
segregar	segregate		agree
seleccionar	select		agree
sellar	seal		agree
sembrar	sow		agree
semejar	resemble		agree
sensibilizar	sensitize		agree
sentenciar	sentence		agree
señalar	point out		agree
señalizar	signpost		agree
separar	separate		agree
sepultar	bury		agree
serenar	calm		agree
sermonear	lecture		agree
serpentear	wind		agree
serrar	saw		agree
servir	serve		agree
sesear	lisp	pronounce s for c	replace			seseo not lisp
sesgar	skew		agree
sestear	siesta		agree
sextuplicar	sextuple		agree
significar	mean		agree
silabear	syllabify		agree
silbar	whistle		agree
silenciar	silence		agree
siluetear	outline		agree
simbolizar	symbolize		agree
simpatizar	sympathize		agree
simplificar	simplify		agree
simular	simulate		agree
simultanear	combine		agree
