subsidiar	subsidize		agree
subsistir	subsist		agree
subsumir	subsume		agree
subtitular	subtitle		agree
subvencionar	subsidize		agree
subvenir	defray		agree	1
subvertir	subvert		agree
subyacer	underlie		agree
subyugar	subjugate		agree
succionar	suck		agree
suceder	happen		agree
sucumbir	succumb		agree
sudar	sweat		agree
sufragar	defray		agree
sugerir	suggest		agree
sugestionar	influence		agree
suicidar	commit suicide		agree
sujetar	hold		agree
sulfatar	sulfate		agree	1
sulfurar	infuriate		agree
sumar	add		agree
sumariar	summarize		agree	1
sumergir	submerge		agree
suministrar	supply		agree
sumir	plunge		agree
supeditar	subordinate		agree
superabundar	overabound		agree	1
superar	surpass		agree		two common senses: surpass / overcome
superponer	superimpose		agree
supervalorar	overvalue		agree
supervisar	supervise		agree
suplantar	supplant		agree
suplicar	beg		agree
suplir	substitute		agree
suprimir	suppress		agree
supurar	suppurate		agree
surcar	furrow		agree
surgir	emerge		agree
surtir	supply		agree
suscitar	provoke		agree
suscribir	subscribe		agree
suspender	suspend		agree
suspirar	sigh		agree
sustanciar	substantiate		agree
sustantivar	nominalize		agree	1
sustentar	sustain		agree
sustituir	substitute		agree
sustraer	subtract		agree
susurrar	whisper		agree
suturar	suture		agree
tabicar	wall up		agree	1
tablear	plank		uncertain	1	1	current: plank / blind: pleat
tabular	tabulate		agree
tachar	cross out		agree
tachonar	stud		agree
taconear	tap heels		agree	1
tajar	slice		agree
taladrar	drill		agree
talar	fell		agree
tallar	carve		agree
tambalear	stagger		agree
tamborilear	drum		agree
tamizar	sift		agree
tanguear	tango		agree	1
tantear	test		agree		feel out / test
tapar	cover		agree
tapear	snack		agree	1	eat tapas
tapiar	wall up		agree
tapizar	upholster		agree
taponar	plug		agree
taquigrafiar	stenograph		agree	1	write shorthand
taracear	inlay		agree	1
tarar	tare		agree	1
tararear	hum		agree
tardar	delay		agree
tarifar	price		agree	1	set rates
tarjetear	card		uncertain	1	1	rare denominal
tartajear	stammer		agree	1
tartamudear	stutter		agree
tasar	appraise		agree
tatarear	hum		agree	1
tatuar	tattoo		agree
teatralizar	dramatize		agree
techar	roof		agree
teclear	type		agree
tecnificar	modernize		agree	1	mechanize
teledirigir	remote control		agree
telefonear	phone		agree
telegrafiar	telegraph		agree
televisar	televise		agree
temblar	tremble		agree
temblequear	shiver		agree	1
temperar	temper		agree
templar	temper		agree
temporizar	temporize		agree
tender	spread		agree
tensar	tighten		agree
tensionar	tension		agree
tentar	tempt		agree
teñir	dye		agree
teologizar	theologize		agree	1
teorizar	theorize		agree
terciar	mediate		agree
tergiversar	distort		agree
terminar	finish		agree
terraplenar	embank		agree	1
tersar	smooth		agree	1
testar	bequeath		replace	make a will		"testar = make a will, not bequeath"
testificar	testify		agree
testimoniar	testify		agree
tildar	brand		agree
timar	swindle		agree
timbrar	stamp		agree
tintar	dye		agree
