vincular	link		agree
vindicar	vindicate		agree
violar	violate		agree
violentar	force		agree
virar	turn		agree
virilizar	virilize		uncertain	1	1	rare denominal
visar	endorse		agree
visibilizar	make visible		agree
visionar	view		agree
vislumbrar	glimpse		agree
visualizar	visualize		agree
vitorear	cheer		agree
vitrificar	vitrify		agree
vituperar	revile		agree		revile/vituperate same sense
vivaquear	bivouac		agree
vivificar	revive		agree
vocalizar	vocalize		agree
vocear	shout		agree
vociferar	vociferate		agree
volar	fly		agree
volatilizar	volatilize		agree
volcar	overturn		agree
volear	volley		agree
voltear	flip		agree
vomitar	vomit		agree
votar	vote		agree
vulcanizar	vulcanize		agree
vulgarizar	popularize		agree
vulnerar	violate		agree
xerocopiar	photocopy		agree
xerografiar	xerograph		agree	1
yantar	dine		agree		archaic eat/dine
yermar	lay waste		agree	1
yodurar	iodize		agree	1
yugular	stem		uncertain		1	stem/jugulate medical sense
yuxtaponer	juxtapose		agree
zafar	loosen		agree
zaherir	wound		agree		wound/rebuke figurative
zamarrear	shake		agree
zambullir	plunge		agree
zampar	gobble		agree
zanganear	loaf		agree
zanjar	settle		agree
zapar	sap		agree
zapatear	tap		agree
zapear	channel surf		agree
zarandear	shake		agree
zarpar	set sail		agree
zascandilear	bustle about		agree	1
zigzaguear	zigzag		agree
zonificar	zone		agree
zorrear	prowl		agree	1
zozobrar	capsize		agree
zumbar	buzz		agree
zurcir	darn		agree
zurrar	thrash		agree
