abajar	lower
abalanzar	hurl
abalar	hurl
abalizar	mark
aballar	drive
abanar	fan
abanderar	champion
abandonar	abandon
abanicar	fan
abaratar	cheapen
abarcar	encompass
abarquillar	curl
abarrotar	cram
abastecer	supply
abatir	knock down
abdicar	abdicate
abetunar	polish
abigarrar	variegate
abismar	plunge
abjurar	abjure
ablandar	soften
abnegar	renounce
abobar	stupefy
abocar	pour
abocetar	sketch
abochornar	embarrass
abocinar	flare
abofetear	slap
abogar	advocate
abollar	dent
abombar	bulge
abominar	abhor
abonar	fertilize
abordar	board
aborrecer	loathe
aborregar	become fleecy
abortar	abort
abotargar	bloat
abotonar	button
abovedar	vault
abrasar	burn
abrevar	water
abreviar	abbreviate
abrigar	shelter
abrochar	fasten
abrogar	repeal
abrumar	overwhelm
absolver	absolve
abstener	abstain
abstraer	abstract
abuchear	boo
abultar	bulk
abundar	abound
aburguesar	make bourgeois
aburrir	bore
abusar	abuse
acabar	finish
acaecer	happen
acallar	silence
acalorar	heat
acampar	camp
acanalar	groove
acantonar	quarter
acaparar	hoard
acaramelar	caramelize
acariciar	caress
acarrear	haul
acartonar	stiffen
acatar	obey
acatarrar	catch cold
acaudalar	amass
acaudillar	lead
acceder	access
accidentar	have accident
accionar	activate
acechar	stalk
aceitar	oil
acelerar	accelerate
acendrar	purify
acentuar	accentuate
aceptar	accept
acerar	steel
acercar	bring near
acertar	guess right
achabacanar	vulgarize
achacar	attribute
achantar	intimidate
achaparrar	stunt
acharolar	varnish
achatar	flatten
achicar	shrink
achicharrar	scorch
achinar	slant
achispar	make tipsy
achuchar	squeeze
acicalar	groom
acidificar	acidify
acidular	acidulate
aclamar	acclaim
aclarar	clarify
aclimatar	acclimatize
acobardar	intimidate
acodar	bend
acoger	welcome
acogotar	throttle
acolchar	pad
acometer	attack
acomodar	accommodate
acompañar	accompany
acompasar	pace
acomplejar	give complex
acondicionar	condition
aconsejar	advise
acontecer	happen
acoplar	couple
acoquinar	intimidate
acorazar	armor
acorchar	go numb
acordonar	cordon off
acorralar	corner
acortar	shorten
acosar	harass
acostar	put to bed
acostumbrar	accustom
acotar	demarcate
acrecentar	increase
acreditar	accredit
acribillar	riddle
acrisolar	refine
acristalar	glaze
activar	activate
actualizar	update
acuartelar	quarter
acuchillar	knife
acuciar	urge
acuclillar	squat
acumular	accumulate
acunar	cradle
acuñar	coin
acurrucar	curl up
acusar	accuse
adaptar	adapt
adecentar	tidy
adecuar	adapt
adelantar	advance
adelgazar	slim
adentrar	go into
aderezar	season
adeudar	owe
adherir	adhere
adicionar	add
adiestrar	train
adinerar	enrich
adivinar	guess
adjetivar	adjectivize
adjudicar	award
adjuntar	attach
administrar	administer
admirar	admire
adobar	marinate
adocenar	make common
adoctrinar	indoctrinate
adolecer	suffer
adoptar	adopt
adoquinar	pave
adorar	adore
adormecer	lull
adormilar	doze
adornar	adorn
adosar	attach
adscribir	ascribe
adueñar	take over
adular	flatter
adulterar	adulterate
adverbializar	adverbialize
advertir	warn
aerotransportar	airlift
afanar	toil
afear	uglify
afectar	affect
afeitar	shave
afelpar	make plush
afeminar	effeminate
aferrar	grasp
afianzar	secure
aficionar	make fond
afilar	sharpen
afiliar	affiliate
afinar	tune
afincar	settle
afirmar	affirm
aflautar	make shrill
afligir	afflict
aflojar	loosen
afluir	flow
afofar	soften
afrancesar	frenchify
afrentar	affront
africanizar	africanize
afrontar	confront
agachar	crouch
agarrar	grab
agarrotar	tighten
agasajar	fete
agavillar	bundle
agazapar	crouch
agenciar	procure
agigantar	enlarge
agilizar	expedite
agitanar	gypsify
agitar	shake
aglomerar	agglomerate
aglutinar	agglutinate
agobiar	overwhelm
agolpar	crowd
agonizar	agonize
agostar	parch
agotar	exhaust
agraciar	grace
agradar	please
agradecer	thank
agrandar	enlarge
agravar	aggravate
agraviar	wrong
agredir	assault
agregar	add
agremiar	unionize
agriar	sour
agrietar	crack
agrisar	gray
agrupar	group
aguantar	endure
aguar	water down
aguardar	await
agudizar	sharpen
aguijonear	goad
agujerear	pierce
agusanar	get wormy
aguzar	sharpen
aherrojar	shackle
ahogar	drown
ahondar	deepen
ahorcar	hang
ahornar	bake
ahorrar	save
ahuecar	hollow
ahuevar	egg-shape
ahumar	smoke
ahuyentar	scare away
aindiar	go native
airear	air
ajamonar	get plump
ajar	wither
ajardinar	landscape
ajetrear	bustle
ajuntar	join
ajustar	adjust
ajusticiar	execute
alabar	praise
alabear	warp
alambicar	distill
alambrar	wire
alardear	boast
alargar	lengthen
alarmar	alarm
albardar	saddle
albergar	house
alborear	dawn
alborotar	stir up
alborozar	delight
alcahuetear	pander
alcalinizar	alkalize
alcantarillar	sewer
alcanzar	reach
alcoholizar	alcoholize
aleccionar	instruct
alegar	allege
alegrar	gladden
alejar	move away
alentar	encourage
alertar	alert
aletargar	make drowsy
aletear	flutter
alfabetizar	alphabetize
alfombrar	carpet
algodonar	pad
alhajar	bejewel
aliar	ally
alicatar	tile
alicortar	clip wings
alienar	alienate
aligerar	lighten
alimentar	feed
alinear	align
aliñar	season
alisar	smooth
alistar	enlist
aliviar	relieve
allanar	level
allegar	gather
