circunvalar	bypass
ciscar	soil
citar	cite
civilizar	civilize
cizañar	sow discord
clamar	cry out
clamorear	clamor
clarear	dawn
clarificar	clarify
clasificar	classify
claudicar	give up
clausurar	close
clavar	nail
clavetear	stud
climatizar	air-condition
clocar	cluck
cloquear	cluck
clorar	chlorinate
cloroformizar	chloroform
coadyuvar	assist
coagular	coagulate
coaligar	ally
coartar	restrict
cobijar	shelter
cobrar	charge
cocear	kick
codear	elbow
codiciar	covet
codificar	encode
codirigir	co-direct
coercer	coerce
coexistir	coexist
cohabitar	cohabit
coheredar	co-inherit
cohesionar	bind
cohibir	inhibit
cojear	limp
colaborar	collaborate
colacionar	collate
colapsar	collapse
colar	strain
colear	wag
coleccionar	collect
colectar	collect
colectivizar	collectivize
colegiar	register
colindar	border
colocar	place
colonizar	colonize
colorear	color
columbrar	glimpse
columpiar	swing
comadrear	gossip
comandar	command
combar	bend
combatir	fight
combinar	combine
comedir	restrain
comentar	comment
comenzar	begin
comercializar	market
comisionar	commission
compadecer	pity
compaginar	reconcile
comparar	compare
comparecer	appear
compartimentar	compartmentalize
compatibilizar	reconcile
compeler	compel
compendiar	summarize
compenetrar	bond
compensar	compensate
competer	concern
competir	compete
compilar	compile
complacer	please
complementar	complement
completar	complete
complicar	complicate
comportar	behave
comprimir	compress
comprobar	verify
comprometer	commit
compulsar	collate
computadorizar	computerize
computar	compute
computarizar	computerize
comulgar	commune
comunicar	communicate
concatenar	concatenate
concebir	conceive
conceder	grant
concelebrar	concelebrate
concentrar	concentrate
conceptualizar	conceptualize
conceptuar	conceptualize
concernir	concern
concertar	arrange
conchabar	scheme
concienciar	raise awareness
conciliar	reconcile
concitar	incite
concordar	agree
concretar	specify
concretizar	make concrete
conculcar	violate
concurrir	converge
concursar	compete
condecorar	decorate
condenar	condemn
condensar	condense
condescender	condescend
condicionar	condition
condimentar	season
condoler	sympathize
condonar	forgive
conectar	connect
conexionar	connect
confabular	conspire
confeccionar	make
confederar	confederate
conferenciar	confer
conferir	confer
confesar	confess
confiar	trust
configurar	configure
confinar	confine
confirmar	confirm
confiscar	confiscate
confitar	candy
conflagrar	set ablaze
confluir	converge
conformar	conform
confortar	comfort
confraternizar	fraternize
confrontar	confront
confundir	confuse
congelar	freeze
congeniar	get along
congestionar	congest
conglomerar	conglomerate
congraciar	ingratiate
congratular	congratulate
congregar	congregate
conjeturar	conjecture
conjugar	conjugate
conjuntar	combine
conjurar	conjure
conllevar	entail
conmemorar	commemorate
conmensurar	commensurate
conminar	threaten
conmocionar	shock
conmover	move
conmutar	commute
connotar	connote
conquistar	conquer
consagrar	consecrate
conseguir	obtain
consensuar	agree
consentir	consent
conservar	preserve
considerar	consider
consignar	consign
consolar	console
consolidar	consolidate
consonantizar	consonantize
conspirar	conspire
constar	consist
constatar	verify
consternar	dismay
constipar	catch cold
constituir	constitute
constreñir	constrain
consultar	consult
consumar	consummate
consumir	consume
contabilizar	account
contactar	contact
contagiar	infect
contaminar	contaminate
contar	count
contemplar	contemplate
contemporizar	temporize
contender	contend
contener	contain
contentar	please
contextualizar	contextualize
continuar	continue
contonear	sway
contornear	outline
contorsionar	contort
contraatacar	counterattack
contradecir	contradict
contraer	contract
contrahacer	counterfeit
contraindicar	contraindicate
contrapear	cross-laminate
contrapesar	counterbalance
contraponer	oppose
contrariar	annoy
contrarrestar	counteract
contrastar	contrast
contratar	hire
contravenir	contravene
contribuir	contribute
contristar	sadden
controlar	control
conturbar	perturb
contusionar	bruise
convalecer	convalesce
convalidar	validate
convencer	convince
converger	converge
conversar	converse
convertir	convert
convidar	invite
convivir	coexist
convocar	convene
convulsionar	convulse
cooperar	cooperate
coordinar	coordinate
copar	corner
copear	drink
copiar	copy
copular	copulate
coquetear	flirt
corear	chant
coreografiar	choreograph
cornear	gore
coronar	crown
corregir	correct
corresponder	correspond
corretear	scamper
corroborar	corroborate
corroer	corrode
corromper	corrupt
cortejar	court
coscar	catch on
cosechar	harvest
cosquillear	tickle
costar	cost
costear	finance
cotejar	compare
cotizar	quote
cotorrear	chatter
crear	create
creer	believe
crepitar	crackle
criar	raise
cribar	sift
crispar	tense
cristalizar	crystallize
cristianar	baptize
cristianizar	christianize
criticar	criticize
croar	croak
cromar	chrome
cronometrar	time
crucificar	crucify
crujir	creak
cruzar	cross
cuadrar	square
cuadricular	grid
cuadruplicar	quadruple
cuajar	curdle
cualificar	qualify
cuantificar	quantify
cuartear	crack
cuchichear	whisper
cuestionar	question
cuidar	care
culminar	culminate
culpabilizar	blame
culpar	blame
cultivar	cultivate
culturizar	educate
cumplimentar	fill out
cundir	spread
curar	cure
curiosear	snoop
currar	work
cursar	study
curtir	tan
curvar	curve
custodiar	guard
damnificar	harm
danzar	dance
dañar	damage
deambular	wander
debatir	debate
debilitar	weaken
debutar	debut
decaer	decline
decantar	decant
decapitar	behead
decepcionar	disappoint
declamar	declaim
declinar	decline
decodificar	decode
