desfalcar	embezzle
desfallecer	faint
desfasar	throw out of phase
desfavorecer	disfavor
desfigurar	disfigure
desfilar	parade
desflecar	fray
desflorar	deflower
desfogar	vent
desfondar	break bottom
desforrar	remove lining
desgajar	tear off
desgañitar	scream
desgarrar	rip
desgasificar	degasify
desgastar	wear out
desglosar	break down
desgraciar	spoil
desgranar	shell
desgravar	deduct
desguarnecer	strip
desguazar	scrap
deshabitar	vacate
deshelar	thaw
desheredar	disinherit
deshidratar	dehydrate
deshilachar	fray
deshilvanar	unravel
deshinchar	deflate
deshojar	defoliate
deshollinar	sweep
deshonrar	dishonor
deshuesar	debone
deshumanizar	dehumanize
designar	designate
desigualar	make unequal
desilusionar	disillusion
desimantar	demagnetize
desincrustar	descale
desinfectar	disinfect
desinflar	deflate
desinformar	misinform
desinhibir	disinhibit
desinsectar	fumigate
desintegrar	disintegrate
desinteresar	lose interest
desintoxicar	detoxify
desistir	desist
deslavazar	wash out
deslegalizar	delegalize
deslegitimar	delegitimize
desleír	dissolve
desliar	untie
desligar	detach
deslindar	demarcate
deslizar	slide
deslomar	break back
deslucir	tarnish
deslumbrar	dazzle
desmadejar	weaken
desmadrar	wean
desmagnetizar	demagnetize
desmandar	get out of control
desmantelar	dismantle
desmaquillar	remove makeup
desmarcar	break away
desmayar	faint
desmejorar	worsen
desmelenar	dishevel
desmembrar	dismember
desmentir	deny
desmenuzar	crumble
desmerecer	detract
desmigajar	crumble
desmigar	crumble
desmilitarizar	demilitarize
desmineralizar	demineralize
desmitificar	demystify
desmochar	prune
desmontar	dismount
desmoralizar	demoralize
desmoronar	crumble
desmotivar	demotivate
desmovilizar	demobilize
desnacionalizar	denationalize
desnatar	skim
desnaturalizar	denature
desnivelar	unlevel
desnortar	disorient
desnucar	break neck
desnuclearizar	denuclearize
desnudar	undress
desnutrir	starve
desobedecer	disobey
desobstruir	unblock
desocupar	vacate
desodorizar	deodorize
desoír	ignore
desojar	strain eyes
desollar	skin
desorbitar	exaggerate
desordenar	disarrange
desorejar	cut ears
desorganizar	disorganize
desorientar	disorient
desovar	spawn
desovillar	unravel
desoxidar	deoxidize
despabilar	wake up
despachar	dispatch
despachurrar	squash
despampanar	prune
despanzurrar	gut
desparasitar	deworm
desparejar	mismatch
desparramar	scatter
despatarrar	sprawl
despechugar	bare chest
despedazar	tear apart
despedir	dismiss
despegar	take off
despeinar	dishevel
despejar	clear
despellejar	skin
despelotar	strip
despenalizar	decriminalize
despendolar	go wild
despeñar	hurl
despepitar	deseed
desperdiciar	waste
desperdigar	scatter
desperezar	stretch
despersonalizar	depersonalize
despertar	wake
despiezar	dismantle
despilfarrar	squander
despiojar	delouse
despistar	throw off the track
desplanchar	wrinkle
desplantar	uproot
desplazar	displace
desplegar	deploy
desplomar	collapse
desplumar	pluck
despoblar	depopulate
despojar	strip
despolitizar	depoliticize
desportillar	chip
desposar	wed
desposeer	dispossess
despotricar	rant
despreciar	despise
desprender	detach
despreocupar	stop worrying
desprestigiar	discredit
despresurizar	depressurize
desprivatizar	deprivatize
desprogramar	deprogram
desproveer	deprive
despuntar	blunt
desquiciar	unhinge
desquitar	get even
desratizar	exterminate rats
desriñonar	overwork
desrizar	straighten
destacar	stand out
destapar	uncover
destaponar	unclog
destejer	unweave
destellar	sparkle
destemplar	upset
destensar	loosen
desteñir	fade
desternillar	crack up
desterrar	exile
destetar	wean
destilar	distill
destinar	assign
destituir	dismiss
destornillar	unscrew
destrenzar	unbraid
destripar	gut
destronar	dethrone
destrozar	destroy
destruir	destroy
desubicar	disorient
desunir	disunite
desusar	disuse
desvalijar	rob
desvalorizar	devalue
desvanecer	vanish
desvariar	rave
desvelar	reveal, keep awake
desvencijar	break apart
desvendar	unbandage
desvergonzar	be brazen
desvestir	undress
desviar	divert
desvincular	disconnect
desvirgar	deflower
desvirtuar	distort
desvitalizar	devitalize
desvivir	go out of way
detallar	detail
detectar	detect
detener	stop
detentar	hold illegally
deteriorar	deteriorate
determinar	determine
detestar	detest
detraer	deduct
devaluar	devalue
devanar	wind
devastar	devastate
devengar	accrue
devenir	become
devolver	return
devorar	devour
diagnosticar	diagnose
diagramar	diagram
dializar	dialyze
dialogar	converse
dictaminar	rule
dictar	dictate
diezmar	decimate
difamar	defame
diferenciar	differentiate
diferir	differ
dificultar	hinder
difuminar	blur
difundir	spread
digerir	digest
digitalizar	digitize
dignar	deign
dignificar	dignify
dilapidar	squander
dilatar	dilate
diligenciar	process
dilucidar	elucidate
diluir	dilute
diluviar	pour
dimanar	emanate
dimitir	resign
dinamitar	dynamite
dinamizar	energize
diplomar	graduate
diptongar	diphthongize
dirimir	resolve
disciplinar	discipline
discordar	disagree
discrepar	disagree
discriminar	discriminate
disculpar	excuse
discurrir	roam
disecar	dissect
diseccionar	dissect
diseminar	disseminate
disentir	dissent
diseñar	design
disertar	lecture
disfrazar	disguise
disfrutar	enjoy
disgregar	disperse
disgustar	displease
disimilar	dissimilate
disimular	conceal
disipar	dissipate
dislocar	dislocate
disminuir	decrease
disociar	dissociate
disolver	dissolve
disparar	shoot
disparatar	talk nonsense
dispensar	dispense
dispersar	disperse
disputar	dispute
distanciar	distance
distender	distend
distorsionar	distort
distribuir	distribute
disuadir	dissuade
divagar	digress
divergir	diverge
diversificar	diversify
divertir	amuse
dividir	divide
divinizar	deify
divisar	discern
divorciar	divorce
divulgar	divulge
doblar	fold
doblegar	bend
doctorar	doctorate
documentar	document
dogmatizar	dogmatize
doler	hurt
domar	tame
domeñar	subdue
domesticar	domesticate
domiciliar	direct debit
