enmudecer	fall silent
ennegrecer	blacken
ennoblecer	ennoble
ennoviar	start dating
enojar	anger
enorgullecer	make proud
enquistar	encyst
enrabietar	enrage
enrarecer	rarefy
enredar	tangle
enrejar	fence
enriquecer	enrich
enrocar	castle
enrojecer	redden
enrolar	enlist
enrollar	roll up
enronquecer	make hoarse
enroscar	coil
ensalzar	exalt
ensamblar	assemble
ensanchar	widen
ensangrentar	bloody
ensañar	be cruel
ensartar	thread
ensayar	rehearse
enseñorear	take over
ensillar	saddle
ensimismar	withdraw
ensoberbecer	make arrogant
ensombrecer	darken
ensordecer	deafen
ensortijar	curl
ensuciar	dirty
entablar	start
entablillar	splint
entallar	fit
entarimar	floor
entelar	cover
entender	understand
entenebrecer	darken
enterar	inform
enternecer	soften
enterrar	bury
entibiar	cool
entintar	ink
entoldar	cover with awning
entonar	intone
entontecer	stupefy
entornar	half-close
entorpecer	hinder
entrampar	trap
entrañar	entail
entrar	enter
entreabrir	half-open
entrechocar	clash
entrecomillar	quote
entrecortar	interrupt
entrecruzar	interweave
entregar	deliver
entrelazar	interlace
entrelucir	show through
entremeter	insert
entremezclar	intermingle
entrenar	train
entreoír	half-hear
entresacar	select
entretener	entertain
entrever	glimpse
entrevistar	interview
entristecer	sadden
entrometer	meddle
entroncar	connect
entronizar	enthrone
entubar	intubate
entumecer	numb
enturbiar	cloud
entusiasmar	excite
enumerar	enumerate
enunciar	state
envainar	sheathe
envalentonar	embolden
envanecer	make vain
envarar	stiffen
envasar	package
envejecer	age
envenenar	poison
enviciar	corrupt
envidar	bid
envidiar	envy
envilecer	debase
enviudar	be widowed
envolver	wrap
enyesar	plaster
enzarzar	embroil
epatar	astonish
epilogar	conclude
equidistar	be equidistant
equilibrar	balance
equipar	equip
equiparar	equate
equivaler	equal
equivocar	mistake
erigir	erect
erisipelar	cause erysipelas
erizar	bristle
erosionar	erode
erotizar	eroticize
erradicar	eradicate
eructar	burp
esbozar	sketch
escabechar	pickle
escabullir	slip away
escacharrar	break
escachifollar	smash
escalar	climb
escaldar	scald
escalfar	poach
escalonar	stagger
escamar	scale
escamotear	pilfer
escampar	clear up
escanciar	pour
escandalizar	scandalize
escanear	scan
escapar	escape
escaquear	dodge
escarbar	scratch
escarchar	frost
escardar	weed
escarificar	scarify
escarmentar	learn a lesson
escarnecer	mock
escasear	be scarce
escatimar	skimp
escayolar	plaster
escenificar	stage
escindir	split
esclarecer	clarify
esclavizar	enslave
esclerosar	harden
esclerotizar	harden
escobar	sweep
escocer	sting
escolarizar	school
escoltar	escort
escorar	list
escotar	lower neckline
escriturar	deed
escrutar	scrutinize
escudar	shield
escudriñar	scrutinize
esculpir	sculpt
escupir	spit
escurrir	drain
esforzar	strain
esfumar	fade
esgrimir	wield
eslabonar	link
esmaltar	enamel
esmerar	take care
esmerilar	grind
espabilar	wake up
espachurrar	squash
espaciar	space out
espantar	scare
españolear	flaunt Spanishness
españolizar	hispanicize
esparcir	scatter
especializar	specialize
especificar	specify
especular	speculate
espejar	reflect
espeluznar	terrify
esperanzar	give hope
espesar	thicken
espetar	blurt
espiar	spy
espichar	die
espigar	glean
espirar	exhale
espiritualizar	spiritualize
espolear	spur
espolvorear	sprinkle
esponjar	fluff
esponsorizar	sponsor
esprintar	sprint
espulgar	delouse
espumar	skim
espurrear	spray
esputar	expectorate
esquejar	take cuttings
esquematizar	outline
esquiar	ski
esquilar	shear
esquilmar	deplete
esquinar	corner
esquivar	dodge
estabilizar	stabilize
establecer	establish
estabular	stable
estacionar	park
estafar	swindle
estallar	explode
estampar	stamp
estampillar	stamp
estancar	stagnate
estandarizar	standardize
estatalizar	nationalize
estatuir	decree
estenografiar	take shorthand
estercolar	manure
estereotipar	stereotype
esterilizar	sterilize
estibar	stow
estigmatizar	stigmatize
estilar	be customary
estilizar	stylize
estimar	esteem
estimular	stimulate
estipular	stipulate
estirajar	stretch
estirar	stretch
estocar	thrust
estofar	stew
estomagar	annoy
estoquear	thrust
estorbar	hinder
estornudar	sneeze
estragar	ruin
estrangular	strangle
estraperlear	black-market
estratificar	stratify
estrechar	narrow
estrellar	crash
estremecer	shudder
estrenar	debut
estreñir	constipate
estresar	stress
estriar	groove
estribar	rest on
estropear	ruin
estructurar	structure
estrujar	squeeze
estucar	stucco
estuchar	case
estuprar	rape
eternizar	prolong
etimologizar	etymologize
etiquetar	label
evacuar	evacuate
evaluar	evaluate
evangelizar	evangelize
evaporar	evaporate
evidenciar	show
evitar	avoid
evocar	evoke
evolucionar	evolve
exacerbar	exacerbate
exagerar	exaggerate
exaltar	exalt
examinar	examine
exasperar	exasperate
excarcelar	release
excavar	excavate
exceptuar	except
excitar	excite
exclamar	exclaim
exclaustrar	secularize
excluir	exclude
excomulgar	excommunicate
excretar	excrete
exculpar	exonerate
excusar	excuse
execrar	execrate
exfoliar	exfoliate
exhalar	exhale
exhibir	exhibit
exhortar	exhort
exhumar	exhume
exiliar	exile
eximir	exempt
exonerar	exonerate
exorbitar	exceed
exorcizar	exorcize
expandir	expand
expansionar	expand
expatriar	expatriate
expectorar	expectorate
expedientar	investigate
expedir	dispatch
expeler	expel
expender	sell
experimentar	experience
expiar	atone
expirar	expire
explayar	expound
explicar	explain
explicitar	make explicit
explicotear	explain at length
explorar	explore
