idealizar	idealize
idear	devise
identificar	identify
idiotizar	stupefy
idolatrar	idolize
ignorar	ignore
igualar	equalize
ilegalizar	outlaw
ilegitimar	delegitimize
iluminar	illuminate
ilusionar	excite
ilustrar	illustrate
imaginar	imagine
imantar	magnetize
imbricar	overlap
imbuir	imbue
imitar	imitate
impacientar	make impatient
impactar	impact
impartir	impart
impedir	prevent
impeler	impel
imperar	prevail
impermeabilizar	waterproof
impersonalizar	impersonalize
implantar	implant
implementar	implement
implicar	involve
implorar	implore
imponer	impose
importar	import
importunar	pester
imposibilitar	prevent
impostar	project
imprecar	curse
impregnar	impregnate
impresionar	impress
improvisar	improvise
impugnar	contest
impulsar	propel
imputar	impute
inaugurar	inaugurate
incapacitar	incapacitate
incardinar	incorporate
incautar	seize
incendiar	set fire
incensar	cense
incentivar	incentivize
incidir	affect
incinerar	incinerate
incitar	incite
inclinar	tilt
incluir	include
incomodar	bother
incomunicar	isolate
incordiar	annoy
incorporar	incorporate
incrementar	increase
increpar	rebuke
incriminar	incriminate
incrustar	embed
incubar	incubate
inculcar	instill
incumbir	concern
incumplir	breach
incurrir	incur
incursionar	raid
indagar	investigate
indemnizar	compensate
independizar	make independent
indicar	indicate
indigestar	upset stomach
indignar	outrage
indisciplinar	become unruly
indisponer	indispose
individualizar	individualize
indultar	pardon
industrializar	industrialize
infamar	defame
infantilizar	infantilize
infartar	infarct
infectar	infect
inferir	infer
infestar	infest
infiltrar	infiltrate
inflamar	inflame
inflar	inflate
infligir	inflict
influenciar	influence
influir	influence
informar	inform
informatizar	computerize
infrautilizar	underuse
infravalorar	undervalue
infringir	infringe
infundir	instill
ingeniar	contrive
ingerir	ingest
ingresar	enter
inhabilitar	disqualify
inhalar	inhale
inhibir	inhibit
inhumar	bury
inicializar	initialize
iniciar	begin
injerir	ingest
injertar	graft
injuriar	insult
inmigrar	immigrate
inmiscuir	meddle
inmolar	immolate
inmortalizar	immortalize
inmovilizar	immobilize
inmunizar	immunize
inmutar	flinch
innovar	innovate
inocular	inoculate
inquietar	worry
inquirir	inquire
insalivar	salivate
inscribir	enroll
inseminar	inseminate
insensibilizar	desensitize
insertar	insert
insinuar	insinuate
insolentar	become insolent
insonorizar	soundproof
inspeccionar	inspect
inspirar	inspire
instalar	install
instar	urge
instaurar	establish
instigar	instigate
instilar	instill
institucionalizar	institutionalize
instituir	institute
instruir	instruct
instrumentalizar	exploit
instrumentar	orchestrate
insubordinar	incite rebellion
insuflar	insufflate
insultar	insult
insurreccionar	incite revolt
integrar	integrate
intelectualizar	intellectualize
intensificar	intensify
intentar	try
interaccionar	interact
interactuar	interact
intercalar	intersperse
intercambiar	exchange
interceder	intercede
interceptar	intercept
interesar	interest
interferir	interfere
interiorizar	internalize
intermediar	mediate
internacionalizar	internationalize
internar	commit
interpelar	question
interpolar	interpolate
interponer	interpose
interpretar	interpret
interrelacionar	interrelate
interrogar	interrogate
interrumpir	interrupt
intervenir	intervene
interviuvar	interview
intimar	befriend
intimidar	intimidate
intitular	entitle
intoxicar	poison
intranquilizar	disquiet
intrigar	intrigue
intrincar	entangle
intubar	intubate
intuir	sense
inundar	flood
inutilizar	disable
invadir	invade
invalidar	invalidate
inventar	invent
inventariar	inventory
invernar	hibernate
invertir	invest
investigar	investigate
investir	invest
invitar	invite
invocar	invoke
involucionar	regress
involucrar	involve
inyectar	inject
ionizar	ionize
irisar	iridesce
ironizar	mock
irradiar	radiate
irrigar	irrigate
irritar	irritate
irrumpir	burst in
islamizar	islamize
italianizar	italianize
iterar	iterate
izar	hoist
jabonar	soap
jactar	boast
jadear	pant
jalar	pull
jalear	cheer
jalonar	mark out
jamar	scoff
jaranear	revel
jarrear	pour
jaspear	mottle
jerarquizar	rank
jeringar	annoy
joder	screw
jorobar	annoy
jubilar	retire
judaizar	judaize
juerguear	party
juguetear	frolic
juntar	gather
juramentar	swear in
jurar	swear
justificar	justify
justipreciar	appraise
juzgar	judge
kilometrar	measure kilometers
labializar	labialize
laborar	work
labrar	till
lacar	lacquer
lacerar	lacerate
lacrar	seal
lactar	breastfeed
ladear	tilt
ladrar	bark
ladrillar	brick
lagrimear	weep
laicizar	secularize
lamentar	regret
laminar	laminate
lampar	crave
lancear	spear
languidecer	languish
lanzar	throw
lapidar	stone
laquear	lacquer
largar	release
lastimar	hurt
lastrar	ballast
lateralizar	lateralize
latinizar	latinize
latir	beat
laurear	honor
lavotear	wash hastily
laxar	loosen
legalizar	legalize
legar	bequeath
legislar	legislate
legitimar	legitimize
legrar	scrape
lesionar	injure
levantar	lift
levar	weigh anchor
levitar	levitate
lexicalizar	lexicalize
liar	bundle
libar	sip
liberalizar	liberalize
liberar	free
libertar	liberate
librar	free
licenciar	discharge
licitar	bid
licuar	liquefy
liderar	lead
lidiar	fight
ligar	bind
lijar	sand
limar	file
limitar	limit
limosnear	beg
linchar	lynch
lindar	border
liofilizar	freeze-dry
liquidar	liquidate
lisiar	cripple
lisonjear	flatter
listar	list
litigar	litigate
litografiar	lithograph
llagar	wound
llamar	call
llamear	blaze
llanear	flatten
llenar	fill
lloriquear	whimper
lloviznar	drizzle
loar	praise
