localizar	locate
lograr	achieve
loquear	act crazy
lubricar	lubricate
lubrificar	lubricate
luchar	fight
lucrar	profit
lucubrar	ponder
lustrar	polish
luxar	dislocate
macerar	macerate
machacar	crush
madrugar	rise early
madurar	mature
magnetizar	magnetize
magnificar	magnify
magullar	bruise
majar	crush
malacostumbrar	spoil
malcasar	mismarry
malcomer	eat poorly
malcriar	spoil
maldecir	curse
malear	corrupt
maleducar	spoil
malgastar	squander
malherir	wound badly
malhumorar	make grumpy
maliciar	suspect
malinterpretar	misinterpret
malmeter	incite
malograr	spoil
maltraer	mistreat
maltratar	mistreat
malvender	sell cheap
malversar	embezzle
malvivir	scrape by
mamar	suckle
manchar	stain
mancillar	tarnish
mancipar	enslave
mancomunar	pool
mandar	send
manducar	eat
manejar	handle
mangar	pinch
mangonear	boss around
maniatar	handcuff
manifestar	show
maniobrar	maneuver
manipular	manipulate
manosear	fondle
manotear	gesticulate
mantear	toss
mantener	maintain
manufacturar	manufacture
manumitir	emancipate
manuscribir	handwrite
maquetar	lay out
maquilar	assemble
maquillar	make up
maquinar	scheme
maquinizar	mechanize
maravillar	amaze
marcar	mark
marchar	march
marchitar	wither
marear	make dizzy
marginar	marginalize
maridar	marry
martillar	hammer
martillear	hammer
martirizar	martyr
masacrar	massacre
masajear	massage
mascar	chew
masculinizar	masculinize
mascullar	mumble
masificar	overcrowd
masticar	chew
masturbar	masturbate
matar	kill
matasellar	postmark
materializar	materialize
maternizar	humanize milk
matizar	nuance
matricular	enroll
matrimoniar	marry
maullar	meow
maximizar	maximize
mear	pee
mecanizar	mechanize
mecanografiar	type
mecer	rock
mechar	lard
mediar	mediate
mediatizar	influence
medicar	medicate
medicinar	medicate
meditar	meditate
medrar	prosper
mejorar	improve
mellar	notch
memorizar	memorize
mencionar	mention
mendigar	beg
menear	wiggle
menguar	wane
menoscabar	diminish
menospreciar	scorn
menstruar	menstruate
mensualizar	pay monthly
mentalizar	prepare mentally
mentar	mention
mentir	lie
menudear	occur often
mercadear	trade
mercantilizar	commercialize
mercar	buy
merecer	deserve
merendar	snack
mermar	dwindle
merodear	prowl
mesar	tear hair
mestizar	crossbreed
mesurar	moderate
metabolizar	metabolize
metaforizar	metaphorize
metalizar	metallize
metamorfosear	metamorphose
meteorizar	bloat
metodizar	systematize
mezclar	mix
microfilmar	microfilm
migar	crumble
militar	serve in military
militarizar	militarize
mimar	pamper
minar	mine
mineralizar	mineralize
miniaturizar	miniaturize
minimizar	minimize
ministrar	administer
minusvalorar	undervalue
mistificar	mystify
mitificar	mythologize
mitigar	mitigate
mixtificar	mystify
mocar	blow nose
modelar	model
moderar	moderate
modernizar	modernize
modificar	modify
modular	modulate
mofar	mock
mojar	wet
moldar	mold
moldear	mold
moler	grind
molestar	bother
momificar	mummify
mondar	peel
monitorizar	monitor
monologar	soliloquize
monopolizar	monopolize
monoptongar	monophthongize
montar	mount
monumentalizar	monumentalize
moquear	have runny nose
moralizar	moralize
morar	dwell
mordisquear	nibble
morigerar	temper
mortificar	mortify
mosconear	pester
mosquear	annoy
motear	speckle
motejar	nickname
motivar	motivate
motorizar	motorize
movilizar	mobilize
mudar	move
mugir	moo
mullir	fluff
multar	fine
multicopiar	duplicate
multiplicar	multiply
municipalizar	municipalize
murar	wall
murmurar	murmur
musicar	set to music
musitar	mutter
mustiar	wither
mutar	mutate
mutilar	mutilate
nacer	be born
nacionalizar	nationalize
narcotizar	drug
narrar	narrate
nasalizar	nasalize
naturalizar	naturalize
naufragar	shipwreck
navegar	navigate
negociar	negotiate
negrear	turn black
neurotizar	neuroticize
neutralizar	neutralize
ningunear	belittle
niñear	act childish
niquelar	nickel-plate
nivelar	level
nombrar	name
nominar	nominate
noquear	knock out
normalizar	normalize
notar	notice
notificar	notify
novelar	novelize
nuclearizar	nuclearize
numerar	number
obcecar	blind
obedecer	obey
objetar	object
objetivar	objectify
obligar	oblige
obliterar	obliterate
obnubilar	bewilder
obrar	work
obsequiar	gift
observar	observe
obsesionar	obsess
obstaculizar	hinder
obstar	hinder
obstinar	persist
obstruir	obstruct
obturar	plug
obviar	obviate
ocasionar	cause
ociar	idle
ocluir	occlude
ocultar	hide
ocupar	occupy
odiar	hate
ofertar	offer
oficializar	officialize
oficiar	officiate
ofrecer	offer
ofrendar	offer
ofuscar	bewilder
ojear	glance at
olfatear	sniff
olisquear	sniff
olvidar	forget
omitir	omit
ondear	wave
ondular	undulate
operar	operate
opinar	opine
oponer	oppose
opositar	sit competitive exam
oprimir	oppress
optar	opt
optimar	optimize
optimizar	optimize
orar	pray
ordenar	order
ordeñar	milk
orear	air
organizar	organize
orientar	orient
originar	originate
orillar	skirt
orinar	urinate
orlar	border
ornamentar	ornament
ornar	adorn
orquestar	orchestrate
osar	dare
oscilar	oscillate
oscurecer	darken
ostentar	flaunt
otear	scan
otorgar	grant
ovacionar	cheer
ovalar	make oval
ovar	lay eggs
ovillar	wind up
ovular	ovulate
oxidar	oxidize
oxigenar	oxygenate
pacer	graze
pacificar	pacify
pactar	agree
padecer	suffer
paginar	paginate
paladear	savor
palatalizar	palatalize
paliar	alleviate
palidecer	pale
palmar	die
