repugnar	disgust
repujar	emboss
repulir	polish
reputar	deem
requebrar	flatter
requerir	require
requisar	requisition
resaltar	highlight
resarcir	compensate
resbalar	slip
rescatar	rescue
rescindir	rescind
rescribir	rewrite
resecar	dry out
resentir	resent
reseñar	review
reservar	reserve
resetear	reset
resfriar	chill
resguardar	shelter
residir	reside
resignar	resign
resinar	tap resin
resistir	resist
resonar	resound
resoplar	snort
respaldar	back
respetar	respect
respingar	twitch
respirar	breathe
resplandecer	shine
responsabilizar	hold responsible
resquebrajar	crack
restablecer	reestablish
restallar	crackle
restañar	staunch
restar	subtract
restaurar	restore
restituir	restore
restregar	scrub
restringir	restrict
resucitar	resuscitate
resultar	result
resumir	summarize
resurgir	resurge
retar	challenge
retardar	delay
retener	retain
retentar	tempt again
reteñir	redye
retirar	withdraw
retocar	retouch
retomar	resume
retoñar	sprout
retorcer	twist
retornar	return
retozar	frolic
retractar	retract
retractilar	shrink-wrap
retraer	retract
retransmitir	rebroadcast
retrasar	delay
retratar	portray
retrepar	lean back
retribuir	remunerate
retroceder	retreat
retrotraer	predate
retumbar	rumble
reunificar	reunify
reutilizar	reuse
revacunar	revaccinate
revalidar	revalidate
revalorizar	revalue
revaluar	revalue
revelar	reveal
revender	resell
reventar	burst
reverberar	reverberate
reverdecer	turn green again
reverenciar	revere
revertir	revert
revestir	coat
revisar	revise
revitalizar	revitalize
revivir	revive
revocar	revoke
revolcar	knock down
revolotear	flutter
revolucionar	revolutionize
revolver	stir
rezagar	lag
rezar	pray
rezongar	grumble
rezumar	ooze
ribetear	trim
ridiculizar	ridicule
rielar	shimmer
rifar	raffle
rimar	rhyme
rivalizar	rival
rizar	curl
robar	steal
robotizar	automate
robustecer	strengthen
rociar	sprinkle
rodar	roll
rodear	surround
rogar	beg
romanizar	romanize
roncar	snore
rondar	patrol
ronronear	purr
ronzar	crunch
roscar	thread
rotar	rotate
rotular	label
roturar	plow
rozar	graze
ruborizar	make blush
rubricar	sign
rugir	roar
rular	roll
rumiar	ruminate
rumorear	rumor
runrunear	murmur
rutilar	sparkle
sablear	scrounge
saborear	savor
sabotear	sabotage
saciar	satiate
sacralizar	sacralize
sacramentar	administer sacraments
sacrificar	sacrifice
sacudir	shake
sajar	lance
salar	salt
saldar	settle
salivar	salivate
salmodiar	chant
salpicar	splash
salpimentar	season
saltar	jump
saltear	sauté
saludar	greet
salvaguardar	safeguard
salvar	save
sanar	heal
sancionar	sanction
sanear	clean up
sangrar	bleed
santificar	sanctify
santiguar	bless
saquear	loot
satinar	gloss
satirizar	satirize
saturar	saturate
sazonar	season
secar	dry
seccionar	section
secretar	secrete
secretear	whisper
secuenciar	sequence
secuestrar	kidnap
secularizar	secularize
secundar	second
sedar	sedate
sedimentar	settle
segar	mow
segmentar	segment
segregar	segregate
seleccionar	select
sellar	seal
sembrar	sow
semejar	resemble
sensibilizar	sensitize
sentenciar	sentence
señalar	point out
señalizar	signpost
separar	separate
sepultar	bury
serenar	calm
sermonear	lecture
serpentear	wind
serrar	saw
servir	serve
sesear	pronounce s for c
sesgar	skew
sestear	siesta
sextuplicar	sextuple
significar	mean
silabear	syllabify
silbar	whistle
silenciar	silence
siluetear	outline
simbolizar	symbolize
simpatizar	sympathize
simplificar	simplify
simular	simulate
simultanear	combine
sincerar	come clean
sincopar	syncopate
sincronizar	synchronize
sindicar	unionize
singularizar	singularize
sintetizar	synthesize
sintonizar	tune
sisar	pilfer
sisear	hiss
sistematizar	systematize
sitiar	besiege
situar	situate
sobar	rub
sobetear	paw
sobornar	bribe
sobrar	be left over
sobrealimentar	overfeed
sobreañadir	superadd
sobrecargar	overload
sobrecoger	startle
sobredimensionar	oversize
sobreexcitar	overexcite
sobrehilar	overcast
sobrellevar	endure
sobrentender	infer
sobrepasar	exceed
sobreponer	superimpose
sobresalir	stand out
sobresaltar	startle
sobrescribir	overwrite
sobreseer	dismiss
sobrestimar	overestimate
sobrevalorar	overvalue
sobrevenir	befall
sobrevivir	survive
sobrevolar	overfly
socarrar	scorch
socavar	undermine
sociabilizar	socialize
socializar	socialize
socorrer	aid
sofisticar	sophisticate
soflamar	scorch
sofocar	suffocate
sofreír	sauté
sojuzgar	subjugate
solapar	overlap
solazar	relax
soldar	weld
solear	sun
solemnizar	solemnize
soler	usually do
solfear	sol-fa
solicitar	request
solidarizar	show solidarity
solidificar	solidify
soliloquiar	soliloquize
soliviantar	stir up
sollozar	sob
soltar	release
solucionar	solve
solventar	resolve
somatizar	somatize
sombrear	shade
sonar	sound
sondar	probe
sondear	survey
sonorizar	add sound
sonreír	smile
sonrojar	blush
sonsacar	wheedle
soñar	dream
sopapear	slap
sopar	dunk
sopesar	weigh up
soplar	blow
soportar	endure
sorber	sip
sorprender	surprise
sortear	raffle
sosegar	calm
soslayar	sidestep
sospechar	suspect
sostener	hold
soterrar	bury
sovietizar	sovietize
suavizar	soften
subalternar	subordinate
subarrendar	sublet
subastar	auction
subcontratar	subcontract
subdelegar	subdelegate
subdividir	subdivide
subestimar	underestimate
subjetivar	subjectivize
sublevar	incite
sublimar	sublimate
subordinar	subordinate
subrayar	underline
subrogar	subrogate
subsanar	rectify
