subsidiar	subsidize
subsistir	subsist
subsumir	subsume
subtitular	subtitle
subvencionar	subsidize
subvenir	defray
subvertir	subvert
subyacer	underlie
subyugar	subjugate
succionar	suck
suceder	happen
sucumbir	succumb
sudar	sweat
sufragar	defray
sugerir	suggest
sugestionar	influence
suicidar	commit suicide
sujetar	hold
sulfatar	sulfate
sulfurar	infuriate
sumar	add
sumariar	summarize
sumergir	submerge
suministrar	supply
sumir	plunge
supeditar	subordinate
superabundar	overabound
superar	surpass
superponer	superimpose
supervalorar	overvalue
supervisar	supervise
suplantar	supplant
suplicar	beg
suplir	substitute
suprimir	suppress
supurar	suppurate
surcar	furrow
surgir	emerge
surtir	supply
suscitar	provoke
suscribir	subscribe
suspender	suspend
suspirar	sigh
sustanciar	substantiate
sustantivar	nominalize
sustentar	sustain
sustituir	substitute
sustraer	subtract
susurrar	whisper
suturar	suture
tabicar	wall up
tablear	plank
tabular	tabulate
tachar	cross out
tachonar	stud
taconear	tap heels
tajar	slice
taladrar	drill
talar	fell
tallar	carve
tambalear	stagger
tamborilear	drum
tamizar	sift
tanguear	tango
tantear	test
tapar	cover
tapear	snack
tapiar	wall up
tapizar	upholster
taponar	plug
taquigrafiar	write shorthand
taracear	inlay
tarar	tare
tararear	hum
tardar	delay
tarifar	price
tarjetear	hand out cards
tartajear	stammer
tartamudear	stutter
tasar	appraise
tatarear	hum
tatuar	tattoo
teatralizar	dramatize
techar	roof
teclear	type
tecnificar	modernize
teledirigir	remote control
telefonear	phone
telegrafiar	telegraph
televisar	televise
temblar	tremble
temblequear	shiver
temperar	temper
templar	temper
temporizar	temporize
tender	spread
tensar	tighten
tensionar	tension
tentar	tempt
teñir	dye
teologizar	theologize
teorizar	theorize
terciar	mediate
tergiversar	distort
terminar	finish
terraplenar	embank
tersar	smooth
testar	make a will
testificar	testify
testimoniar	testify
tildar	brand
timar	swindle
timbrar	stamp
tintar	dye
tintinear	tinkle
tipificar	classify
tiranizar	tyrannize
tirar	throw
tiritar	shiver
tirotear	shoot
titilar	twinkle
titubear	hesitate
titular	title
titularizar	tenure
tiznar	smudge
toldar	cover with awning
tolerar	tolerate
tonificar	tone
tonsurar	tonsure
tontear	fool around
topar	bump
toquetear	fondle
torcer	twist
torear	bullfight
tornar	return
tornasolar	iridesce
tornear	turn
torpedear	torpedo
torrar	roast
torturar	torture
toser	cough
tostar	toast
totalizar	total
trabar	bind
traficar	traffic
tragar	swallow
traicionar	betray
trajear	dress
trajinar	bustle
tramar	plot
tramitar	process
trampear	cheat
trancar	bar
tranquilizar	calm
transbordar	transfer
transcribir	transcribe
transcurrir	elapse
transferir	transfer
transfigurar	transfigure
transformar	transform
transfundir	transfuse
transgredir	transgress
transigir	compromise
transitar	travel
transliterar	transliterate
transmigrar	transmigrate
transmitir	transmit
transmutar	transmute
transparentar	reveal
transpirar	perspire
transportar	transport
trapacear	cheat
trapichear	deal
traquetear	rattle
trasbordar	transfer
trascender	transcend
trasegar	decant
trashumar	migrate
trasladar	move
traslucir	reveal
trasmutar	transmute
trasnochar	stay up
traspapelar	misplace
traspasar	transfer
trasplantar	transplant
trasponer	transpose
trasquilar	shear
trastabillar	stumble
trastear	rummage
trastocar	disrupt
trastornar	upset
trasvasar	decant
tratar	treat
traumatizar	traumatize
travestir	cross-dress
trazar	trace
tremolar	wave
trenzar	braid
trepanar	trepan
trepar	climb
trepidar	shake
tributar	pay tribute
tricotar	knit
trillar	thresh
trinar	trill
trincar	bind
triplicar	triple
triptongar	form triphthong
tripular	crew
triturar	crush
triunfar	triumph
trivializar	trivialize
trizar	shatter
trocear	cut up
trompetear	trumpet
tronchar	snap
tropezar	stumble
troquelar	stamp
trotar	trot
trovar	versify
trucar	rig
trufar	stuff
truncar	truncate
tullir	cripple
tumbar	knock down
tundir	shear
tupir	pack
turbar	disturb
turnar	take turns
tutelar	protect
ubicar	locate
ufanar	boast
ulcerar	ulcerate
ultimar	finalize
ultrajar	outrage
ulular	howl
uncir	yoke
ungir	anoint
unificar	unify
uniformar	standardize
universalizar	universalize
untar	smear
urbanizar	urbanize
urdir	scheme
urgir	urge
usufructuar	usufruct
usurar	practice usury
usurpar	usurp
utilizar	use
vacar	be vacant
vaciar	empty
vacilar	hesitate
vacunar	vaccinate
vadear	ford
vagabundear	wander
vagar	wander
vaguear	loaf
validar	validate
vallar	fence
valorar	value
valorizar	value
vampirizar	vampirize
vanagloriar	boast
vaporizar	vaporize
vapulear	thrash
varar	beach
variar	vary
vaticinar	predict
vedar	prohibit
vegetar	vegetate
vehicular	convey
vejar	humiliate
velar	watch over
vendar	bandage
vendimiar	harvest
venerar	venerate
vengar	avenge
ventajear	outdo
ventear	air
ventilar	ventilate
ventiscar	blizzard
ventosear	pass wind
veranear	summer
verbalizar	verbalize
verdear	green
verificar	verify
versar	deal with
versificar	versify
vertebrar	structure
verter	pour
vestir	dress
vetar	veto
vetear	streak
viabilizar	enable
vibrar	vibrate
viciar	corrupt
vidriar	glaze
vigilar	watch
vigorizar	invigorate
vilipendiar	vilify
