vincular	link
vindicar	vindicate
violar	violate
violentar	force
virar	turn
virilizar	virilize
visar	endorse
visibilizar	make visible
visionar	view
vislumbrar	glimpse
visualizar	visualize
vitorear	cheer
vitrificar	vitrify
vituperar	revile
vivaquear	bivouac
vivificar	revive
vocalizar	vocalize
vocear	shout
vociferar	vociferate
volar	fly
volatilizar	volatilize
volcar	overturn
volear	volley
voltear	flip
vomitar	vomit
votar	vote
vulcanizar	vulcanize
vulgarizar	popularize
vulnerar	violate
xerocopiar	photocopy
xerografiar	xerograph
yantar	dine
yermar	lay waste
yodurar	iodize
yugular	stem
yuxtaponer	juxtapose
zafar	loosen
zaherir	wound
zamarrear	shake
zambullir	plunge
zampar	gobble
zanganear	loaf
zanjar	settle
zapar	sap
zapatear	tap
zapear	channel surf
zarandear	shake
zarpar	set sail
zascandilear	bustle about
zigzaguear	zigzag
zonificar	zone
zorrear	act cunningly
zozobrar	capsize
zumbar	buzz
zurcir	darn
zurrar	thrash
